timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772050122753,2026-02-25T20:08:42.753804+00:00,33.81,7.3,81.0
1772050123754,2026-02-25T20:08:43.754470+00:00,88.91,45.8,87.0
1772050124754,2026-02-25T20:08:44.754545+00:00,98.49,54.5,87.0
1772050125754,2026-02-25T20:08:45.754720+00:00,100.71,53.8,88.0
1772050126754,2026-02-25T20:08:46.754982+00:00,103.01,54.2,88.0
1772050127755,2026-02-25T20:08:47.755057+00:00,100.43,54.7,78.0
1772050128755,2026-02-25T20:08:48.755136+00:00,103.27,54.7,81.0
1772050129755,2026-02-25T20:08:49.755209+00:00,100.34,54.7,81.0
1772050130755,2026-02-25T20:08:50.755281+00:00,96.28,54.6,83.0
1772050131755,2026-02-25T20:08:51.755354+00:00,100.57,54.7,86.0
1772050132755,2026-02-25T20:08:52.755425+00:00,102.08,55.7,86.0
1772050133755,2026-02-25T20:08:53.755481+00:00,102.66,55.4,91.0
1772050134755,2026-02-25T20:08:54.755552+00:00,101.9,55.2,84.0
1772050135756,2026-02-25T20:08:55.756184+00:00,101.3,55.7,84.0
1772050136756,2026-02-25T20:08:56.756262+00:00,101.8,55.2,86.0
1772050137756,2026-02-25T20:08:57.756338+00:00,101.35,55.0,88.0
1772050138756,2026-02-25T20:08:58.756414+00:00,103.74,54.7,88.0
1772050139756,2026-02-25T20:08:59.756489+00:00,99.38,53.1,81.0
1772050140756,2026-02-25T20:09:00.756562+00:00,101.09,54.3,81.0
1772050141756,2026-02-25T20:09:01.756641+00:00,97.28,53.3,86.0
1772050142757,2026-02-25T20:09:02.757059+00:00,101.75,54.8,87.0
1772050143757,2026-02-25T20:09:03.757134+00:00,102.07,54.9,87.0
1772050144757,2026-02-25T20:09:04.757205+00:00,100.61,55.7,92.0
1772050145757,2026-02-25T20:09:05.757281+00:00,104.29,54.7,92.0
1772050146757,2026-02-25T20:09:06.757912+00:00,105.2,55.4,90.0
1772050147757,2026-02-25T20:09:07.757992+00:00,100.47,54.2,90.0
1772050148758,2026-02-25T20:09:08.758070+00:00,104.19,56.3,90.0
1772050149758,2026-02-25T20:09:09.758146+00:00,101.8,54.7,90.0
1772050150758,2026-02-25T20:09:10.758784+00:00,103.96,53.9,86.0
1772050151758,2026-02-25T20:09:11.758862+00:00,104.8,52.7,91.0
1772050152759,2026-02-25T20:09:12.759029+00:00,108.96,53.9,93.0
1772050153759,2026-02-25T20:09:13.759118+00:00,109.14,53.6,93.0
1772050154759,2026-02-25T20:09:14.759593+00:00,109.03,53.6,91.0
1772050155759,2026-02-25T20:09:15.759692+00:00,107.11,49.3,91.0
1772050156760,2026-02-25T20:09:16.760147+00:00,106.51,49.9,95.0
1772050157760,2026-02-25T20:09:17.760235+00:00,106.0,49.3,95.0
1772050158760,2026-02-25T20:09:18.760870+00:00,105.76,49.2,89.0
1772050159760,2026-02-25T20:09:19.760943+00:00,105.15,49.6,89.0
1772050160761,2026-02-25T20:09:20.761594+00:00,106.83,49.7,92.0
1772050161762,2026-02-25T20:09:21.762129+00:00,107.48,49.9,93.0
1772050162762,2026-02-25T20:09:22.762212+00:00,105.68,49.9,93.0
1772050163762,2026-02-25T20:09:23.762384+00:00,75.59,35.2,68.0
