timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772045502926,2026-02-25T18:51:42.926440+00:00,5.93,0.3,59.0
1772045503926,2026-02-25T18:51:43.926493+00:00,60.18,32.2,59.0
1772045504926,2026-02-25T18:51:44.926573+00:00,73.96,38.3,73.0
1772045505926,2026-02-25T18:51:45.926772+00:00,76.08,39.3,73.0
1772045506926,2026-02-25T18:51:46.926897+00:00,75.86,41.0,83.0
1772045507926,2026-02-25T18:51:47.926975+00:00,78.79,40.6,83.0
1772045508927,2026-02-25T18:51:48.927054+00:00,82.9,39.3,81.0
1772045509927,2026-02-25T18:51:49.927143+00:00,80.56,37.1,81.0
1772045510927,2026-02-25T18:51:50.927294+00:00,66.21,33.3,82.0
1772045511927,2026-02-25T18:51:51.927378+00:00,77.41,38.2,82.0
1772045512927,2026-02-25T18:51:52.927457+00:00,70.23,37.9,77.0
1772045513927,2026-02-25T18:51:53.927647+00:00,77.01,39.5,83.0
1772045514927,2026-02-25T18:51:54.927728+00:00,76.36,37.9,83.0
1772045515927,2026-02-25T18:51:55.927797+00:00,76.63,38.6,73.0
1772045516927,2026-02-25T18:51:56.927896+00:00,68.76,37.8,73.0
1772045517927,2026-02-25T18:51:57.927968+00:00,88.11,41.7,78.0
1772045518928,2026-02-25T18:51:58.928060+00:00,86.4,38.9,85.0
1772045519928,2026-02-25T18:51:59.928245+00:00,73.71,36.7,85.0
1772045520928,2026-02-25T18:52:00.928343+00:00,67.69,32.7,83.0
1772045521928,2026-02-25T18:52:01.928525+00:00,76.53,39.1,83.0
1772045522929,2026-02-25T18:52:02.929011+00:00,75.63,39.3,83.0
1772045523929,2026-02-25T18:52:03.929090+00:00,78.54,38.3,83.0
1772045524929,2026-02-25T18:52:04.929177+00:00,83.2,39.0,80.0
1772045525929,2026-02-25T18:52:05.929352+00:00,73.7,39.3,87.0
1772045526929,2026-02-25T18:52:06.929430+00:00,83.06,41.4,87.0
1772045527929,2026-02-25T18:52:07.929657+00:00,78.29,38.7,78.0
1772045528929,2026-02-25T18:52:08.929834+00:00,80.44,39.5,78.0
1772045529929,2026-02-25T18:52:09.929911+00:00,77.35,40.3,80.0
1772045530930,2026-02-25T18:52:10.930089+00:00,68.67,35.1,68.0
1772045531930,2026-02-25T18:52:11.930284+00:00,5.67,0.3,68.0
