timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772144005958,2026-02-26T22:13:25.958314+00:00,0.0002,0.0001
1772144006958,2026-02-26T22:13:26.958491+00:00,2.3224,24.9745
1772144007958,2026-02-26T22:13:27.958672+00:00,2.9797,31.0218
1772144008958,2026-02-26T22:13:28.958887+00:00,3.0371,27.5388
1772144009958,2026-02-26T22:13:29.958967+00:00,2.5007,33.6196
1772144010959,2026-02-26T22:13:30.959162+00:00,2.9681,30.8197
1772144011959,2026-02-26T22:13:31.959352+00:00,3.0332,27.7051
1772144012959,2026-02-26T22:13:32.959605+00:00,2.4987,33.5721
1772144013959,2026-02-26T22:13:33.959750+00:00,3.0247,33.5231
1772144014959,2026-02-26T22:13:34.959909+00:00,3.008,29.3907
1772144015960,2026-02-26T22:13:35.960192+00:00,3.0837,29.3323
1772144016960,2026-02-26T22:13:36.960373+00:00,2.4814,33.5451
1772144017960,2026-02-26T22:13:37.960514+00:00,2.9546,30.9982
1772144018960,2026-02-26T22:13:38.960583+00:00,3.0477,27.7152
1772144019960,2026-02-26T22:13:39.960811+00:00,2.4617,33.6108
1772144020960,2026-02-26T22:13:40.960880+00:00,2.9777,30.0137
1772144021961,2026-02-26T22:13:41.961160+00:00,3.0615,28.7409
1772144022961,2026-02-26T22:13:42.961355+00:00,3.0435,33.5373
1772144023961,2026-02-26T22:13:43.961524+00:00,2.454,31.3891
1772144024961,2026-02-26T22:13:44.961719+00:00,3.0114,29.8918
1772144025961,2026-02-26T22:13:45.961914+00:00,3.0897,30.9618
1772144026962,2026-02-26T22:13:46.962055+00:00,2.3829,32.2312
1772144027962,2026-02-26T22:13:47.962244+00:00,3.0284,28.1237
1772144028962,2026-02-26T22:13:48.962390+00:00,3.0875,31.7602
1772144029962,2026-02-26T22:13:49.962514+00:00,2.4697,33.6026
1772144030962,2026-02-26T22:13:50.962724+00:00,2.957,25.0783
1772144031962,2026-02-26T22:13:51.962855+00:00,2.4938,33.545
1772144032962,2026-02-26T22:13:52.962997+00:00,2.991,32.1289
1772144033963,2026-02-26T22:13:53.963167+00:00,3.0315,26.6171
1772144034963,2026-02-26T22:13:54.963312+00:00,2.4226,33.0377
1772144035963,2026-02-26T22:13:55.963494+00:00,2.9897,25.4684
1772144036963,2026-02-26T22:13:56.963696+00:00,2.496,33.4814
1772144037963,2026-02-26T22:13:57.963872+00:00,2.9412,29.7549
1772144038963,2026-02-26T22:13:58.963945+00:00,3.0597,28.9359
1772144039964,2026-02-26T22:13:59.964107+00:00,2.4864,33.6216
1772144040964,2026-02-26T22:14:00.964283+00:00,2.9978,31.3513
1772144041964,2026-02-26T22:14:01.964440+00:00,3.0371,31.0069
1772144042964,2026-02-26T22:14:02.964616+00:00,3.0836,29.9515
1772144043964,2026-02-26T22:14:03.964826+00:00,3.0721,33.6064
1772144044964,2026-02-26T22:14:04.964983+00:00,2.3696,30.8006
1772144045965,2026-02-26T22:14:05.965184+00:00,3.0728,27.6749
1772144046965,2026-02-26T22:14:06.965422+00:00,2.4529,33.6102
1772144047965,2026-02-26T22:14:07.965646+00:00,3.0458,32.6297
1772144048965,2026-02-26T22:14:08.965815+00:00,3.0268,26.564
1772144049966,2026-02-26T22:14:09.966016+00:00,3.1001,33.0231
1772144050966,2026-02-26T22:14:10.966254+00:00,2.4495,33.6161
1772144051966,2026-02-26T22:14:11.966385+00:00,2.9733,28.0963
1772144052966,2026-02-26T22:14:12.966521+00:00,2.4847,30.5905
1772144053966,2026-02-26T22:14:13.966700+00:00,2.9708,30.8973
1772144054966,2026-02-26T22:14:14.966860+00:00,3.0503,27.6502
1772144055967,2026-02-26T22:14:15.967043+00:00,2.4819,33.5562
1772144056967,2026-02-26T22:14:16.967199+00:00,3.0125,31.6473
1772144057967,2026-02-26T22:14:17.967353+00:00,3.0203,26.9939
1772144058967,2026-02-26T22:14:18.967513+00:00,3.0839,33.6101
1772144059967,2026-02-26T22:14:19.967747+00:00,2.3861,32.5458
1772144060967,2026-02-26T22:14:20.967921+00:00,3.0328,26.1622
1772144061968,2026-02-26T22:14:21.968002+00:00,2.4986,33.6111
1772144062968,2026-02-26T22:14:22.968123+00:00,3.0246,32.9428
1772144063968,2026-02-26T22:14:23.968277+00:00,3.026,30.046
1772144064968,2026-02-26T22:14:24.968512+00:00,3.074,32.0939
1772144065968,2026-02-26T22:14:25.968645+00:00,3.0796,30.8512
1772144066968,2026-02-26T22:14:26.968849+00:00,0.1735,8.2716
1772144067969,2026-02-26T22:14:27.969066+00:00,0.0007,0.0001
