timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1772210753187,2026-02-27T16:45:53.187819+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.28,80.0,0,0,1658.75,45
1772210754188,2026-02-27T16:45:54.188002+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.79,80.0,0,0,1658.75,45
1772210755188,2026-02-27T16:45:55.188151+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.75,80.0,0,0,1658.75,45
1772210756188,2026-02-27T16:45:56.188386+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,26.84,80.0,14,6,1658.75,46
1772210757188,2026-02-27T16:45:57.188534+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,31.52,80.0,14,6,1658.75,47
1772210758188,2026-02-27T16:45:58.188732+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,32.19,80.0,9,3,1658.75,48
1772210759188,2026-02-27T16:45:59.188902+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,32.01,80.0,0,0,1658.75,47
1772210760189,2026-02-27T16:46:00.189104+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,34.21,80.0,11,4,1658.75,49
1772210761189,2026-02-27T16:46:01.189282+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,35.66,80.0,2,1,1658.75,47
1772210762189,2026-02-27T16:46:02.189507+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,36.6,80.0,4,1,1658.75,47
1772210763189,2026-02-27T16:46:03.189698+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,37.83,80.0,14,6,1658.75,46
1772210764189,2026-02-27T16:46:04.189907+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,32.93,80.0,14,6,1658.75,46
1772210765190,2026-02-27T16:46:05.190131+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,32.14,80.0,0,0,1658.75,47
1772210766190,2026-02-27T16:46:06.190334+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,33.73,80.0,14,5,1658.75,46
1772210767190,2026-02-27T16:46:07.190499+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,32.03,80.0,0,0,1658.75,47
1772210768190,2026-02-27T16:46:08.190731+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,33.81,80.0,13,5,1658.75,46
1772210769190,2026-02-27T16:46:09.190934+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,32.45,80.0,0,0,1658.75,47
1772210770191,2026-02-27T16:46:10.191160+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,33.68,80.0,13,5,1658.75,47
1772210771191,2026-02-27T16:46:11.191346+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,32.93,80.0,7,3,1658.75,47
1772210772191,2026-02-27T16:46:12.191485+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,33.29,80.0,14,6,1658.75,47
1772210773191,2026-02-27T16:46:13.191726+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,31.68,80.0,14,5,1658.75,47
1772210774191,2026-02-27T16:46:14.191926+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,34.76,80.0,14,6,1658.75,48
1772210775192,2026-02-27T16:46:15.192067+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,32.91,80.0,6,3,1658.75,47
1772210776192,2026-02-27T16:46:16.192237+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,33.34,80.0,14,6,1658.75,47
1772210777192,2026-02-27T16:46:17.192442+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,31.47,80.0,14,6,1658.75,47
