timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772133107065,2026-02-26T19:11:47.065306+00:00,0.0002,0.0
1772133108065,2026-02-26T19:11:48.065488+00:00,6.6074,0.0587
1772133109065,2026-02-26T19:11:49.065557+00:00,9.01,0.074
1772133110065,2026-02-26T19:11:50.065627+00:00,8.41,0.0772
1772133111065,2026-02-26T19:11:51.065811+00:00,8.4094,0.0744
1772133112066,2026-02-26T19:11:52.066020+00:00,8.4104,0.074
1772133113066,2026-02-26T19:11:53.066229+00:00,9.0152,0.0797
1772133114066,2026-02-26T19:11:54.066435+00:00,8.4095,0.077
1772133115066,2026-02-26T19:11:55.066666+00:00,8.4097,0.0732
1772133116066,2026-02-26T19:11:56.066828+00:00,8.8171,0.0748
1772133117066,2026-02-26T19:11:57.066984+00:00,8.6054,0.1007
1772133118067,2026-02-26T19:11:58.067244+00:00,8.4102,0.08
1772133119067,2026-02-26T19:11:59.067443+00:00,8.4101,0.0754
1772133120067,2026-02-26T19:12:00.067643+00:00,8.4838,0.0741
1772133121067,2026-02-26T19:12:01.067845+00:00,8.9371,0.0777
1772133122068,2026-02-26T19:12:02.068066+00:00,8.4098,0.0739
1772133123068,2026-02-26T19:12:03.068221+00:00,9.0104,0.0739
1772133124068,2026-02-26T19:12:04.068422+00:00,8.4094,0.0774
1772133125068,2026-02-26T19:12:05.068654+00:00,8.4095,0.0744
1772133126068,2026-02-26T19:12:06.068867+00:00,8.4094,0.0722
1772133127069,2026-02-26T19:12:07.069029+00:00,8.6131,0.0733
1772133128069,2026-02-26T19:12:08.069231+00:00,8.8065,0.0779
1772133129069,2026-02-26T19:12:09.069442+00:00,8.4095,0.0726
1772133130069,2026-02-26T19:12:10.069620+00:00,9.0101,0.074
1772133131069,2026-02-26T19:12:11.069836+00:00,8.4097,0.078
1772133132070,2026-02-26T19:12:12.070066+00:00,8.41,0.0736
1772133133070,2026-02-26T19:12:13.070271+00:00,8.4094,0.0729
1772133134070,2026-02-26T19:12:14.070448+00:00,9.0099,0.0737
1772133135070,2026-02-26T19:12:15.070647+00:00,8.4094,0.0768
1772133136070,2026-02-26T19:12:16.070870+00:00,8.4097,0.073
1772133137071,2026-02-26T19:12:17.071067+00:00,8.4096,0.0738
1772133138071,2026-02-26T19:12:18.071231+00:00,9.01,0.0743
1772133139071,2026-02-26T19:12:19.071454+00:00,8.4095,0.0783
1772133140071,2026-02-26T19:12:20.071658+00:00,8.4096,0.0723
1772133141071,2026-02-26T19:12:21.071734+00:00,9.01,0.0742
1772133142071,2026-02-26T19:12:22.071929+00:00,8.4098,0.0766
1772133143072,2026-02-26T19:12:23.072133+00:00,8.4094,0.0739
1772133144072,2026-02-26T19:12:24.072335+00:00,8.4094,0.0727
1772133145072,2026-02-26T19:12:25.072551+00:00,9.01,0.0782
1772133146072,2026-02-26T19:12:26.072796+00:00,8.4095,0.0728
1772133147073,2026-02-26T19:12:27.073017+00:00,8.4097,0.0729
1772133148073,2026-02-26T19:12:28.073166+00:00,8.8629,0.0747
1772133149073,2026-02-26T19:12:29.073383+00:00,8.5566,0.0787
1772133150073,2026-02-26T19:12:30.073638+00:00,8.4094,0.0729
1772133151073,2026-02-26T19:12:31.073810+00:00,8.4791,0.0728
1772133152073,2026-02-26T19:12:32.073979+00:00,8.9407,0.0738
1772133153074,2026-02-26T19:12:33.074198+00:00,8.4097,0.0769
1772133154074,2026-02-26T19:12:34.074398+00:00,8.4095,0.0731
1772133155074,2026-02-26T19:12:35.074564+00:00,8.6549,0.0727
1772133156074,2026-02-26T19:12:36.074683+00:00,8.7644,0.0738
1772133157074,2026-02-26T19:12:37.074920+00:00,8.4094,0.0769
1772133158075,2026-02-26T19:12:38.075130+00:00,8.4094,0.0725
1772133159075,2026-02-26T19:12:39.075282+00:00,8.4618,0.0726
1772133160075,2026-02-26T19:12:40.075492+00:00,8.958,0.0773
1772133161075,2026-02-26T19:12:41.075705+00:00,8.4094,0.0726
1772133162075,2026-02-26T19:12:42.075898+00:00,8.4096,0.0731
1772133163076,2026-02-26T19:12:43.076068+00:00,8.9885,0.0746
1772133164076,2026-02-26T19:12:44.076293+00:00,8.431,0.076
1772133165076,2026-02-26T19:12:45.076492+00:00,8.4094,0.0734
1772133166076,2026-02-26T19:12:46.076693+00:00,8.4097,0.073
1772133167076,2026-02-26T19:12:47.076882+00:00,9.0101,0.0783
1772133168077,2026-02-26T19:12:48.077087+00:00,1.8023,0.0157
1772133169077,2026-02-26T19:12:49.077316+00:00,0.0004,0.0001
