timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1779117449011,2026-05-18T15:17:29.011553+00:00,5.34,0.2,50.0
1779117450011,2026-05-18T15:17:30.011723+00:00,41.4,19.4,50.0
1779117451011,2026-05-18T15:17:31.011889+00:00,49.32,22.6,72.0
1779117452012,2026-05-18T15:17:32.012044+00:00,46.38,21.4,72.0
1779117453012,2026-05-18T15:17:33.012218+00:00,48.84,23.0,64.0
1779117454012,2026-05-18T15:17:34.012388+00:00,51.03,23.0,64.0
1779117455012,2026-05-18T15:17:35.012560+00:00,50.11,23.3,58.0
1779117456012,2026-05-18T15:17:36.012796+00:00,47.39,22.1,58.0
1779117457012,2026-05-18T15:17:37.012953+00:00,47.32,21.6,67.0
1779117458013,2026-05-18T15:17:38.013099+00:00,50.81,23.2,67.0
1779117459013,2026-05-18T15:17:39.013174+00:00,50.56,22.5,64.0
1779117460013,2026-05-18T15:17:40.013252+00:00,51.82,23.4,64.0
1779117461013,2026-05-18T15:17:41.013479+00:00,51.14,23.1,63.0
1779117462013,2026-05-18T15:17:42.013647+00:00,51.47,23.7,57.0
1779117463013,2026-05-18T15:17:43.013726+00:00,51.03,23.3,62.0
1779117464013,2026-05-18T15:17:44.013804+00:00,51.98,22.6,62.0
1779117465013,2026-05-18T15:17:45.013899+00:00,43.77,19.8,71.0
1779117466014,2026-05-18T15:17:46.014073+00:00,50.41,23.6,71.0
1779117467014,2026-05-18T15:17:47.014237+00:00,50.16,22.8,74.0
1779117468014,2026-05-18T15:17:48.014340+00:00,47.84,21.8,74.0
1779117469014,2026-05-18T15:17:49.014606+00:00,49.97,23.2,58.0
1779117470014,2026-05-18T15:17:50.014765+00:00,51.46,23.7,58.0
1779117471014,2026-05-18T15:17:51.014922+00:00,51.92,23.6,58.0
1779117472015,2026-05-18T15:17:52.015052+00:00,51.66,23.3,58.0
1779117473015,2026-05-18T15:17:53.015225+00:00,52.39,23.4,60.0
1779117474015,2026-05-18T15:17:54.015424+00:00,23.79,9.6,54.0
1779117475015,2026-05-18T15:17:55.015598+00:00,6.15,0.6,54.0
1779117476015,2026-05-18T15:17:56.015868+00:00,10.15,3.1,69.0
1779117477016,2026-05-18T15:17:57.016019+00:00,47.6,21.3,68.0
1779117478016,2026-05-18T15:17:58.016196+00:00,50.46,22.8,58.0
1779117479016,2026-05-18T15:17:59.016331+00:00,52.03,23.8,58.0
1779117480016,2026-05-18T15:18:00.016518+00:00,50.06,23.3,73.0
1779117481016,2026-05-18T15:18:01.016695+00:00,48.22,22.0,76.0
1779117482016,2026-05-18T15:18:02.016900+00:00,49.73,22.5,76.0
1779117483017,2026-05-18T15:18:03.017293+00:00,51.29,22.9,73.0
1779117484017,2026-05-18T15:18:04.017472+00:00,50.02,22.2,73.0
1779117485017,2026-05-18T15:18:05.017621+00:00,52.23,22.7,59.0
1779117486017,2026-05-18T15:18:06.017780+00:00,51.93,23.2,59.0
1779117487017,2026-05-18T15:18:07.017949+00:00,51.97,23.6,68.0
1779117488018,2026-05-18T15:18:08.018055+00:00,44.04,19.6,68.0
1779117489018,2026-05-18T15:18:09.018211+00:00,51.45,22.9,59.0
1779117490018,2026-05-18T15:18:10.018377+00:00,51.38,23.3,59.0
1779117491018,2026-05-18T15:18:11.018598+00:00,47.36,21.9,77.0
1779117492018,2026-05-18T15:18:12.018781+00:00,49.53,22.7,77.0
1779117493018,2026-05-18T15:18:13.018941+00:00,50.15,22.5,58.0
1779117494019,2026-05-18T15:18:14.019101+00:00,51.77,23.4,58.0
1779117495019,2026-05-18T15:18:15.019297+00:00,51.82,23.9,67.0
1779117496019,2026-05-18T15:18:16.019478+00:00,52.12,23.6,67.0
1779117497019,2026-05-18T15:18:17.019563+00:00,50.51,23.2,77.0
1779117498019,2026-05-18T15:18:18.019832+00:00,52.58,24.1,76.0
1779117499019,2026-05-18T15:18:19.019912+00:00,51.98,23.2,76.0
1779117500020,2026-05-18T15:18:20.020088+00:00,46.87,21.5,76.0
1779117501020,2026-05-18T15:18:21.020283+00:00,51.8,23.4,76.0
1779117502020,2026-05-18T15:18:22.020453+00:00,51.16,22.7,76.0
1779117503020,2026-05-18T15:18:23.020488+00:00,48.77,21.2,76.0
1779117504020,2026-05-18T15:18:24.020635+00:00,51.87,23.2,63.0
1779117505020,2026-05-18T15:18:25.020775+00:00,51.17,23.4,68.0
1779117506020,2026-05-18T15:18:26.020966+00:00,48.92,22.6,68.0
1779117507021,2026-05-18T15:18:27.021144+00:00,49.34,22.7,75.0
1779117508021,2026-05-18T15:18:28.021315+00:00,51.95,23.4,75.0
1779117509021,2026-05-18T15:18:29.021414+00:00,51.95,23.6,80.0
1779117510021,2026-05-18T15:18:30.021622+00:00,51.6,24.0,78.0
1779117511021,2026-05-18T15:18:31.021698+00:00,52.14,23.3,78.0
1779117512021,2026-05-18T15:18:32.021929+00:00,49.08,22.2,75.0
1779117513022,2026-05-18T15:18:33.022006+00:00,52.04,23.5,75.0
1779117514022,2026-05-18T15:18:34.022152+00:00,49.54,22.2,71.0
1779117515022,2026-05-18T15:18:35.022317+00:00,49.94,22.2,60.0
1779117516022,2026-05-18T15:18:36.022489+00:00,52.35,23.6,60.0
1779117517022,2026-05-18T15:18:37.022630+00:00,51.36,23.0,63.0
1779117518022,2026-05-18T15:18:38.022762+00:00,51.95,23.2,63.0
1779117519022,2026-05-18T15:18:39.022931+00:00,51.71,23.1,79.0
1779117520023,2026-05-18T15:18:40.023115+00:00,50.52,22.6,78.0
1779117521023,2026-05-18T15:18:41.023257+00:00,53.76,24.3,78.0
1779117522023,2026-05-18T15:18:42.023432+00:00,52.61,24.4,71.0
1779117523023,2026-05-18T15:18:43.023667+00:00,47.82,21.5,82.0
1779117524023,2026-05-18T15:18:44.023842+00:00,49.79,22.7,82.0
1779117525023,2026-05-18T15:18:45.023971+00:00,50.77,22.0,63.0
1779117526024,2026-05-18T15:18:46.024056+00:00,52.69,23.0,63.0
1779117527024,2026-05-18T15:18:47.024212+00:00,51.69,23.3,72.0
1779117528024,2026-05-18T15:18:48.024360+00:00,48.61,22.4,72.0
1779117529024,2026-05-18T15:18:49.024568+00:00,51.71,23.1,74.0
1779117530024,2026-05-18T15:18:50.024778+00:00,49.99,22.8,74.0
1779117531024,2026-05-18T15:18:51.024957+00:00,52.54,23.9,74.0
1779117532025,2026-05-18T15:18:52.025150+00:00,51.99,23.4,75.0
1779117533025,2026-05-18T15:18:53.025322+00:00,53.43,24.2,77.0
1779117534025,2026-05-18T15:18:54.025482+00:00,51.05,23.2,77.0
1779117535025,2026-05-18T15:18:55.025636+00:00,50.04,22.3,60.0
1779117536025,2026-05-18T15:18:56.025801+00:00,51.65,23.3,60.0
1779117537025,2026-05-18T15:18:57.025960+00:00,52.54,23.8,64.0
1779117538026,2026-05-18T15:18:58.026171+00:00,52.36,23.0,64.0
1779117539026,2026-05-18T15:18:59.026327+00:00,53.51,23.8,69.0
1779117540026,2026-05-18T15:19:00.026516+00:00,41.89,18.4,60.0
1779117541026,2026-05-18T15:19:01.026686+00:00,52.39,23.4,60.0
1779117542026,2026-05-18T15:19:02.026864+00:00,51.23,23.5,71.0
1779117543027,2026-05-18T15:19:03.027070+00:00,52.28,23.9,71.0
1779117544027,2026-05-18T15:19:04.027225+00:00,51.56,23.2,68.0
1779117545027,2026-05-18T15:19:05.027414+00:00,49.86,22.6,68.0
1779117546027,2026-05-18T15:19:06.027599+00:00,45.92,20.0,62.0
1779117547027,2026-05-18T15:19:07.027779+00:00,51.73,23.3,62.0
1779117548027,2026-05-18T15:19:08.027855+00:00,44.76,20.0,74.0
1779117549028,2026-05-18T15:19:09.028104+00:00,50.68,23.1,73.0
1779117550028,2026-05-18T15:19:10.028320+00:00,51.5,23.0,63.0
1779117551028,2026-05-18T15:19:11.028525+00:00,54.32,24.3,63.0
1779117552028,2026-05-18T15:19:12.028559+00:00,52.23,23.6,62.0
1779117553028,2026-05-18T15:19:13.028600+00:00,52.83,23.6,63.0
1779117554028,2026-05-18T15:19:14.028751+00:00,52.6,23.3,63.0
1779117555028,2026-05-18T15:19:15.028925+00:00,53.28,24.1,69.0
1779117556029,2026-05-18T15:19:16.029001+00:00,33.63,13.8,57.0
1779117557029,2026-05-18T15:19:17.029156+00:00,6.09,0.5,57.0
1779117558029,2026-05-18T15:19:18.029324+00:00,5.6,0.4,56.0
1779117559029,2026-05-18T15:19:19.029412+00:00,51.45,23.3,56.0
1779117560029,2026-05-18T15:19:20.029656+00:00,46.21,20.4,76.0
1779117561029,2026-05-18T15:19:21.029736+00:00,50.41,22.2,73.0
1779117562029,2026-05-18T15:19:22.029901+00:00,51.77,22.6,60.0
1779117563030,2026-05-18T15:19:23.030064+00:00,52.73,23.8,60.0
1779117564030,2026-05-18T15:19:24.030239+00:00,53.05,23.7,71.0
1779117565030,2026-05-18T15:19:25.030386+00:00,51.15,23.0,71.0
1779117566030,2026-05-18T15:19:26.030554+00:00,54.17,23.8,73.0
1779117567030,2026-05-18T15:19:27.030738+00:00,45.85,20.3,74.0
1779117568030,2026-05-18T15:19:28.030892+00:00,50.6,21.9,74.0
1779117569030,2026-05-18T15:19:29.030971+00:00,51.87,23.4,69.0
1779117570031,2026-05-18T15:19:30.031181+00:00,15.38,5.3,57.0
1779117571031,2026-05-18T15:19:31.031391+00:00,5.84,0.3,57.0
