timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1779119496544,2026-05-18T15:51:36.544012+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,17.06,80.0,0,0,2616.12,40
1779119497544,2026-05-18T15:51:37.544089+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,17.75,80.0,0,0,2616.12,40
1779119498544,2026-05-18T15:51:38.544284+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.21,80.0,0,0,2616.12,41
1779119499544,2026-05-18T15:51:39.544473+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.19,80.0,4,2,2616.12,41
1779119500544,2026-05-18T15:51:40.544619+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.26,80.0,0,0,2616.12,40
1779119501544,2026-05-18T15:51:41.544845+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.77,80.0,0,0,2616.12,41
1779119502544,2026-05-18T15:51:42.544916+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.42,80.0,4,2,2616.12,41
1779119503545,2026-05-18T15:51:43.545142+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.66,80.0,4,2,2616.12,41
1779119504545,2026-05-18T15:51:44.545325+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.15,80.0,4,2,2616.12,40
1779119505545,2026-05-18T15:51:45.545490+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.33,80.0,0,0,2616.12,41
1779119506545,2026-05-18T15:51:46.545699+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.59,80.0,0,0,2616.12,41
1779119507545,2026-05-18T15:51:47.545780+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.43,80.0,4,2,2616.12,40
1779119508545,2026-05-18T15:51:48.545847+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.74,80.0,0,0,2616.12,40
1779119509545,2026-05-18T15:51:49.545994+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.84,80.0,0,0,2616.12,41
1779119510546,2026-05-18T15:51:50.546211+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.48,80.0,0,0,2616.12,41
1779119511546,2026-05-18T15:51:51.546415+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.76,80.0,0,0,2616.12,41
1779119512546,2026-05-18T15:51:52.546655+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.52,80.0,4,2,2616.12,41
1779119513546,2026-05-18T15:51:53.546880+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.82,80.0,4,2,2616.12,41
1779119514547,2026-05-18T15:51:54.547096+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.54,80.0,0,0,2616.12,41
1779119515547,2026-05-18T15:51:55.547318+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.56,80.0,4,2,2616.12,41
1779119516547,2026-05-18T15:51:56.547525+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.78,80.0,0,0,2616.12,41
1779119517547,2026-05-18T15:51:57.547684+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.43,80.0,2,1,2616.12,40
1779119518547,2026-05-18T15:51:58.547896+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.72,80.0,0,0,2616.12,40
1779119519548,2026-05-18T15:51:59.548101+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.18,80.0,0,0,2616.12,40
1779119520548,2026-05-18T15:52:00.548311+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.08,80.0,4,2,2616.12,41
