timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1779123487406,2026-05-18T16:58:07.406938+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,17.49,80.0,9,1,970.12,37
1779123488407,2026-05-18T16:58:08.407129+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,17.51,80.0,0,0,970.12,38
1779123489407,2026-05-18T16:58:09.407268+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.76,80.0,6,1,970.12,38
1779123490407,2026-05-18T16:58:10.407428+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.23,80.0,3,0,970.12,38
1779123491407,2026-05-18T16:58:11.407607+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.07,80.0,3,0,970.12,38
1779123492407,2026-05-18T16:58:12.407785+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.07,80.0,6,1,970.12,38
1779123493407,2026-05-18T16:58:13.407935+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.98,80.0,3,0,970.12,38
1779123494408,2026-05-18T16:58:14.408129+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.2,80.0,3,0,970.12,38
1779123495408,2026-05-18T16:58:15.408360+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.19,80.0,3,0,970.12,38
1779123496408,2026-05-18T16:58:16.408591+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.83,80.0,6,1,970.12,38
1779123497408,2026-05-18T16:58:17.408822+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.18,80.0,3,0,970.12,38
1779123498408,2026-05-18T16:58:18.408996+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.99,80.0,3,0,970.12,38
1779123499409,2026-05-18T16:58:19.409164+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.04,80.0,6,1,970.12,38
1779123500409,2026-05-18T16:58:20.409327+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.05,80.0,6,1,970.12,38
1779123501409,2026-05-18T16:58:21.409490+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.98,80.0,3,0,970.12,38
1779123502409,2026-05-18T16:58:22.409690+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.2,80.0,3,0,970.12,38
1779123503410,2026-05-18T16:58:23.410004+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.9,80.0,6,1,970.12,38
1779123504410,2026-05-18T16:58:24.410176+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.29,80.0,6,1,970.12,38
1779123505410,2026-05-18T16:58:25.410392+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.99,80.0,3,0,970.12,38
1779123506410,2026-05-18T16:58:26.410581+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.9,80.0,3,0,970.12,38
1779123507410,2026-05-18T16:58:27.410794+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.21,80.0,3,0,970.12,38
1779123508410,2026-05-18T16:58:28.410977+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.22,80.0,6,1,970.12,39
1779123509411,2026-05-18T16:58:29.411139+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.35,80.0,3,0,970.12,38
1779123510411,2026-05-18T16:58:30.411295+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.24,80.0,3,0,970.12,38
1779123511411,2026-05-18T16:58:31.411453+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.56,80.0,6,1,970.12,39
1779123512411,2026-05-18T16:58:32.411642+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.08,80.0,5,1,970.12,38
1779123513411,2026-05-18T16:58:33.411797+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.24,80.0,3,0,970.12,38
1779123514411,2026-05-18T16:58:34.411977+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.9,80.0,3,0,970.12,38
1779123515412,2026-05-18T16:58:35.412151+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.12,80.0,6,1,970.12,39
1779123516412,2026-05-18T16:58:36.412315+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.89,80.0,6,1,970.12,38
1779123517412,2026-05-18T16:58:37.412501+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.07,80.0,3,0,970.12,38
1779123518412,2026-05-18T16:58:38.412669+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.16,80.0,3,0,970.12,38
1779123519412,2026-05-18T16:58:39.412846+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.0,80.0,6,1,970.12,39
1779123520413,2026-05-18T16:58:40.413004+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.91,80.0,6,1,970.12,39
1779123521413,2026-05-18T16:58:41.413168+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.04,80.0,6,1,970.12,38
1779123522413,2026-05-18T16:58:42.413350+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.14,80.0,3,0,970.12,38
1779123523413,2026-05-18T16:58:43.413510+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.98,80.0,6,1,970.12,38
1779123524413,2026-05-18T16:58:44.413692+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.98,80.0,3,0,970.12,39
1779123525413,2026-05-18T16:58:45.413912+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.21,80.0,3,0,970.12,39
1779123526414,2026-05-18T16:58:46.414046+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.0,80.0,6,1,970.12,39
1779123527414,2026-05-18T16:58:47.414237+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.18,80.0,6,1,970.12,39
