timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1779123810820,2026-05-18T17:03:30.820822+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,17.85,80.0,0,0,970.12,39
1779123811820,2026-05-18T17:03:31.820882+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,18.28,80.0,6,1,970.12,39
1779123812820,2026-05-18T17:03:32.820964+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.35,80.0,3,0,970.12,40
1779123813821,2026-05-18T17:03:33.821188+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.3,80.0,3,0,970.12,39
1779123814821,2026-05-18T17:03:34.821388+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.25,80.0,6,1,970.12,39
1779123815821,2026-05-18T17:03:35.821535+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.58,80.0,5,1,970.12,39
1779123816821,2026-05-18T17:03:36.821714+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.08,80.0,3,0,970.12,40
1779123817821,2026-05-18T17:03:37.821931+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.34,80.0,3,0,970.12,39
1779123818822,2026-05-18T17:03:38.822124+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.7,80.0,6,1,970.12,39
1779123819822,2026-05-18T17:03:39.822351+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.41,80.0,3,0,970.12,40
1779123820822,2026-05-18T17:03:40.822561+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.08,80.0,3,0,970.12,39
1779123821822,2026-05-18T17:03:41.822790+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.58,80.0,6,1,970.12,39
1779123822822,2026-05-18T17:03:42.822947+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.51,80.0,4,0,970.12,39
1779123823823,2026-05-18T17:03:43.823145+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.36,80.0,3,0,970.12,40
1779123824823,2026-05-18T17:03:44.823320+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.04,80.0,3,0,970.12,39
1779123825823,2026-05-18T17:03:45.823517+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.76,80.0,6,1,970.12,39
1779123826823,2026-05-18T17:03:46.823606+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.62,80.0,3,0,970.12,39
1779123827823,2026-05-18T17:03:47.823830+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.91,80.0,3,0,970.12,40
1779123828824,2026-05-18T17:03:48.824020+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.54,80.0,6,0,970.12,39
