timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770711766227,2026-02-10T08:22:46.227365+00:00,4.68,0.0,43.0
1770711767227,2026-02-10T08:22:47.227596+00:00,5.28,1.5,43.0
1770711768227,2026-02-10T08:22:48.227816+00:00,5.91,1.4,43.0
1770711769227,2026-02-10T08:22:49.227996+00:00,5.82,1.4,43.0
1770711770228,2026-02-10T08:22:50.228185+00:00,6.05,1.2,43.0
1770711771228,2026-02-10T08:22:51.228267+00:00,6.2,1.8,43.0
1770711772228,2026-02-10T08:22:52.228410+00:00,6.19,1.5,43.0
1770711773228,2026-02-10T08:22:53.228572+00:00,6.13,1.4,43.0
1770711774228,2026-02-10T08:22:54.228760+00:00,5.89,1.5,43.0
1770711775228,2026-02-10T08:22:55.228924+00:00,5.97,1.4,43.0
1770711776229,2026-02-10T08:22:56.229075+00:00,6.21,1.8,43.0
1770711777229,2026-02-10T08:22:57.229154+00:00,6.06,1.4,43.0
1770711778229,2026-02-10T08:22:58.229318+00:00,5.82,1.4,43.0
1770711779229,2026-02-10T08:22:59.229394+00:00,6.07,1.5,42.0
1770711780229,2026-02-10T08:23:00.229550+00:00,6.14,1.3,42.0
1770711781229,2026-02-10T08:23:01.229714+00:00,6.15,1.5,44.0
1770711782229,2026-02-10T08:23:02.229745+00:00,6.12,1.2,44.0
1770711783229,2026-02-10T08:23:03.229877+00:00,6.09,1.3,43.0
1770711784230,2026-02-10T08:23:04.230043+00:00,6.02,1.4,43.0
1770711785230,2026-02-10T08:23:05.230215+00:00,6.22,1.3,43.0
1770711786230,2026-02-10T08:23:06.230283+00:00,6.15,1.5,43.0
1770711787230,2026-02-10T08:23:07.230447+00:00,6.17,1.6,42.0
1770711788230,2026-02-10T08:23:08.230579+00:00,5.9,1.3,42.0
1770711789230,2026-02-10T08:23:09.230800+00:00,6.15,1.3,42.0
1770711790231,2026-02-10T08:23:10.231015+00:00,6.09,1.5,43.0
1770711791231,2026-02-10T08:23:11.231241+00:00,6.12,1.4,43.0
1770711792231,2026-02-10T08:23:12.231317+00:00,6.28,1.5,43.0
1770711793231,2026-02-10T08:23:13.231457+00:00,5.59,1.3,43.0
1770711794231,2026-02-10T08:23:14.231547+00:00,5.68,1.3,43.0
1770711795231,2026-02-10T08:23:15.231699+00:00,5.55,1.5,43.0
1770711796231,2026-02-10T08:23:16.231731+00:00,5.65,1.3,43.0
1770711797231,2026-02-10T08:23:17.231814+00:00,5.65,1.3,43.0
1770711798231,2026-02-10T08:23:18.231896+00:00,5.69,1.3,43.0
1770711799232,2026-02-10T08:23:19.232064+00:00,5.78,1.3,42.0
1770711800232,2026-02-10T08:23:20.232173+00:00,5.63,1.2,43.0
1770711801232,2026-02-10T08:23:21.232249+00:00,5.87,1.5,43.0
1770711802232,2026-02-10T08:23:22.232462+00:00,5.93,1.5,43.0
1770711803232,2026-02-10T08:23:23.232637+00:00,5.58,1.4,43.0
1770711804232,2026-02-10T08:23:24.232874+00:00,5.74,1.4,42.0
1770711805232,2026-02-10T08:23:25.232942+00:00,5.72,1.5,42.0
1770711806233,2026-02-10T08:23:26.233025+00:00,5.7,1.3,42.0
1770711807233,2026-02-10T08:23:27.233113+00:00,5.73,1.5,42.0
1770711808233,2026-02-10T08:23:28.233191+00:00,5.57,1.2,43.0
1770711809233,2026-02-10T08:23:29.233267+00:00,5.98,1.4,43.0
1770711810233,2026-02-10T08:23:30.233415+00:00,5.82,1.1,41.0
1770711811233,2026-02-10T08:23:31.233486+00:00,5.78,1.5,41.0
1770711812233,2026-02-10T08:23:32.233663+00:00,5.79,1.3,43.0
1770711813233,2026-02-10T08:23:33.233729+00:00,5.77,1.3,43.0
1770711814233,2026-02-10T08:23:34.233801+00:00,6.0,1.2,42.0
1770711815233,2026-02-10T08:23:35.233889+00:00,5.7,1.1,42.0
1770711816233,2026-02-10T08:23:36.233966+00:00,5.87,1.4,42.0
1770711817234,2026-02-10T08:23:37.234143+00:00,5.7,1.2,42.0
1770711818234,2026-02-10T08:23:38.234226+00:00,5.92,1.5,42.0
1770711819234,2026-02-10T08:23:39.234424+00:00,5.74,1.3,42.0
1770711820234,2026-02-10T08:23:40.234494+00:00,5.87,1.4,42.0
1770711821234,2026-02-10T08:23:41.234570+00:00,6.18,1.5,42.0
1770711822234,2026-02-10T08:23:42.234646+00:00,6.12,1.6,42.0
1770711823234,2026-02-10T08:23:43.234866+00:00,6.03,1.0,42.0
1770711824234,2026-02-10T08:23:44.234937+00:00,5.97,1.4,42.0
1770711825235,2026-02-10T08:23:45.235012+00:00,5.91,1.0,42.0
1770711826235,2026-02-10T08:23:46.235095+00:00,5.7,1.2,42.0
1770711827235,2026-02-10T08:23:47.235277+00:00,6.12,1.8,42.0
1770711828235,2026-02-10T08:23:48.235461+00:00,6.03,1.2,42.0
1770711829235,2026-02-10T08:23:49.235636+00:00,5.9,1.3,42.0
1770711830235,2026-02-10T08:23:50.235875+00:00,5.88,1.2,42.0
1770711831236,2026-02-10T08:23:51.236024+00:00,5.98,1.4,42.0
1770711832236,2026-02-10T08:23:52.236093+00:00,5.95,1.1,42.0
1770711833236,2026-02-10T08:23:53.236343+00:00,6.0,1.3,41.0
1770711834236,2026-02-10T08:23:54.236596+00:00,5.9,1.2,42.0
1770711835236,2026-02-10T08:23:55.236663+00:00,5.9,1.2,42.0
1770711836236,2026-02-10T08:23:56.236906+00:00,5.95,1.1,42.0
1770711837237,2026-02-10T08:23:57.237078+00:00,5.88,1.3,42.0
1770711838237,2026-02-10T08:23:58.237147+00:00,5.8,1.2,42.0
1770711839237,2026-02-10T08:23:59.237223+00:00,5.77,1.3,42.0
1770711840237,2026-02-10T08:24:00.237400+00:00,5.92,1.2,42.0
1770711841237,2026-02-10T08:24:01.237624+00:00,5.79,1.1,41.0
1770711842237,2026-02-10T08:24:02.237761+00:00,5.9,1.4,41.0
1770711843237,2026-02-10T08:24:03.237928+00:00,5.89,1.2,42.0
1770711844238,2026-02-10T08:24:04.238145+00:00,5.82,1.3,42.0
1770711845238,2026-02-10T08:24:05.238217+00:00,5.93,1.3,42.0
1770711846238,2026-02-10T08:24:06.238297+00:00,5.77,1.1,42.0
1770711847238,2026-02-10T08:24:07.238434+00:00,6.21,1.3,42.0
1770711848238,2026-02-10T08:24:08.238606+00:00,5.86,1.3,42.0
1770711849238,2026-02-10T08:24:09.238840+00:00,5.95,1.3,41.0
1770711850238,2026-02-10T08:24:10.238911+00:00,5.81,1.3,41.0
1770711851238,2026-02-10T08:24:11.238982+00:00,5.92,1.1,42.0
1770711852239,2026-02-10T08:24:12.239058+00:00,6.03,1.2,42.0
1770711853239,2026-02-10T08:24:13.239140+00:00,5.98,1.4,42.0
1770711854239,2026-02-10T08:24:14.239209+00:00,5.7,1.1,42.0
1770711855239,2026-02-10T08:24:15.239285+00:00,5.91,1.3,42.0
1770711856239,2026-02-10T08:24:16.239359+00:00,5.82,1.2,42.0
1770711857239,2026-02-10T08:24:17.239428+00:00,5.95,1.0,42.0
1770711858239,2026-02-10T08:24:18.239623+00:00,6.04,1.2,42.0
1770711859239,2026-02-10T08:24:19.239824+00:00,5.91,1.2,41.0
1770711860239,2026-02-10T08:24:20.239900+00:00,6.03,1.3,41.0
1770711861240,2026-02-10T08:24:21.240082+00:00,5.95,1.1,42.0
1770711862240,2026-02-10T08:24:22.240159+00:00,5.96,1.2,42.0
1770711863240,2026-02-10T08:24:23.240567+00:00,5.76,1.4,41.0
1770711864240,2026-02-10T08:24:24.240733+00:00,5.94,1.3,41.0
1770711865240,2026-02-10T08:24:25.240801+00:00,5.95,1.3,42.0
1770711866240,2026-02-10T08:24:26.240959+00:00,5.6,1.2,41.0
1770711867241,2026-02-10T08:24:27.241131+00:00,6.04,1.3,41.0
1770711868241,2026-02-10T08:24:28.241200+00:00,5.91,1.3,42.0
1770711869241,2026-02-10T08:24:29.241318+00:00,5.78,1.3,42.0
1770711870241,2026-02-10T08:24:30.241505+00:00,5.83,1.2,42.0
1770711871241,2026-02-10T08:24:31.241620+00:00,5.96,1.3,42.0
1770711872241,2026-02-10T08:24:32.241690+00:00,5.85,1.4,42.0
1770711873241,2026-02-10T08:24:33.241810+00:00,5.7,1.2,42.0
1770711874241,2026-02-10T08:24:34.241940+00:00,5.74,1.3,42.0
1770711875242,2026-02-10T08:24:35.242066+00:00,5.8,1.4,42.0
1770711876242,2026-02-10T08:24:36.242258+00:00,5.84,1.3,41.0
1770711877242,2026-02-10T08:24:37.242419+00:00,5.8,1.4,41.0
1770711878242,2026-02-10T08:24:38.242532+00:00,5.81,1.4,41.0
1770711879242,2026-02-10T08:24:39.242647+00:00,5.91,1.3,41.0
1770711880242,2026-02-10T08:24:40.242779+00:00,5.89,1.3,41.0
1770711881242,2026-02-10T08:24:41.242959+00:00,5.75,1.3,41.0
1770711882243,2026-02-10T08:24:42.243152+00:00,5.86,1.3,41.0
1770711883243,2026-02-10T08:24:43.243315+00:00,5.72,1.3,41.0
1770711884243,2026-02-10T08:24:44.243447+00:00,5.92,1.1,41.0
1770711885243,2026-02-10T08:24:45.243618+00:00,5.97,1.5,42.0
1770711886243,2026-02-10T08:24:46.243806+00:00,5.86,1.3,42.0
1770711887243,2026-02-10T08:24:47.243997+00:00,5.89,1.4,40.0
1770711888244,2026-02-10T08:24:48.244208+00:00,5.91,1.3,41.0
1770711889244,2026-02-10T08:24:49.244354+00:00,5.89,1.2,41.0
1770711890244,2026-02-10T08:24:50.244532+00:00,5.93,1.2,42.0
1770711891244,2026-02-10T08:24:51.244680+00:00,5.86,1.3,42.0
1770711892244,2026-02-10T08:24:52.244856+00:00,6.0,1.4,41.0
1770711893245,2026-02-10T08:24:53.245087+00:00,5.98,1.3,41.0
1770711894245,2026-02-10T08:24:54.245292+00:00,4.93,0.3,41.0
