timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770898195851,2026-02-12T12:09:55.851144+00:00,4.98,0.0,45.0
1770898196851,2026-02-12T12:09:56.851357+00:00,6.89,5.0,45.0
1770898197851,2026-02-12T12:09:57.851602+00:00,7.79,6.5,47.0
1770898198851,2026-02-12T12:09:58.851793+00:00,7.87,6.0,47.0
1770898199852,2026-02-12T12:09:59.852004+00:00,8.65,6.0,47.0
1770898200852,2026-02-12T12:10:00.852092+00:00,8.22,5.8,47.0
1770898201852,2026-02-12T12:10:01.852178+00:00,8.39,6.0,47.0
1770898202852,2026-02-12T12:10:02.852366+00:00,8.36,6.2,47.0
1770898203852,2026-02-12T12:10:03.852594+00:00,8.34,6.0,46.0
1770898204852,2026-02-12T12:10:04.852674+00:00,8.26,6.3,46.0
1770898205852,2026-02-12T12:10:05.852868+00:00,8.23,6.1,47.0
1770898206853,2026-02-12T12:10:06.853074+00:00,8.24,6.2,47.0
1770898207853,2026-02-12T12:10:07.853161+00:00,8.09,6.0,48.0
1770898208853,2026-02-12T12:10:08.853244+00:00,8.09,6.4,48.0
1770898209853,2026-02-12T12:10:09.853429+00:00,8.12,6.6,48.0
1770898210853,2026-02-12T12:10:10.853592+00:00,8.3,5.9,47.0
1770898211853,2026-02-12T12:10:11.853840+00:00,8.57,6.5,47.0
1770898212854,2026-02-12T12:10:12.854058+00:00,8.33,6.2,47.0
1770898213854,2026-02-12T12:10:13.854278+00:00,7.85,6.5,48.0
1770898214854,2026-02-12T12:10:14.854412+00:00,7.8,6.4,48.0
1770898215854,2026-02-12T12:10:15.854582+00:00,8.11,6.3,48.0
1770898216854,2026-02-12T12:10:16.854741+00:00,7.9,6.4,48.0
1770898217854,2026-02-12T12:10:17.854981+00:00,7.83,5.7,48.0
1770898218855,2026-02-12T12:10:18.855164+00:00,5.28,0.2,48.0
1770898219855,2026-02-12T12:10:19.855380+00:00,4.88,0.3,46.0
