timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770712198712,2026-02-10T08:29:58.712618+00:00,4.92,0.0,45.0
1770712199712,2026-02-10T08:29:59.712800+00:00,6.62,3.6,45.0
1770712200712,2026-02-10T08:30:00.712954+00:00,7.26,4.4,45.0
1770712201713,2026-02-10T08:30:01.713165+00:00,7.48,4.4,46.0
1770712202713,2026-02-10T08:30:02.713326+00:00,7.44,4.3,45.0
1770712203713,2026-02-10T08:30:03.713548+00:00,7.65,4.5,45.0
1770712204713,2026-02-10T08:30:04.713736+00:00,7.17,4.3,45.0
1770712205713,2026-02-10T08:30:05.713926+00:00,6.01,1.5,45.0
1770712206714,2026-02-10T08:30:06.714160+00:00,5.71,1.0,45.0
1770712207714,2026-02-10T08:30:07.714363+00:00,5.32,1.1,45.0
1770712208714,2026-02-10T08:30:08.714578+00:00,5.35,1.0,45.0
1770712209714,2026-02-10T08:30:09.714781+00:00,5.41,1.0,45.0
1770712210714,2026-02-10T08:30:10.714963+00:00,5.52,1.1,45.0
1770712211715,2026-02-10T08:30:11.715160+00:00,5.11,1.1,45.0
1770712212715,2026-02-10T08:30:12.715386+00:00,5.27,1.1,45.0
1770712213715,2026-02-10T08:30:13.715582+00:00,5.73,1.0,45.0
1770712214715,2026-02-10T08:30:14.715773+00:00,5.19,1.0,45.0
1770712215715,2026-02-10T08:30:15.715974+00:00,5.2,1.1,45.0
1770712216716,2026-02-10T08:30:16.716173+00:00,5.14,1.1,45.0
1770712217716,2026-02-10T08:30:17.716374+00:00,5.18,1.1,45.0
1770712218716,2026-02-10T08:30:18.716556+00:00,5.32,1.0,45.0
1770712219716,2026-02-10T08:30:19.716751+00:00,5.13,1.0,45.0
1770712220716,2026-02-10T08:30:20.716933+00:00,5.22,1.0,45.0
1770712221717,2026-02-10T08:30:21.717125+00:00,5.57,1.1,45.0
1770712222717,2026-02-10T08:30:22.717338+00:00,5.55,1.1,45.0
1770712223717,2026-02-10T08:30:23.717530+00:00,5.3,1.0,45.0
1770712224717,2026-02-10T08:30:24.717733+00:00,5.29,1.1,44.0
1770712225717,2026-02-10T08:30:25.717940+00:00,5.65,1.0,44.0
1770712226718,2026-02-10T08:30:26.718159+00:00,5.55,1.1,44.0
1770712227718,2026-02-10T08:30:27.718360+00:00,6.08,1.1,44.0
1770712228718,2026-02-10T08:30:28.718562+00:00,5.43,1.2,44.0
1770712229718,2026-02-10T08:30:29.718755+00:00,5.38,1.0,44.0
1770712230718,2026-02-10T08:30:30.718981+00:00,5.57,1.2,44.0
1770712231719,2026-02-10T08:30:31.719181+00:00,5.52,1.0,44.0
1770712232719,2026-02-10T08:30:32.719377+00:00,5.57,1.0,44.0
1770712233719,2026-02-10T08:30:33.719575+00:00,5.51,1.1,44.0
1770712234719,2026-02-10T08:30:34.719778+00:00,5.52,0.9,44.0
1770712235719,2026-02-10T08:30:35.719999+00:00,5.46,1.0,44.0
1770712236720,2026-02-10T08:30:36.720235+00:00,5.38,1.0,44.0
1770712237720,2026-02-10T08:30:37.720475+00:00,5.4,1.1,44.0
1770712238720,2026-02-10T08:30:38.720693+00:00,5.52,1.0,44.0
1770712239720,2026-02-10T08:30:39.720948+00:00,5.38,1.0,44.0
1770712240721,2026-02-10T08:30:40.721140+00:00,5.41,1.1,44.0
1770712241721,2026-02-10T08:30:41.721350+00:00,5.39,1.1,44.0
1770712242721,2026-02-10T08:30:42.721537+00:00,5.62,1.5,44.0
1770712243721,2026-02-10T08:30:43.721736+00:00,5.68,1.0,44.0
1770712244721,2026-02-10T08:30:44.721934+00:00,5.6,0.9,44.0
1770712245722,2026-02-10T08:30:45.722111+00:00,5.53,0.9,44.0
1770712246722,2026-02-10T08:30:46.722292+00:00,5.37,1.2,44.0
1770712247722,2026-02-10T08:30:47.722505+00:00,5.36,1.1,44.0
1770712248722,2026-02-10T08:30:48.722730+00:00,5.38,1.3,43.0
1770712249722,2026-02-10T08:30:49.722912+00:00,5.34,0.9,43.0
1770712250723,2026-02-10T08:30:50.723098+00:00,5.4,1.0,44.0
1770712251723,2026-02-10T08:30:51.723299+00:00,5.38,1.2,43.0
1770712252723,2026-02-10T08:30:52.723492+00:00,5.39,1.0,43.0
1770712253723,2026-02-10T08:30:53.723691+00:00,5.44,1.1,43.0
1770712254723,2026-02-10T08:30:54.723896+00:00,5.38,1.0,43.0
1770712255723,2026-02-10T08:30:55.723972+00:00,5.44,1.1,43.0
1770712256724,2026-02-10T08:30:56.724199+00:00,5.53,1.0,43.0
1770712257724,2026-02-10T08:30:57.724432+00:00,5.52,1.2,43.0
