timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1770643955314,2026-02-09T13:32:35.314672+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,25.91,80.0,0,0,1608.0,50
1770643956314,2026-02-09T13:32:36.314734+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,57.05,80.0,70,10,1608.0,55
1770643957314,2026-02-09T13:32:37.314824+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,78.42,80.0,71,7,1608.0,56
1770643958314,2026-02-09T13:32:38.314975+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.72,80.0,66,7,1608.0,56
1770643959315,2026-02-09T13:32:39.315061+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.54,80.0,67,7,1608.0,56
1770643960315,2026-02-09T13:32:40.315144+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,76.63,80.0,64,7,1608.0,57
1770643961315,2026-02-09T13:32:41.315220+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,78.03,80.0,66,7,1608.0,57
1770643962315,2026-02-09T13:32:42.315359+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.7,80.0,68,7,1608.0,56
1770643963315,2026-02-09T13:32:43.315506+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,76.13,80.0,65,7,1608.0,56
1770643964315,2026-02-09T13:32:44.315643+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.96,80.0,64,7,1608.0,57
1770643965315,2026-02-09T13:32:45.315779+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.83,80.0,62,7,1608.0,57
1770643966315,2026-02-09T13:32:46.315916+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,76.25,80.0,66,7,1608.0,58
1770643967316,2026-02-09T13:32:47.316002+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,78.59,80.0,63,7,1608.0,58
1770643968316,2026-02-09T13:32:48.316334+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,76.17,80.0,65,7,1608.0,58
1770643969316,2026-02-09T13:32:49.316477+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,78.06,80.0,66,7,1608.0,57
1770643970316,2026-02-09T13:32:50.316621+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,78.11,80.0,67,7,1608.0,58
1770643971316,2026-02-09T13:32:51.316759+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.54,80.0,63,7,1608.0,58
1770643972316,2026-02-09T13:32:52.316917+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.62,80.0,67,6,1608.0,58
1770643973317,2026-02-09T13:32:53.317060+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.96,80.0,70,7,1608.0,59
1770643974317,2026-02-09T13:32:54.317139+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,78.16,80.0,71,7,1608.0,59
1770643975317,2026-02-09T13:32:55.317206+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,78.31,80.0,68,7,1608.0,59
1770643976317,2026-02-09T13:32:56.317732+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,75.52,80.0,68,7,1608.0,59
1770643977317,2026-02-09T13:32:57.317872+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,78.12,80.0,64,6,1608.0,58
1770643978317,2026-02-09T13:32:58.317948+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,76.84,80.0,66,7,1608.0,59
1770643979318,2026-02-09T13:32:59.318088+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,78.28,80.0,67,6,1608.0,58
1770643980318,2026-02-09T13:33:00.318159+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,78.58,80.0,67,7,1608.0,59
1770643981318,2026-02-09T13:33:01.318299+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.88,80.0,71,7,1608.0,58
1770643982318,2026-02-09T13:33:02.318444+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.83,80.0,65,7,1608.0,59
1770643983318,2026-02-09T13:33:03.318580+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,77.97,80.0,67,7,1608.0,59
1770643984318,2026-02-09T13:33:04.318751+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,74.19,80.0,66,7,1608.0,57
