timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770640001231,2026-02-09T12:26:41.231902+00:00,5.26,0.0,54.0
1770640002232,2026-02-09T12:26:42.232086+00:00,79.21,33.1,54.0
1770640003232,2026-02-09T12:26:43.232166+00:00,99.36,41.5,79.0
1770640004232,2026-02-09T12:26:44.232305+00:00,100.07,41.6,79.0
1770640005232,2026-02-09T12:26:45.232477+00:00,99.83,41.4,79.0
1770640006232,2026-02-09T12:26:46.232700+00:00,99.75,41.6,81.0
1770640007232,2026-02-09T12:26:47.232899+00:00,100.83,41.5,81.0
1770640008233,2026-02-09T12:26:48.233063+00:00,100.53,41.5,77.0
1770640009233,2026-02-09T12:26:49.233285+00:00,100.7,41.6,77.0
1770640010233,2026-02-09T12:26:50.233508+00:00,100.76,41.5,80.0
1770640011233,2026-02-09T12:26:51.233716+00:00,100.15,41.6,80.0
1770640012233,2026-02-09T12:26:52.233929+00:00,100.66,41.6,83.0
1770640013234,2026-02-09T12:26:53.234103+00:00,101.2,41.5,83.0
1770640014234,2026-02-09T12:26:54.234183+00:00,101.06,41.5,81.0
1770640015234,2026-02-09T12:26:55.234688+00:00,102.04,41.6,84.0
1770640016235,2026-02-09T12:26:56.235127+00:00,101.14,41.6,84.0
1770640017235,2026-02-09T12:26:57.235372+00:00,100.82,41.6,81.0
1770640018235,2026-02-09T12:26:58.235606+00:00,100.92,41.6,87.0
1770640019235,2026-02-09T12:26:59.235765+00:00,101.77,41.6,87.0
1770640020236,2026-02-09T12:27:00.236010+00:00,101.15,41.5,84.0
1770640021236,2026-02-09T12:27:01.236190+00:00,101.93,41.5,84.0
1770640022236,2026-02-09T12:27:02.236361+00:00,101.83,41.5,84.0
1770640023236,2026-02-09T12:27:03.236637+00:00,100.84,41.6,84.0
1770640024236,2026-02-09T12:27:04.236845+00:00,101.86,41.5,85.0
1770640025237,2026-02-09T12:27:05.237088+00:00,102.31,41.5,85.0
1770640026237,2026-02-09T12:27:06.237284+00:00,101.83,41.5,83.0
1770640027237,2026-02-09T12:27:07.237725+00:00,101.78,41.5,86.0
1770640028237,2026-02-09T12:27:08.237906+00:00,101.72,41.6,86.0
1770640029238,2026-02-09T12:27:09.238100+00:00,102.13,41.5,84.0
1770640030238,2026-02-09T12:27:10.238331+00:00,102.11,41.7,85.0
1770640031238,2026-02-09T12:27:11.238515+00:00,102.36,41.5,85.0
1770640032238,2026-02-09T12:27:12.238600+00:00,102.22,41.6,84.0
1770640033238,2026-02-09T12:27:13.238816+00:00,102.41,41.5,84.0
1770640034239,2026-02-09T12:27:14.239055+00:00,102.02,41.5,86.0
1770640035239,2026-02-09T12:27:15.239238+00:00,101.59,41.5,86.0
1770640036239,2026-02-09T12:27:16.239439+00:00,102.02,41.6,85.0
1770640037239,2026-02-09T12:27:17.239645+00:00,102.27,41.6,85.0
1770640038239,2026-02-09T12:27:18.239864+00:00,102.32,41.5,90.0
1770640039240,2026-02-09T12:27:19.240062+00:00,101.9,41.6,90.0
1770640040240,2026-02-09T12:27:20.240459+00:00,101.94,41.6,89.0
1770640041240,2026-02-09T12:27:21.240875+00:00,102.25,41.6,89.0
1770640042241,2026-02-09T12:27:22.241050+00:00,100.95,41.4,83.0
1770640043241,2026-02-09T12:27:23.241127+00:00,101.94,41.6,83.0
1770640044241,2026-02-09T12:27:24.241320+00:00,102.35,41.6,87.0
1770640045241,2026-02-09T12:27:25.241516+00:00,102.12,41.5,85.0
1770640046241,2026-02-09T12:27:26.241702+00:00,101.94,41.5,85.0
1770640047241,2026-02-09T12:27:27.241935+00:00,101.89,41.5,87.0
1770640048242,2026-02-09T12:27:28.242138+00:00,101.77,41.5,87.0
1770640049242,2026-02-09T12:27:29.242309+00:00,101.5,41.5,88.0
1770640050242,2026-02-09T12:27:30.242495+00:00,101.5,41.6,86.0
1770640051242,2026-02-09T12:27:31.242672+00:00,102.01,41.5,86.0
1770640052242,2026-02-09T12:27:32.242870+00:00,101.76,41.5,87.0
1770640053242,2026-02-09T12:27:33.242955+00:00,101.91,41.6,87.0
1770640054243,2026-02-09T12:27:34.243199+00:00,102.04,41.6,85.0
1770640055243,2026-02-09T12:27:35.243380+00:00,102.79,41.5,85.0
1770640056243,2026-02-09T12:27:36.243620+00:00,101.08,41.6,81.0
1770640057243,2026-02-09T12:27:37.243800+00:00,101.96,41.5,81.0
1770640058244,2026-02-09T12:27:38.244022+00:00,101.9,41.6,86.0
1770640059244,2026-02-09T12:27:39.244222+00:00,101.33,41.5,86.0
1770640060244,2026-02-09T12:27:40.244462+00:00,101.87,41.6,87.0
1770640061244,2026-02-09T12:27:41.244639+00:00,101.94,41.6,87.0
1770640062244,2026-02-09T12:27:42.244893+00:00,101.38,41.5,87.0
1770640063245,2026-02-09T12:27:43.245069+00:00,102.47,41.6,89.0
1770640064245,2026-02-09T12:27:44.245474+00:00,101.98,41.5,87.0
1770640065245,2026-02-09T12:27:45.245658+00:00,101.09,41.6,87.0
1770640066245,2026-02-09T12:27:46.245868+00:00,98.26,40.0,86.0
1770640067246,2026-02-09T12:27:47.246049+00:00,101.94,41.6,86.0
1770640068246,2026-02-09T12:27:48.246236+00:00,101.79,41.6,86.0
1770640069246,2026-02-09T12:27:49.246426+00:00,101.84,41.5,86.0
1770640070246,2026-02-09T12:27:50.246620+00:00,100.8,41.6,84.0
1770640071247,2026-02-09T12:27:51.247068+00:00,102.3,41.5,84.0
1770640072247,2026-02-09T12:27:52.247271+00:00,101.53,41.5,81.0
1770640073247,2026-02-09T12:27:53.247509+00:00,101.21,41.5,86.0
1770640074247,2026-02-09T12:27:54.247691+00:00,101.91,41.6,86.0
1770640075247,2026-02-09T12:27:55.247867+00:00,102.03,41.6,89.0
1770640076247,2026-02-09T12:27:56.247937+00:00,101.5,41.4,89.0
1770640077248,2026-02-09T12:27:57.248160+00:00,101.57,41.5,82.0
1770640078248,2026-02-09T12:27:58.248394+00:00,101.49,41.5,82.0
1770640079248,2026-02-09T12:27:59.248607+00:00,101.55,41.5,81.0
