timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770641874392,2026-02-09T12:57:54.392470+00:00,5.39,0.0,58.0
1770641875392,2026-02-09T12:57:55.392658+00:00,59.0,29.5,58.0
1770641876392,2026-02-09T12:57:56.392741+00:00,73.49,35.1,69.0
1770641877392,2026-02-09T12:57:57.392896+00:00,74.74,34.3,69.0
1770641878393,2026-02-09T12:57:58.393098+00:00,74.81,36.4,81.0
1770641879393,2026-02-09T12:57:59.393797+00:00,79.86,38.3,81.0
1770641880393,2026-02-09T12:58:00.393874+00:00,79.88,36.6,77.0
1770641881393,2026-02-09T12:58:01.393962+00:00,81.92,36.4,77.0
1770641882394,2026-02-09T12:58:02.394045+00:00,79.35,35.3,75.0
1770641883394,2026-02-09T12:58:03.394125+00:00,67.16,31.4,75.0
1770641884394,2026-02-09T12:58:04.394212+00:00,76.23,35.8,76.0
1770641885394,2026-02-09T12:58:05.394287+00:00,72.67,35.3,76.0
1770641886394,2026-02-09T12:58:06.394374+00:00,80.08,37.3,79.0
1770641887394,2026-02-09T12:58:07.394622+00:00,78.91,36.3,86.0
1770641888394,2026-02-09T12:58:08.394705+00:00,77.55,35.4,86.0
1770641889394,2026-02-09T12:58:09.394784+00:00,75.13,36.0,71.0
1770641890394,2026-02-09T12:58:10.394876+00:00,85.87,39.6,71.0
1770641891395,2026-02-09T12:58:11.395300+00:00,93.47,40.8,85.0
1770641892395,2026-02-09T12:58:12.395484+00:00,79.86,34.5,85.0
1770641893395,2026-02-09T12:58:13.395578+00:00,72.61,33.6,73.0
1770641894395,2026-02-09T12:58:14.395671+00:00,76.48,31.8,73.0
1770641895395,2026-02-09T12:58:15.395862+00:00,76.76,36.3,77.0
1770641896395,2026-02-09T12:58:16.395962+00:00,74.75,36.1,77.0
1770641897396,2026-02-09T12:58:17.396039+00:00,82.93,36.1,79.0
1770641898396,2026-02-09T12:58:18.396483+00:00,86.41,38.3,85.0
1770641899396,2026-02-09T12:58:19.396867+00:00,70.53,34.6,85.0
1770641900397,2026-02-09T12:58:20.397041+00:00,82.05,37.4,81.0
1770641901397,2026-02-09T12:58:21.397170+00:00,85.43,37.9,81.0
1770641902397,2026-02-09T12:58:22.397262+00:00,83.06,39.2,82.0
1770641903397,2026-02-09T12:58:23.397339+00:00,77.81,37.3,73.0
1770641904397,2026-02-09T12:58:24.397549+00:00,74.98,33.9,73.0
1770641905397,2026-02-09T12:58:25.397727+00:00,44.15,19.2,62.0
