timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1769534946985,2026-01-27T17:29:06.985226+00:00,5.43,0.0,58.0
1769534947985,2026-01-27T17:29:07.985310+00:00,56.49,29.1,58.0
1769534948985,2026-01-27T17:29:08.985393+00:00,68.04,33.4,73.0
1769534949985,2026-01-27T17:29:09.985479+00:00,69.5,35.5,76.0
1769534950985,2026-01-27T17:29:10.985680+00:00,70.63,35.1,76.0
1769534951985,2026-01-27T17:29:11.985735+00:00,79.23,36.5,74.0
1769534952985,2026-01-27T17:29:12.985812+00:00,77.51,34.8,74.0
1769534953985,2026-01-27T17:29:13.985911+00:00,62.81,30.6,75.0
1769534954985,2026-01-27T17:29:14.985991+00:00,68.81,34.5,75.0
1769534955986,2026-01-27T17:29:15.986163+00:00,65.21,32.8,77.0
1769534956986,2026-01-27T17:29:16.986236+00:00,74.21,36.1,77.0
1769534957986,2026-01-27T17:29:17.986315+00:00,75.04,36.3,80.0
1769534958986,2026-01-27T17:29:18.986591+00:00,57.92,30.7,75.0
1769534959987,2026-01-27T17:29:19.987136+00:00,80.72,39.6,77.0
1769534960987,2026-01-27T17:29:20.987212+00:00,85.09,37.4,77.0
1769534961987,2026-01-27T17:29:21.987303+00:00,67.47,33.0,72.0
1769534962987,2026-01-27T17:29:22.987379+00:00,71.51,29.7,72.0
1769534963987,2026-01-27T17:29:23.987480+00:00,67.84,36.3,76.0
1769534964988,2026-01-27T17:29:24.988080+00:00,71.19,34.6,79.0
1769534965988,2026-01-27T17:29:25.988161+00:00,76.94,36.8,80.0
1769534966988,2026-01-27T17:29:26.988241+00:00,65.95,34.0,80.0
1769534967988,2026-01-27T17:29:27.988322+00:00,78.29,37.7,81.0
1769534968988,2026-01-27T17:29:28.988735+00:00,76.06,36.7,80.0
1769534969988,2026-01-27T17:29:29.988816+00:00,76.13,38.0,80.0
1769534970988,2026-01-27T17:29:30.988896+00:00,67.71,33.2,72.0
1769534971989,2026-01-27T17:29:31.989127+00:00,17.47,7.3,61.0
