timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1771622045066,2026-02-20T21:14:05.066450+00:00,4.89,0.0,39.0
1771622046066,2026-02-20T21:14:06.066638+00:00,22.77,9.7,41.0
1771622047066,2026-02-20T21:14:07.066845+00:00,27.4,12.0,44.0
1771622048067,2026-02-20T21:14:08.067023+00:00,23.81,10.0,39.0
1771622049067,2026-02-20T21:14:09.067306+00:00,28.35,12.6,39.0
1771622050067,2026-02-20T21:14:10.067520+00:00,25.86,11.7,50.0
1771622051067,2026-02-20T21:14:11.067696+00:00,25.65,10.8,40.0
1771622052067,2026-02-20T21:14:12.067862+00:00,28.53,12.9,40.0
1771622053068,2026-02-20T21:14:13.068020+00:00,24.91,11.2,50.0
1771622054068,2026-02-20T21:14:14.068247+00:00,26.21,11.7,40.0
1771622055068,2026-02-20T21:14:15.068403+00:00,28.8,12.1,40.0
1771622056068,2026-02-20T21:14:16.068554+00:00,25.65,11.0,58.0
1771622057068,2026-02-20T21:14:17.068752+00:00,26.35,10.4,42.0
1771622058068,2026-02-20T21:14:18.068889+00:00,28.78,12.5,45.0
1771622059068,2026-02-20T21:14:19.068962+00:00,23.09,9.4,51.0
1771622060069,2026-02-20T21:14:20.069106+00:00,29.21,12.1,51.0
1771622061069,2026-02-20T21:14:21.069324+00:00,26.13,11.4,49.0
1771622062069,2026-02-20T21:14:22.069481+00:00,25.91,10.4,42.0
1771622063069,2026-02-20T21:14:23.069677+00:00,28.73,12.4,42.0
1771622064069,2026-02-20T21:14:24.069870+00:00,24.24,9.2,51.0
1771622065070,2026-02-20T21:14:25.070014+00:00,28.69,11.8,42.0
1771622066070,2026-02-20T21:14:26.070229+00:00,28.67,12.2,42.0
1771622067070,2026-02-20T21:14:27.070392+00:00,25.29,11.0,59.0
1771622068070,2026-02-20T21:14:28.070559+00:00,26.87,10.8,43.0
1771622069070,2026-02-20T21:14:29.070701+00:00,28.66,12.6,46.0
1771622070070,2026-02-20T21:14:30.070876+00:00,28.94,11.8,46.0
1771622071071,2026-02-20T21:14:31.071021+00:00,23.6,9.4,43.0
1771622072071,2026-02-20T21:14:32.071164+00:00,28.38,12.8,43.0
1771622073071,2026-02-20T21:14:33.071339+00:00,28.54,12.1,48.0
1771622074071,2026-02-20T21:14:34.071503+00:00,23.48,10.0,48.0
1771622075071,2026-02-20T21:14:35.071626+00:00,29.16,11.8,44.0
1771622076071,2026-02-20T21:14:36.071844+00:00,29.06,11.9,45.0
1771622077071,2026-02-20T21:14:37.071915+00:00,23.35,9.4,45.0
1771622078072,2026-02-20T21:14:38.072031+00:00,29.17,11.9,44.0
1771622079072,2026-02-20T21:14:39.072231+00:00,28.45,11.6,50.0
1771622080072,2026-02-20T21:14:40.072447+00:00,24.52,9.9,43.0
1771622081072,2026-02-20T21:14:41.072630+00:00,29.5,12.0,43.0
1771622082072,2026-02-20T21:14:42.072804+00:00,26.81,10.2,59.0
1771622083073,2026-02-20T21:14:43.073013+00:00,26.38,10.6,43.0
1771622084073,2026-02-20T21:14:44.073196+00:00,29.96,12.0,43.0
1771622085073,2026-02-20T21:14:45.073349+00:00,28.82,11.8,49.0
1771622086073,2026-02-20T21:14:46.073576+00:00,24.01,9.8,49.0
1771622087073,2026-02-20T21:14:47.073739+00:00,29.52,12.5,46.0
1771622088073,2026-02-20T21:14:48.073850+00:00,27.29,11.8,46.0
1771622089074,2026-02-20T21:14:49.074084+00:00,24.53,10.1,49.0
1771622090074,2026-02-20T21:14:50.074230+00:00,29.16,12.3,49.0
1771622091074,2026-02-20T21:14:51.074398+00:00,29.08,12.7,49.0
1771622092074,2026-02-20T21:14:52.074608+00:00,22.96,9.8,44.0
1771622093074,2026-02-20T21:14:53.074771+00:00,29.04,12.1,45.0
1771622094074,2026-02-20T21:14:54.074932+00:00,28.28,11.4,45.0
1771622095075,2026-02-20T21:14:55.075129+00:00,24.41,9.8,44.0
1771622096075,2026-02-20T21:14:56.075255+00:00,29.57,12.1,44.0
1771622097075,2026-02-20T21:14:57.075423+00:00,26.12,11.1,60.0
1771622098075,2026-02-20T21:14:58.075579+00:00,26.65,10.7,44.0
1771622099075,2026-02-20T21:14:59.075646+00:00,29.2,12.3,44.0
1771622100075,2026-02-20T21:15:00.075805+00:00,25.37,10.8,61.0
1771622101076,2026-02-20T21:15:01.076022+00:00,27.4,11.1,61.0
1771622102076,2026-02-20T21:15:02.076145+00:00,29.16,12.2,46.0
1771622103076,2026-02-20T21:15:03.076350+00:00,25.63,10.5,59.0
1771622104076,2026-02-20T21:15:04.076619+00:00,26.87,11.2,59.0
1771622105076,2026-02-20T21:15:05.076782+00:00,28.97,12.3,50.0
1771622106076,2026-02-20T21:15:06.076986+00:00,11.39,3.3,50.0
1771622107077,2026-02-20T21:15:07.077166+00:00,5.25,0.3,44.0
