timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1771598845698,2026-02-20T14:47:25.698650+00:00,5.97,0.6,54.0
1771598846698,2026-02-20T14:47:26.698716+00:00,79.7,38.7,54.0
1771598847699,2026-02-20T14:47:27.699224+00:00,102.25,50.2,80.0
1771598848699,2026-02-20T14:47:28.699310+00:00,102.51,50.3,80.0
1771598849699,2026-02-20T14:47:29.699760+00:00,102.98,50.2,79.0
1771598850699,2026-02-20T14:47:30.699836+00:00,102.11,50.4,79.0
1771598851700,2026-02-20T14:47:31.700034+00:00,102.51,50.4,83.0
1771598852700,2026-02-20T14:47:32.700435+00:00,102.64,50.1,83.0
1771598853700,2026-02-20T14:47:33.700621+00:00,102.74,50.2,84.0
1771598854700,2026-02-20T14:47:34.700836+00:00,103.61,50.2,83.0
1771598855701,2026-02-20T14:47:35.701280+00:00,102.28,50.0,83.0
1771598856701,2026-02-20T14:47:36.701493+00:00,102.99,50.1,83.0
1771598857702,2026-02-20T14:47:37.702023+00:00,103.03,50.1,80.0
1771598858702,2026-02-20T14:47:38.702258+00:00,104.15,50.2,84.0
1771598859702,2026-02-20T14:47:39.702449+00:00,104.36,50.4,84.0
1771598860702,2026-02-20T14:47:40.702699+00:00,103.7,50.1,82.0
1771598861702,2026-02-20T14:47:41.702910+00:00,102.86,49.6,86.0
1771598862703,2026-02-20T14:47:42.703116+00:00,103.58,50.1,86.0
1771598863703,2026-02-20T14:47:43.703746+00:00,104.07,50.5,83.0
1771598864703,2026-02-20T14:47:44.703821+00:00,24.11,8.9,77.0
1771598865704,2026-02-20T14:47:45.704039+00:00,78.73,38.5,77.0
1771598866704,2026-02-20T14:47:46.704599+00:00,103.0,50.2,85.0
1771598867704,2026-02-20T14:47:47.704990+00:00,104.17,50.1,85.0
1771598868705,2026-02-20T14:47:48.705083+00:00,103.41,50.4,88.0
1771598869705,2026-02-20T14:47:49.705297+00:00,102.65,50.3,88.0
1771598870705,2026-02-20T14:47:50.705537+00:00,104.63,50.5,86.0
1771598871705,2026-02-20T14:47:51.705984+00:00,104.12,50.3,90.0
1771598872706,2026-02-20T14:47:52.706104+00:00,103.59,50.1,90.0
1771598873706,2026-02-20T14:47:53.706703+00:00,104.66,50.4,90.0
1771598874706,2026-02-20T14:47:54.706777+00:00,103.43,50.3,90.0
1771598875707,2026-02-20T14:47:55.707002+00:00,104.7,50.3,87.0
1771598876707,2026-02-20T14:47:56.707624+00:00,103.43,50.3,88.0
1771598877708,2026-02-20T14:47:57.708036+00:00,103.49,50.2,88.0
1771598878708,2026-02-20T14:47:58.708519+00:00,104.91,50.6,90.0
1771598879708,2026-02-20T14:47:59.708823+00:00,104.29,50.2,90.0
1771598880709,2026-02-20T14:48:00.709065+00:00,104.8,50.2,90.0
1771598881709,2026-02-20T14:48:01.709260+00:00,103.98,50.2,90.0
1771598882709,2026-02-20T14:48:02.709451+00:00,104.32,50.0,87.0
1771598883709,2026-02-20T14:48:03.709864+00:00,103.24,50.0,87.0
1771598884710,2026-02-20T14:48:04.710055+00:00,103.31,50.0,87.0
1771598885710,2026-02-20T14:48:05.710279+00:00,104.32,50.4,90.0
1771598886710,2026-02-20T14:48:06.710357+00:00,104.56,50.2,90.0
1771598887710,2026-02-20T14:48:07.710603+00:00,105.18,50.3,87.0
1771598888710,2026-02-20T14:48:08.710787+00:00,104.32,50.0,89.0
1771598889710,2026-02-20T14:48:09.710886+00:00,105.31,50.2,86.0
1771598890711,2026-02-20T14:48:10.711058+00:00,103.38,49.9,91.0
1771598891711,2026-02-20T14:48:11.711468+00:00,104.4,50.3,91.0
1771598892712,2026-02-20T14:48:12.712039+00:00,104.33,50.5,90.0
1771598893712,2026-02-20T14:48:13.712685+00:00,104.52,50.1,88.0
1771598894713,2026-02-20T14:48:14.713109+00:00,104.36,50.1,88.0
1771598895713,2026-02-20T14:48:15.713535+00:00,105.53,50.4,88.0
1771598896713,2026-02-20T14:48:16.713732+00:00,104.45,50.1,88.0
1771598897713,2026-02-20T14:48:17.713941+00:00,103.22,49.9,85.0
1771598898714,2026-02-20T14:48:18.714444+00:00,103.84,50.2,85.0
1771598899714,2026-02-20T14:48:19.714666+00:00,105.13,50.5,91.0
1771598900715,2026-02-20T14:48:20.715224+00:00,104.27,50.2,89.0
1771598901715,2026-02-20T14:48:21.715376+00:00,103.69,50.3,87.0
1771598902715,2026-02-20T14:48:22.715612+00:00,102.68,49.7,87.0
1771598903715,2026-02-20T14:48:23.715830+00:00,105.08,50.3,90.0
1771598904716,2026-02-20T14:48:24.716297+00:00,103.62,50.2,90.0
1771598905716,2026-02-20T14:48:25.716484+00:00,102.78,50.3,90.0
1771598906716,2026-02-20T14:48:26.716693+00:00,26.65,10.7,61.0
