timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1771596500998,2026-02-20T14:08:20.998866+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,27.09,80.0,0,0,1224.62,42
1771596501998,2026-02-20T14:08:21.998943+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.75,80.0,16,4,1224.62,43
1771596502999,2026-02-20T14:08:22.999039+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,36.48,80.0,8,2,1224.62,45
1771596503999,2026-02-20T14:08:23.999134+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,35.65,80.0,9,2,1224.62,44
1771596504999,2026-02-20T14:08:24.999298+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,36.45,80.0,17,4,1224.62,44
1771596505999,2026-02-20T14:08:25.999499+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,36.95,80.0,17,4,1224.62,44
1771596506999,2026-02-20T14:08:26.999657+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,36.75,80.0,13,3,1224.62,44
1771596507999,2026-02-20T14:08:27.999732+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,36.59,80.0,8,2,1224.62,45
1771596508999,2026-02-20T14:08:28.999895+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,35.79,80.0,9,2,1224.62,45
1771596510000,2026-02-20T14:08:30.000084+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,37.22,80.0,17,4,1224.62,44
1771596511000,2026-02-20T14:08:31.000252+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,37.05,80.0,9,2,1224.62,46
1771596512000,2026-02-20T14:08:32.000457+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,36.46,80.0,9,2,1224.62,45
1771596513000,2026-02-20T14:08:33.000670+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,37.22,80.0,18,5,1224.62,45
1771596514000,2026-02-20T14:08:34.000752+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,37.17,80.0,13,3,1224.62,44
1771596515000,2026-02-20T14:08:35.000899+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,36.85,80.0,8,2,1224.62,48
1771596516001,2026-02-20T14:08:36.001149+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,36.12,80.0,13,3,1224.62,45
1771596517001,2026-02-20T14:08:37.001235+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,37.38,80.0,18,5,1224.62,45
