timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1770651184989,2026-02-09T15:33:04.989209+00:00,0,NVIDIA GeForce RTX 2080 Ti,60.36,250.0,13,2,1611.62,47
1770651185989,2026-02-09T15:33:05.989299+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.74,250.0,0,0,1611.62,47
1770651186989,2026-02-09T15:33:06.989388+00:00,0,NVIDIA GeForce RTX 2080 Ti,72.9,250.0,26,6,1611.62,47
1770651187989,2026-02-09T15:33:07.989464+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.05,250.0,29,7,1611.62,47
1770651188989,2026-02-09T15:33:08.989548+00:00,0,NVIDIA GeForce RTX 2080 Ti,71.49,250.0,29,7,1611.62,47
1770651189989,2026-02-09T15:33:09.989634+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.17,250.0,29,7,1611.62,47
1770651190989,2026-02-09T15:33:10.989720+00:00,0,NVIDIA GeForce RTX 2080 Ti,72.8,250.0,30,7,1611.62,47
1770651191989,2026-02-09T15:33:11.989799+00:00,0,NVIDIA GeForce RTX 2080 Ti,72.91,250.0,29,7,1611.62,47
1770651192989,2026-02-09T15:33:12.989890+00:00,0,NVIDIA GeForce RTX 2080 Ti,72.12,250.0,29,7,1611.62,47
1770651193990,2026-02-09T15:33:13.990042+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.22,250.0,29,7,1611.62,47
1770651194990,2026-02-09T15:33:14.990114+00:00,0,NVIDIA GeForce RTX 2080 Ti,71.57,250.0,30,7,1611.62,47
1770651195990,2026-02-09T15:33:15.990215+00:00,0,NVIDIA GeForce RTX 2080 Ti,72.52,250.0,30,7,1611.62,47
1770651196990,2026-02-09T15:33:16.990327+00:00,0,NVIDIA GeForce RTX 2080 Ti,72.93,250.0,29,7,1611.62,47
1770651197990,2026-02-09T15:33:17.990419+00:00,0,NVIDIA GeForce RTX 2080 Ti,60.53,250.0,27,6,1611.62,47
