timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770650622788,2026-02-09T15:23:42.788832+00:00,0.0,0.3,57.5625
1770650623788,2026-02-09T15:23:43.788928+00:00,0.0,20.2,61.3125
1770650624789,2026-02-09T15:23:44.789032+00:00,0.0,28.4,64.9375
1770650625789,2026-02-09T15:23:45.789139+00:00,0.0,30.5,64.0625
1770650626789,2026-02-09T15:23:46.789266+00:00,0.0,25.9,63.0625
1770650627789,2026-02-09T15:23:47.789365+00:00,0.0,27.5,62.0
1770650628789,2026-02-09T15:23:48.789475+00:00,0.0,29.3,61.0625
1770650629789,2026-02-09T15:23:49.789583+00:00,0.0,27.1,70.1875
1770650630789,2026-02-09T15:23:50.789680+00:00,0.0,29.3,68.6875
1770650631789,2026-02-09T15:23:51.789778+00:00,0.0,27.6,67.1875
1770650632789,2026-02-09T15:23:52.789870+00:00,0.0,29.1,66.0
1770650633789,2026-02-09T15:23:53.789994+00:00,0.0,26.6,64.6875
1770650634790,2026-02-09T15:23:54.790093+00:00,0.0,29.8,63.5625
1770650635790,2026-02-09T15:23:55.790199+00:00,0.0,28.7,62.6875
1770650636790,2026-02-09T15:23:56.790305+00:00,0.0,28.9,61.25
1770650637790,2026-02-09T15:23:57.790412+00:00,0.0,29.4,64.9375
1770650638790,2026-02-09T15:23:58.790508+00:00,0.0,27.1,63.8125
1770650639790,2026-02-09T15:23:59.790606+00:00,0.0,29.9,62.625
1770650640790,2026-02-09T15:24:00.790706+00:00,0.0,27.6,61.6875
1770650641790,2026-02-09T15:24:01.790819+00:00,0.0,20.9,60.6875
1770650642790,2026-02-09T15:24:02.790930+00:00,0.0,20.9,59.9375
1770650643791,2026-02-09T15:24:03.791030+00:00,0.0,28.0,59.25
1770650644791,2026-02-09T15:24:04.791179+00:00,0.0,27.0,58.625
1770650645791,2026-02-09T15:24:05.791278+00:00,0.0,24.8,62.25
1770650646791,2026-02-09T15:24:06.791371+00:00,0.0,27.5,61.5
1770650647791,2026-02-09T15:24:07.791503+00:00,0.0,27.1,66.0625
1770650648791,2026-02-09T15:24:08.791582+00:00,0.0,29.1,70.25
1770650649791,2026-02-09T15:24:09.791671+00:00,0.0,27.5,68.75
1770650650791,2026-02-09T15:24:10.791821+00:00,0.0,29.4,67.1875
1770650651791,2026-02-09T15:24:11.791967+00:00,0.0,27.4,66.0625
1770650652792,2026-02-09T15:24:12.792067+00:00,0.0,30.0,64.625
1770650653792,2026-02-09T15:24:13.792183+00:00,0.0,28.9,63.375
1770650654792,2026-02-09T15:24:14.792288+00:00,0.0,22.4,62.25
1770650655792,2026-02-09T15:24:15.792460+00:00,0.0,26.2,61.25
1770650656792,2026-02-09T15:24:16.792594+00:00,0.0,27.0,64.8125
1770650657792,2026-02-09T15:24:17.792686+00:00,0.0,28.5,63.9375
1770650658792,2026-02-09T15:24:18.792797+00:00,0.0,34.6,62.9375
1770650659792,2026-02-09T15:24:19.792923+00:00,0.0,30.9,62.25
1770650660793,2026-02-09T15:24:20.793054+00:00,0.0,33.2,61.5625
1770650661793,2026-02-09T15:24:21.793157+00:00,0.0,27.7,60.625
1770650662793,2026-02-09T15:24:22.793253+00:00,0.0,27.7,59.3125
1770650663793,2026-02-09T15:24:23.793366+00:00,0.0,26.7,64.25
1770650664793,2026-02-09T15:24:24.793456+00:00,0.0,25.3,68.6875
1770650665793,2026-02-09T15:24:25.793563+00:00,0.0,24.0,67.1875
1770650666793,2026-02-09T15:24:26.793653+00:00,0.0,28.3,65.625
1770650667793,2026-02-09T15:24:27.793745+00:00,0.0,27.2,64.375
1770650668793,2026-02-09T15:24:28.793858+00:00,0.0,25.1,63.4375
1770650669793,2026-02-09T15:24:29.793954+00:00,0.0,27.6,62.6875
1770650670794,2026-02-09T15:24:30.794050+00:00,0.0,29.1,61.625
1770650671794,2026-02-09T15:24:31.794130+00:00,0.0,25.8,60.6875
1770650672794,2026-02-09T15:24:32.794227+00:00,0.0,27.8,60.125
1770650673794,2026-02-09T15:24:33.794329+00:00,0.0,27.6,59.4375
1770650674794,2026-02-09T15:24:34.794441+00:00,0.0,30.0,63.875
1770650675794,2026-02-09T15:24:35.794560+00:00,0.0,31.7,67.875
1770650676794,2026-02-09T15:24:36.794631+00:00,0.0,31.9,66.3125
1770650677794,2026-02-09T15:24:37.794748+00:00,0.0,27.2,65.0
1770650678795,2026-02-09T15:24:38.795072+00:00,0.0,27.2,64.0
1770650679795,2026-02-09T15:24:39.795309+00:00,0.0,27.7,63.375
1770650680795,2026-02-09T15:24:40.795412+00:00,0.0,30.8,62.0
1770650681795,2026-02-09T15:24:41.795539+00:00,0.0,33.5,61.4375
1770650682795,2026-02-09T15:24:42.795702+00:00,0.0,26.1,69.6875
1770650683795,2026-02-09T15:24:43.795793+00:00,0.0,26.4,68.25
1770650684795,2026-02-09T15:24:44.795917+00:00,0.0,33.5,66.875
1770650685796,2026-02-09T15:24:45.796043+00:00,0.0,28.5,65.25
1770650686796,2026-02-09T15:24:46.796148+00:00,0.0,30.7,64.0
1770650687796,2026-02-09T15:24:47.796282+00:00,0.0,26.2,63.0625
1770650688796,2026-02-09T15:24:48.796376+00:00,0.0,27.3,62.0625
1770650689796,2026-02-09T15:24:49.796502+00:00,0.0,26.4,61.0625
1770650690796,2026-02-09T15:24:50.796667+00:00,0.0,26.2,60.4375
1770650691796,2026-02-09T15:24:51.796741+00:00,0.0,5.1,59.1875
