timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1770232683979,2026-02-04T19:18:03.979914+00:00,0,NVIDIA GeForce RTX 2080 Ti,59.25,250.0,5,1,1743.62,45
1770232684979,2026-02-04T19:18:04.979994+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.59,250.0,20,3,1743.62,46
1770232685980,2026-02-04T19:18:05.980096+00:00,0,NVIDIA GeForce RTX 2080 Ti,74.05,250.0,31,5,1743.62,46
1770232686980,2026-02-04T19:18:06.980212+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.11,250.0,31,5,1743.62,46
1770232687980,2026-02-04T19:18:07.980302+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.22,250.0,32,5,1743.62,46
1770232688980,2026-02-04T19:18:08.980408+00:00,0,NVIDIA GeForce RTX 2080 Ti,72.98,250.0,32,5,1743.62,46
1770232689980,2026-02-04T19:18:09.980503+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.56,250.0,31,5,1743.62,46
1770232690980,2026-02-04T19:18:10.980604+00:00,0,NVIDIA GeForce RTX 2080 Ti,74.03,250.0,32,5,1743.62,46
1770232691980,2026-02-04T19:18:11.980692+00:00,0,NVIDIA GeForce RTX 2080 Ti,72.88,250.0,31,5,1743.62,46
1770232692980,2026-02-04T19:18:12.980782+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.71,250.0,32,5,1743.62,46
1770232693980,2026-02-04T19:18:13.980874+00:00,0,NVIDIA GeForce RTX 2080 Ti,74.3,250.0,32,5,1743.62,46
1770232694980,2026-02-04T19:18:14.980968+00:00,0,NVIDIA GeForce RTX 2080 Ti,74.21,250.0,32,5,1743.62,46
1770232695981,2026-02-04T19:18:15.981167+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.5,250.0,32,5,1743.62,46
1770232696981,2026-02-04T19:18:16.981234+00:00,0,NVIDIA GeForce RTX 2080 Ti,74.91,250.0,31,5,1743.62,46
1770232697981,2026-02-04T19:18:17.981411+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.28,250.0,31,5,1743.62,46
1770232698981,2026-02-04T19:18:18.981501+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.71,250.0,31,5,1743.62,46
1770232699981,2026-02-04T19:18:19.981719+00:00,0,NVIDIA GeForce RTX 2080 Ti,74.17,250.0,31,4,1743.62,46
1770232700981,2026-02-04T19:18:20.981818+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.21,250.0,31,5,1743.62,46
1770232701981,2026-02-04T19:18:21.981913+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.74,250.0,31,5,1743.62,46
1770232702982,2026-02-04T19:18:22.982024+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.93,250.0,31,5,1743.62,46
1770232703982,2026-02-04T19:18:23.982127+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.88,250.0,31,5,1743.62,46
1770232704982,2026-02-04T19:18:24.982233+00:00,0,NVIDIA GeForce RTX 2080 Ti,72.75,250.0,32,5,1743.62,47
1770232705982,2026-02-04T19:18:25.982322+00:00,0,NVIDIA GeForce RTX 2080 Ti,73.45,250.0,31,5,1743.62,47
1770232706982,2026-02-04T19:18:26.982429+00:00,0,NVIDIA GeForce RTX 2080 Ti,74.29,250.0,31,5,1743.62,47
1770232707982,2026-02-04T19:18:27.982519+00:00,0,NVIDIA GeForce RTX 2080 Ti,72.77,250.0,31,5,1743.62,47
1770232708982,2026-02-04T19:18:28.982614+00:00,0,NVIDIA GeForce RTX 2080 Ti,74.26,250.0,31,5,1743.62,47
1770232709982,2026-02-04T19:18:29.982726+00:00,0,NVIDIA GeForce RTX 2080 Ti,74.09,250.0,30,4,1743.62,47
1770232710982,2026-02-04T19:18:30.982836+00:00,0,NVIDIA GeForce RTX 2080 Ti,74.45,250.0,32,5,1743.62,47
1770232711982,2026-02-04T19:18:31.982934+00:00,0,NVIDIA GeForce RTX 2080 Ti,59.92,250.0,17,3,1743.62,46
