timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1770651363601,2026-02-09T15:36:03.601071+00:00,0,NVIDIA GeForce RTX 2080 Ti,55.47,250.0,5,1,1515.62,38
1770651364601,2026-02-09T15:36:04.601148+00:00,0,NVIDIA GeForce RTX 2080 Ti,79.57,250.0,27,4,1515.62,39
1770651365601,2026-02-09T15:36:05.601240+00:00,0,NVIDIA GeForce RTX 2080 Ti,83.81,250.0,38,7,1515.62,39
1770651366601,2026-02-09T15:36:06.601346+00:00,0,NVIDIA GeForce RTX 2080 Ti,81.16,250.0,38,7,1515.62,39
1770651367601,2026-02-09T15:36:07.601441+00:00,0,NVIDIA GeForce RTX 2080 Ti,89.29,250.0,40,7,1515.62,40
1770651368601,2026-02-09T15:36:08.601555+00:00,0,NVIDIA GeForce RTX 2080 Ti,90.43,250.0,39,7,1515.62,40
1770651369601,2026-02-09T15:36:09.601641+00:00,0,NVIDIA GeForce RTX 2080 Ti,88.57,250.0,39,7,1515.62,40
1770651370601,2026-02-09T15:36:10.601728+00:00,0,NVIDIA GeForce RTX 2080 Ti,92.59,250.0,39,7,1515.62,40
1770651371601,2026-02-09T15:36:11.601824+00:00,0,NVIDIA GeForce RTX 2080 Ti,93.98,250.0,39,7,1515.62,41
1770651372601,2026-02-09T15:36:12.601922+00:00,0,NVIDIA GeForce RTX 2080 Ti,89.16,250.0,38,7,1515.62,41
1770651373601,2026-02-09T15:36:13.601998+00:00,0,NVIDIA GeForce RTX 2080 Ti,56.85,250.0,22,4,1515.62,40
