timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c,gpu_energy_j_cumulative
1784793139822,2026-07-23T07:52:19.822652+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.1,80.0,0,0,622.06,34,7.287
1784793140822,2026-07-23T07:52:20.822856+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.07,80.0,0,0,622.06,34,14.389
1784793141823,2026-07-23T07:52:21.823069+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.07,80.0,0,1,622.06,34,21.44
1784793142823,2026-07-23T07:52:22.823266+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.07,80.0,0,0,622.06,34,28.489
1784793143823,2026-07-23T07:52:23.823476+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.06,80.0,0,0,622.06,34,35.571
1784793144823,2026-07-23T07:52:24.823673+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.08,80.0,0,0,622.06,34,42.644
1784793145823,2026-07-23T07:52:25.823893+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.95,80.0,0,0,622.06,34,51.424
1784793146824,2026-07-23T07:52:26.824092+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.18,80.0,0,0,622.06,34,59.105
1784793147824,2026-07-23T07:52:27.824292+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.25,80.0,0,0,622.06,34,66.215
1784793148824,2026-07-23T07:52:28.824533+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.14,80.0,0,0,622.06,34,73.326
1784793149824,2026-07-23T07:52:29.824696+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.13,80.0,0,2,622.06,34,80.445
1784793150824,2026-07-23T07:52:30.824907+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.12,80.0,0,0,622.06,34,87.523
1784793151825,2026-07-23T07:52:31.825100+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.11,80.0,0,0,622.06,34,94.59
1784793152825,2026-07-23T07:52:32.825329+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.74,80.0,0,0,622.06,34,102.887
1784793153825,2026-07-23T07:52:33.825547+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.06,80.0,0,0,622.06,34,111.078
1784793154825,2026-07-23T07:52:34.825740+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.23,80.0,0,0,622.06,34,118.139
1784793155825,2026-07-23T07:52:35.825958+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.16,80.0,0,0,622.06,34,125.227
1784793156826,2026-07-23T07:52:36.826031+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.09,80.0,0,1,622.06,34,132.293
1784793157826,2026-07-23T07:52:37.826226+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.1,80.0,0,0,622.06,34,139.37
1784793158826,2026-07-23T07:52:38.826438+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.09,80.0,0,0,622.06,34,146.448
1784793159826,2026-07-23T07:52:39.826615+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.62,80.0,0,0,622.06,34,154.377
1784793160826,2026-07-23T07:52:40.826813+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.12,80.0,0,0,622.06,34,162.832
1784793161827,2026-07-23T07:52:41.827008+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.1,80.0,0,0,622.06,34,169.973
1784793162827,2026-07-23T07:52:42.827218+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.1,80.0,0,2,622.06,34,177.07
1784793163827,2026-07-23T07:52:43.827426+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.1,80.0,0,0,622.06,34,184.192
1784793164827,2026-07-23T07:52:44.827623+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.12,80.0,0,2,622.06,34,191.283
1784793165827,2026-07-23T07:52:45.827817+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.08,80.0,0,1,622.06,34,198.347
1784793166828,2026-07-23T07:52:46.828013+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.34,80.0,0,0,622.06,34,205.912
1784793167828,2026-07-23T07:52:47.828222+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.17,80.0,0,0,622.06,34,214.79
1784793168828,2026-07-23T07:52:48.828444+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.24,80.0,0,0,622.06,34,221.819
1784793169828,2026-07-23T07:52:49.828655+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.1,80.0,0,0,622.06,34,228.886
