timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c,cpu_energy_j_cumulative
1784807952069,2026-07-23T11:59:12.069685+00:00,0.61,0.3,46.0,0.61
1784807953069,2026-07-23T11:59:13.069970+00:00,0.61,0.5,46.0,1.223
1784807954070,2026-07-23T11:59:14.070171+00:00,0.61,0.3,46.0,1.831
1784807955070,2026-07-23T11:59:15.070454+00:00,0.62,1.0,46.0,2.456
1784807956070,2026-07-23T11:59:16.070746+00:00,0.6,0.3,46.0,3.058
1784807957071,2026-07-23T11:59:17.071029+00:00,0.61,0.3,46.0,3.665
1784807958071,2026-07-23T11:59:18.071314+00:00,0.6,0.5,46.0,4.27
1784807959071,2026-07-23T11:59:19.071598+00:00,0.61,0.3,46.0,4.876
1784807960071,2026-07-23T11:59:20.071882+00:00,0.6,0.5,46.0,5.48
1784807961072,2026-07-23T11:59:21.072172+00:00,0.6,0.5,45.0,6.084
1784807962072,2026-07-23T11:59:22.072472+00:00,0.61,0.0,46.0,6.694
1784807963072,2026-07-23T11:59:23.072758+00:00,0.63,0.5,46.0,7.32
1784807964073,2026-07-23T11:59:24.073044+00:00,0.61,0.7,47.0,7.929
1784807965073,2026-07-23T11:59:25.073337+00:00,0.6,0.3,47.0,8.531
1784807966073,2026-07-23T11:59:26.073653+00:00,0.63,1.0,45.0,9.157
1784807967073,2026-07-23T11:59:27.073937+00:00,0.61,0.3,45.0,9.763
1784807968074,2026-07-23T11:59:28.074219+00:00,0.6,0.5,46.0,10.365
1784807969074,2026-07-23T11:59:29.074529+00:00,0.61,0.5,46.0,10.971
1784807970074,2026-07-23T11:59:30.074812+00:00,0.6,0.0,46.0,11.576
1784807971075,2026-07-23T11:59:31.075103+00:00,0.6,0.7,46.0,12.179
1784807972075,2026-07-23T11:59:32.075389+00:00,0.6,0.3,47.0,12.781
1784807973075,2026-07-23T11:59:33.075671+00:00,0.62,0.7,47.0,13.397
1784807974075,2026-07-23T11:59:34.075960+00:00,0.6,0.5,46.0,13.999
1784807975076,2026-07-23T11:59:35.076243+00:00,0.62,0.3,46.0,14.615
1784807976076,2026-07-23T11:59:36.076521+00:00,0.74,1.5,46.0,15.359
1784807977076,2026-07-23T11:59:37.076806+00:00,0.6,0.3,46.0,15.963
1784807978077,2026-07-23T11:59:38.077101+00:00,0.6,0.3,46.0,16.563
1784807979077,2026-07-23T11:59:39.077382+00:00,0.61,0.5,46.0,17.171
1784807980077,2026-07-23T11:59:40.077699+00:00,0.6,0.3,46.0,17.77
1784807981077,2026-07-23T11:59:41.077986+00:00,0.61,0.5,46.0,18.377
1784807982078,2026-07-23T11:59:42.078288+00:00,0.61,0.5,46.0,18.986
1784807983078,2026-07-23T11:59:43.078575+00:00,0.61,0.3,46.0,19.6
1784807984078,2026-07-23T11:59:44.078860+00:00,0.6,0.5,46.0,20.201
1784807985079,2026-07-23T11:59:45.079146+00:00,0.61,0.7,46.0,20.813
1784807986079,2026-07-23T11:59:46.079429+00:00,0.6,0.3,46.0,21.415
1784807987079,2026-07-23T11:59:47.079717+00:00,0.61,0.3,46.0,22.023
1784807988079,2026-07-23T11:59:48.079998+00:00,0.61,0.5,46.0,22.629
1784807989080,2026-07-23T11:59:49.080283+00:00,0.61,0.3,46.0,23.239
1784807990080,2026-07-23T11:59:50.080642+00:00,0.61,0.5,47.0,23.844
1784807991080,2026-07-23T11:59:51.080893+00:00,0.61,0.3,47.0,24.451
1784807992081,2026-07-23T11:59:52.081183+00:00,0.61,0.3,46.0,25.06
1784807993081,2026-07-23T11:59:53.081467+00:00,0.61,0.3,45.0,25.67
1784807994081,2026-07-23T11:59:54.081748+00:00,0.61,0.5,45.0,26.278
1784807995082,2026-07-23T11:59:55.082031+00:00,0.6,0.3,46.0,26.881
1784807996082,2026-07-23T11:59:56.082320+00:00,0.61,0.5,46.0,27.492
1784807997082,2026-07-23T11:59:57.082640+00:00,0.61,0.3,47.0,28.1
1784807998082,2026-07-23T11:59:58.082892+00:00,0.6,0.5,47.0,28.704
1784807999083,2026-07-23T11:59:59.083180+00:00,0.61,0.5,45.0,29.31
1784808000083,2026-07-23T12:00:00.083467+00:00,0.6,0.3,45.0,29.914
1784808001083,2026-07-23T12:00:01.083749+00:00,0.61,0.3,46.0,30.521
1784808002084,2026-07-23T12:00:02.084030+00:00,0.61,0.5,46.0,31.129
1784808003084,2026-07-23T12:00:03.084312+00:00,0.61,0.3,46.0,31.74
1784808004084,2026-07-23T12:00:04.084595+00:00,0.61,0.3,46.0,32.348
1784808005084,2026-07-23T12:00:05.084898+00:00,0.61,0.5,46.0,32.955
1784808006085,2026-07-23T12:00:06.085178+00:00,0.6,0.3,46.0,33.557
1784808007085,2026-07-23T12:00:07.085462+00:00,0.61,0.3,46.0,34.166
1784808008085,2026-07-23T12:00:08.085758+00:00,0.6,0.3,46.0,34.77
1784808009086,2026-07-23T12:00:09.086051+00:00,0.6,0.7,46.0,35.373
1784808010086,2026-07-23T12:00:10.086348+00:00,0.6,0.5,46.0,35.976
1784808011086,2026-07-23T12:00:11.086693+00:00,0.63,0.5,46.0,36.605
1784808012086,2026-07-23T12:00:12.086985+00:00,0.6,0.5,46.0,37.209
1784808013087,2026-07-23T12:00:13.087278+00:00,0.61,0.5,46.0,37.816
1784808014087,2026-07-23T12:00:14.087565+00:00,0.6,0.3,48.0,38.414
1784808015087,2026-07-23T12:00:15.087848+00:00,0.61,0.5,48.0,39.024
1784808016088,2026-07-23T12:00:16.088131+00:00,0.6,0.5,46.0,39.625
1784808017088,2026-07-23T12:00:17.088427+00:00,0.61,0.3,46.0,40.231
1784808018088,2026-07-23T12:00:18.088715+00:00,0.6,0.5,46.0,40.836
1784808019088,2026-07-23T12:00:19.088999+00:00,0.61,0.5,46.0,41.447
1784808020089,2026-07-23T12:00:20.089284+00:00,0.6,0.3,46.0,42.052
1784808021089,2026-07-23T12:00:21.089574+00:00,0.61,0.5,46.0,42.657
1784808022089,2026-07-23T12:00:22.089857+00:00,0.61,0.5,46.0,43.262
1784808023090,2026-07-23T12:00:23.090106+00:00,0.64,0.5,45.0,43.901
1784808024090,2026-07-23T12:00:24.090398+00:00,0.6,0.5,46.0,44.505
1784808025090,2026-07-23T12:00:25.090692+00:00,0.61,0.5,46.0,45.116
1784808026090,2026-07-23T12:00:26.090999+00:00,0.6,0.5,48.0,45.715
