timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1783932317601,2026-07-13T08:45:17.601040+00:00,0.0015,0.0033
1783932318601,2026-07-13T08:45:18.601320+00:00,16.6617,2.7184
1783932319601,2026-07-13T08:45:19.601487+00:00,22.4173,4.0393
1783932320601,2026-07-13T08:45:20.601654+00:00,23.5658,4.0529
1783932321602,2026-07-13T08:45:21.602817+00:00,24.8237,3.4269
1783932322602,2026-07-13T08:45:22.602942+00:00,24.9905,4.102
1783932323603,2026-07-13T08:45:23.603104+00:00,23.4902,4.0373
1783932324603,2026-07-13T08:45:24.603155+00:00,22.3541,4.0459
1783932325604,2026-07-13T08:45:25.604829+00:00,24.9628,3.4716
1783932326604,2026-07-13T08:45:26.604987+00:00,23.6979,4.0627
1783932327605,2026-07-13T08:45:27.605193+00:00,22.2853,4.0271
1783932328605,2026-07-13T08:45:28.605257+00:00,24.8247,4.0971
1783932329605,2026-07-13T08:45:29.605376+00:00,24.9896,3.486
1783932330605,2026-07-13T08:45:30.605521+00:00,24.2299,4.0659
1783932331605,2026-07-13T08:45:31.605619+00:00,23.4888,4.0571
1783932332605,2026-07-13T08:45:32.605715+00:00,23.6373,4.0327
1783932333605,2026-07-13T08:45:33.605866+00:00,24.4429,4.0899
1783932334606,2026-07-13T08:45:34.606028+00:00,25.5843,4.1078
1783932335606,2026-07-13T08:45:35.606143+00:00,25.1811,4.1093
1783932336606,2026-07-13T08:45:36.606235+00:00,24.7549,4.0612
1783932337607,2026-07-13T08:45:37.607815+00:00,24.4426,4.0973
1783932338607,2026-07-13T08:45:38.607896+00:00,24.9909,4.1072
1783932339608,2026-07-13T08:45:39.608033+00:00,25.8936,4.1105
1783932340608,2026-07-13T08:45:40.608126+00:00,24.0888,4.0928
1783932341608,2026-07-13T08:45:41.608399+00:00,25.0297,4.111
1783932342608,2026-07-13T08:45:42.608483+00:00,25.6442,4.122
1783932343608,2026-07-13T08:45:43.608655+00:00,26.7545,4.1429
1783932344608,2026-07-13T08:45:44.608765+00:00,24.4269,4.1073
1783932345609,2026-07-13T08:45:45.609054+00:00,19.0243,3.3932
1783932346609,2026-07-13T08:45:46.609217+00:00,22.369,3.4515
1783932347609,2026-07-13T08:45:47.609319+00:00,23.9849,4.0879
1783932348609,2026-07-13T08:45:48.609561+00:00,24.3732,4.1049
1783932349609,2026-07-13T08:45:49.609840+00:00,24.9806,4.1234
1783932350609,2026-07-13T08:45:50.609944+00:00,26.0478,4.1328
1783932351610,2026-07-13T08:45:51.610101+00:00,26.6071,4.1461
1783932352610,2026-07-13T08:45:52.610199+00:00,25.2483,4.1139
1783932353610,2026-07-13T08:45:53.610350+00:00,24.9618,4.1126
1783932354610,2026-07-13T08:45:54.610467+00:00,24.3381,4.1065
1783932355610,2026-07-13T08:45:55.610576+00:00,20.1984,3.4071
1783932356610,2026-07-13T08:45:56.610745+00:00,11.5091,2.0343
1783932357610,2026-07-13T08:45:57.610886+00:00,18.8132,2.791
1783932358610,2026-07-13T08:45:58.610994+00:00,25.9123,4.1458
1783932359611,2026-07-13T08:45:59.611086+00:00,25.4469,4.1343
1783932360611,2026-07-13T08:46:00.611178+00:00,24.9914,4.7189
1783932361611,2026-07-13T08:46:01.611349+00:00,24.5691,3.5137
1783932362613,2026-07-13T08:46:02.613817+00:00,25.4126,4.1212
1783932363613,2026-07-13T08:46:03.613909+00:00,24.6493,4.1078
1783932364614,2026-07-13T08:46:04.614053+00:00,25.3327,4.1186
1783932365614,2026-07-13T08:46:05.614213+00:00,24.9908,4.1229
1783932366614,2026-07-13T08:46:06.614325+00:00,24.9925,4.1255
1783932367614,2026-07-13T08:46:07.614457+00:00,24.9908,4.12
1783932368614,2026-07-13T08:46:08.614546+00:00,24.6096,4.106
1783932369614,2026-07-13T08:46:09.614713+00:00,25.3726,4.1246
1783932370614,2026-07-13T08:46:10.614818+00:00,24.9925,4.1121
