timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1788962269834,2026-09-09T13:57:49.834995+00:00,1.4,9.3,61.0
1788962270835,2026-09-09T13:57:50.835127+00:00,2.3,25.4,61.0
1788962271837,2026-09-09T13:57:51.837665+00:00,2.55,39.3,66.0
1788962272837,2026-09-09T13:57:52.837938+00:00,2.58,33.5,64.0
1788962273838,2026-09-09T13:57:53.838056+00:00,2.77,35.7,64.0
1788962274838,2026-09-09T13:57:54.838179+00:00,2.29,37.2,63.0
1788962275838,2026-09-09T13:57:55.838291+00:00,3.18,32.2,63.0
1788962276838,2026-09-09T13:57:56.838401+00:00,3.2,27.5,65.0
1788962277838,2026-09-09T13:57:57.838478+00:00,3.1,34.5,65.0
1788962278838,2026-09-09T13:57:58.838769+00:00,2.43,34.4,62.0
1788962279838,2026-09-09T13:57:59.838860+00:00,2.48,37.0,62.0
1788962280840,2026-09-09T13:58:00.840712+00:00,2.35,42.7,68.0
1788962281840,2026-09-09T13:58:01.840996+00:00,2.51,35.8,63.0
1788962282842,2026-09-09T13:58:02.842672+00:00,2.72,33.7,63.0
1788962283842,2026-09-09T13:58:03.842814+00:00,2.57,36.0,68.0
1788962284843,2026-09-09T13:58:04.843056+00:00,3.4,26.5,66.0
1788962285843,2026-09-09T13:58:05.843136+00:00,2.68,35.1,66.0
1788962286843,2026-09-09T13:58:06.843398+00:00,2.43,38.0,64.0
1788962287843,2026-09-09T13:58:07.843476+00:00,2.73,33.0,64.0
1788962288843,2026-09-09T13:58:08.843612+00:00,2.67,34.4,65.0
1788962289844,2026-09-09T13:58:09.844656+00:00,2.56,37.2,73.0
1788962290844,2026-09-09T13:58:10.844952+00:00,2.44,37.2,64.0
1788962291845,2026-09-09T13:58:11.845070+00:00,3.1,29.7,64.0
1788962292845,2026-09-09T13:58:12.845197+00:00,2.73,33.0,66.0
1788962293845,2026-09-09T13:58:13.845356+00:00,2.31,41.0,66.0
1788962294846,2026-09-09T13:58:14.846659+00:00,2.47,38.0,66.0
1788962295846,2026-09-09T13:58:15.846735+00:00,2.53,40.1,68.0
1788962296846,2026-09-09T13:58:16.846946+00:00,2.88,33.3,71.0
1788962297847,2026-09-09T13:58:17.847199+00:00,2.88,33.0,71.0
1788962298847,2026-09-09T13:58:18.847479+00:00,2.32,39.2,65.0
1788962299847,2026-09-09T13:58:19.847572+00:00,3.14,31.3,65.0
1788962300847,2026-09-09T13:58:20.847714+00:00,2.61,32.4,63.0
1788962301847,2026-09-09T13:58:21.847795+00:00,2.53,39.3,63.0
1788962302848,2026-09-09T13:58:22.848096+00:00,2.61,36.5,65.0
1788962303848,2026-09-09T13:58:23.848211+00:00,2.56,33.9,66.0
1788962304848,2026-09-09T13:58:24.848324+00:00,2.46,42.2,66.0
1788962305848,2026-09-09T13:58:25.848443+00:00,2.6,35.3,68.0
1788962306849,2026-09-09T13:58:26.849661+00:00,2.51,36.5,68.0
1788962307850,2026-09-09T13:58:27.850651+00:00,2.43,39.8,68.0
1788962308850,2026-09-09T13:58:28.850742+00:00,2.88,30.2,66.0
1788962309850,2026-09-09T13:58:29.850831+00:00,3.18,31.1,66.0
1788962310851,2026-09-09T13:58:30.851109+00:00,2.99,32.1,66.0
1788962311851,2026-09-09T13:58:31.851201+00:00,2.76,37.8,66.0
1788962312851,2026-09-09T13:58:32.851343+00:00,2.94,31.5,66.0
1788962313851,2026-09-09T13:58:33.851467+00:00,2.96,35.1,66.0
1788962314851,2026-09-09T13:58:34.851590+00:00,2.58,32.2,66.0
1788962315851,2026-09-09T13:58:35.851875+00:00,2.81,33.9,66.0
1788962316851,2026-09-09T13:58:36.851977+00:00,2.62,35.5,66.0
1788962317852,2026-09-09T13:58:37.852111+00:00,2.64,36.3,64.0
1788962318852,2026-09-09T13:58:38.852266+00:00,2.6,34.6,67.0
1788962319852,2026-09-09T13:58:39.852543+00:00,2.62,39.3,65.0
1788962320852,2026-09-09T13:58:40.852652+00:00,2.77,33.8,67.0
1788962321852,2026-09-09T13:58:41.852816+00:00,2.59,35.9,67.0
1788962322853,2026-09-09T13:58:42.853355+00:00,2.72,34.9,68.0
1788962323853,2026-09-09T13:58:43.853441+00:00,3.14,33.4,68.0
1788962324853,2026-09-09T13:58:44.853555+00:00,2.72,30.4,66.0
1788962325853,2026-09-09T13:58:45.853688+00:00,2.86,35.1,66.0
1788962326853,2026-09-09T13:58:46.853935+00:00,3.3,30.3,66.0
1788962327855,2026-09-09T13:58:47.855662+00:00,2.67,31.3,68.0
1788962328855,2026-09-09T13:58:48.855947+00:00,2.8,35.5,68.0
1788962329856,2026-09-09T13:58:49.856191+00:00,2.77,34.5,68.0
1788962330856,2026-09-09T13:58:50.856288+00:00,2.62,33.5,68.0
1788962331856,2026-09-09T13:58:51.856365+00:00,2.61,39.7,75.0
1788962332856,2026-09-09T13:58:52.856531+00:00,2.58,32.4,66.0
1788962333856,2026-09-09T13:58:53.856804+00:00,2.75,35.5,67.0
1788962334856,2026-09-09T13:58:54.856933+00:00,2.46,38.9,67.0
1788962335857,2026-09-09T13:58:55.857174+00:00,3.23,28.4,68.0
1788962336859,2026-09-09T13:58:56.859660+00:00,2.45,37.2,68.0
1788962337859,2026-09-09T13:58:57.859948+00:00,2.82,33.7,66.0
1788962338860,2026-09-09T13:58:58.860661+00:00,2.62,37.1,68.0
1788962339860,2026-09-09T13:58:59.860952+00:00,2.59,35.8,68.0
1788962340861,2026-09-09T13:59:00.861026+00:00,2.89,34.0,78.0
1788962341861,2026-09-09T13:59:01.861245+00:00,3.39,26.5,70.0
1788962342862,2026-09-09T13:59:02.862647+00:00,2.93,31.9,75.0
1788962343862,2026-09-09T13:59:03.862737+00:00,2.68,34.8,75.0
1788962344864,2026-09-09T13:59:04.864652+00:00,2.68,36.2,77.0
1788962345864,2026-09-09T13:59:05.864757+00:00,2.78,32.3,65.0
1788962346866,2026-09-09T13:59:06.866666+00:00,2.41,39.5,68.0
1788962347867,2026-09-09T13:59:07.867020+00:00,2.71,32.7,68.0
1788962348867,2026-09-09T13:59:08.867657+00:00,2.46,41.2,68.0
1788962349867,2026-09-09T13:59:09.867951+00:00,2.56,35.2,65.0
1788962350868,2026-09-09T13:59:10.868030+00:00,2.59,39.3,65.0
1788962351868,2026-09-09T13:59:11.868143+00:00,2.8,30.4,68.0
1788962352868,2026-09-09T13:59:12.868401+00:00,2.68,37.4,67.0
1788962353869,2026-09-09T13:59:13.869709+00:00,2.94,32.4,68.0
1788962354869,2026-09-09T13:59:14.869825+00:00,2.59,35.2,68.0
1788962355869,2026-09-09T13:59:15.869956+00:00,2.56,34.8,66.0
1788962356870,2026-09-09T13:59:16.870206+00:00,2.83,34.1,66.0
1788962357870,2026-09-09T13:59:17.870317+00:00,2.43,37.5,67.0
1788962358870,2026-09-09T13:59:18.870574+00:00,2.62,38.9,68.0
1788962359870,2026-09-09T13:59:19.870648+00:00,2.81,33.3,68.0
1788962360870,2026-09-09T13:59:20.870736+00:00,3.53,27.2,76.0
1788962361870,2026-09-09T13:59:21.870894+00:00,3.12,30.8,76.0
1788962362871,2026-09-09T13:59:22.871014+00:00,2.61,38.4,69.0
1788962363871,2026-09-09T13:59:23.871140+00:00,2.8,29.8,67.0
1788962364871,2026-09-09T13:59:24.871265+00:00,2.73,37.5,67.0
1788962365871,2026-09-09T13:59:25.871354+00:00,2.58,35.8,71.0
1788962366871,2026-09-09T13:59:26.871667+00:00,2.67,34.6,71.0
1788962367871,2026-09-09T13:59:27.871903+00:00,3.26,31.4,68.0
1788962368872,2026-09-09T13:59:28.872006+00:00,2.49,37.7,68.0
1788962369872,2026-09-09T13:59:29.872261+00:00,2.67,38.5,68.0
1788962370872,2026-09-09T13:59:30.872558+00:00,2.41,38.7,66.0
1788962371873,2026-09-09T13:59:31.873675+00:00,2.55,36.8,72.0
1788962372873,2026-09-09T13:59:32.873793+00:00,2.72,33.2,72.0
1788962373873,2026-09-09T13:59:33.873876+00:00,2.6,36.1,68.0
1788962374873,2026-09-09T13:59:34.873976+00:00,2.38,39.3,69.0
1788962375874,2026-09-09T13:59:35.874266+00:00,2.55,37.6,69.0
1788962376874,2026-09-09T13:59:36.874410+00:00,2.66,34.6,68.0
1788962377874,2026-09-09T13:59:37.874517+00:00,2.82,33.9,68.0
1788962378874,2026-09-09T13:59:38.874601+00:00,2.79,34.2,69.0
1788962379874,2026-09-09T13:59:39.874718+00:00,2.66,33.6,67.0
1788962380874,2026-09-09T13:59:40.874830+00:00,2.65,38.0,67.0
