timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c,cpu_energy_j_cumulative
1784822857543,2026-07-23T16:07:37.543719+00:00,1.0,6.9,51.0,0.998
1784822858543,2026-07-23T16:07:38.543999+00:00,1.56,21.2,52.0,2.554
1784822859544,2026-07-23T16:07:39.544128+00:00,1.98,25.7,52.0,4.534
1784822860544,2026-07-23T16:07:40.544213+00:00,1.64,32.1,54.0,6.175
1784822861544,2026-07-23T16:07:41.544624+00:00,1.76,26.5,54.0,7.937
1784822862544,2026-07-23T16:07:42.544768+00:00,1.6,29.2,52.0,9.533
1784822863545,2026-07-23T16:07:43.545074+00:00,1.97,26.2,52.0,11.502
1784822864545,2026-07-23T16:07:44.545123+00:00,1.66,30.8,52.0,13.161
1784822865545,2026-07-23T16:07:45.545289+00:00,1.84,25.4,59.0,14.997
1784822866545,2026-07-23T16:07:46.545576+00:00,1.71,20.7,52.0,16.708
1784822867545,2026-07-23T16:07:47.545668+00:00,1.48,16.8,52.0,18.19
1784822868545,2026-07-23T16:07:48.545753+00:00,1.37,21.1,53.0,19.56
1784822869546,2026-07-23T16:07:49.546030+00:00,1.46,17.3,51.0,21.022
1784822870546,2026-07-23T16:07:50.546272+00:00,1.61,23.0,51.0,22.628
1784822871546,2026-07-23T16:07:51.546438+00:00,1.62,28.9,52.0,24.252
1784822872546,2026-07-23T16:07:52.546646+00:00,1.8,27.2,52.0,26.051
1784822873546,2026-07-23T16:07:53.546939+00:00,1.8,24.4,53.0,27.85
1784822874547,2026-07-23T16:07:54.547227+00:00,1.85,26.0,53.0,29.698
1784822875547,2026-07-23T16:07:55.547389+00:00,1.84,25.8,53.0,31.54
1784822876547,2026-07-23T16:07:56.547500+00:00,1.95,24.4,59.0,33.494
1784822877547,2026-07-23T16:07:57.547657+00:00,1.58,27.1,59.0,35.076
1784822878547,2026-07-23T16:07:58.547925+00:00,1.81,26.3,53.0,36.888
1784822879548,2026-07-23T16:07:59.548132+00:00,1.82,27.8,53.0,38.706
1784822880548,2026-07-23T16:08:00.548127+00:00,1.89,25.1,53.0,40.592
1784822881548,2026-07-23T16:08:01.548240+00:00,1.74,26.2,53.0,42.329
1784822882548,2026-07-23T16:08:02.548504+00:00,1.68,28.4,52.0,44.007
1784822883548,2026-07-23T16:08:03.548647+00:00,1.66,30.1,53.0,45.666
1784822884548,2026-07-23T16:08:04.548766+00:00,1.73,28.2,53.0,47.394
1784822885549,2026-07-23T16:08:05.549062+00:00,1.96,22.0,53.0,49.354
1784822886549,2026-07-23T16:08:06.549191+00:00,1.69,28.1,53.0,51.048
1784822887549,2026-07-23T16:08:07.549286+00:00,1.82,25.3,53.0,52.87
1784822888549,2026-07-23T16:08:08.549393+00:00,1.74,27.2,55.0,54.613
1784822889549,2026-07-23T16:08:09.549677+00:00,1.88,23.2,53.0,56.499
1784822890549,2026-07-23T16:08:10.549974+00:00,1.88,23.7,53.0,58.381
1784822891550,2026-07-23T16:08:11.550069+00:00,1.84,25.4,53.0,60.226
1784822892550,2026-07-23T16:08:12.550340+00:00,1.86,27.1,53.0,62.086
1784822893550,2026-07-23T16:08:13.550519+00:00,1.83,25.3,53.0,63.913
1784822894550,2026-07-23T16:08:14.550637+00:00,1.88,22.8,55.0,65.796
1784822895550,2026-07-23T16:08:15.550728+00:00,1.86,26.9,55.0,67.659
1784822896551,2026-07-23T16:08:16.551132+00:00,1.6,29.2,56.0,69.256
1784822897551,2026-07-23T16:08:17.551281+00:00,1.61,25.8,56.0,70.863
1784822898551,2026-07-23T16:08:18.551406+00:00,1.8,25.4,56.0,72.664
1784822899551,2026-07-23T16:08:19.551584+00:00,1.73,28.2,56.0,74.391
1784822900551,2026-07-23T16:08:20.551751+00:00,1.74,25.9,54.0,76.128
1784822901551,2026-07-23T16:08:21.551881+00:00,1.81,26.8,53.0,77.934
1784822902552,2026-07-23T16:08:22.552045+00:00,1.77,28.7,53.0,79.699
1784822903552,2026-07-23T16:08:23.552319+00:00,1.78,27.1,54.0,81.482
1784822904552,2026-07-23T16:08:24.552454+00:00,2.02,22.1,54.0,83.502
1784822905552,2026-07-23T16:08:25.552680+00:00,1.79,26.9,54.0,85.295
1784822906552,2026-07-23T16:08:26.552707+00:00,1.83,25.1,55.0,87.123
1784822907552,2026-07-23T16:08:27.552799+00:00,1.22,10.7,53.0,88.347
1784822908552,2026-07-23T16:08:28.552910+00:00,0.84,1.3,53.0,89.187
1784822909553,2026-07-23T16:08:29.553035+00:00,0.83,1.5,53.0,90.022
1784822910553,2026-07-23T16:08:30.553234+00:00,2.1,35.3,53.0,92.123
1784822911553,2026-07-23T16:08:31.553333+00:00,2.08,34.6,56.0,94.208
1784822912553,2026-07-23T16:08:32.553554+00:00,1.83,24.3,56.0,96.043
1784822913553,2026-07-23T16:08:33.553652+00:00,1.75,29.3,56.0,97.794
1784822914553,2026-07-23T16:08:34.553798+00:00,1.85,25.9,56.0,99.646
1784822915553,2026-07-23T16:08:35.553902+00:00,1.82,24.7,55.0,101.463
1784822916553,2026-07-23T16:08:36.553997+00:00,1.83,25.8,55.0,103.298
1784822917554,2026-07-23T16:08:37.554155+00:00,1.62,31.2,55.0,104.92
1784822918554,2026-07-23T16:08:38.554255+00:00,1.87,25.6,55.0,106.792
1784822919554,2026-07-23T16:08:39.554370+00:00,1.69,29.7,55.0,108.478
1784822920554,2026-07-23T16:08:40.554532+00:00,1.8,25.1,55.0,110.279
1784822921554,2026-07-23T16:08:41.554698+00:00,1.75,27.0,55.0,112.031
