timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1783943693972,2026-07-13T11:54:53.972653+00:00,0.001,0.0019
1783943694972,2026-07-13T11:54:54.972918+00:00,4.3833,1.3033
1783943695973,2026-07-13T11:54:55.973014+00:00,16.443,2.1355
1783943696973,2026-07-13T11:54:56.973118+00:00,22.5653,4.07
1783943697973,2026-07-13T11:54:57.973232+00:00,24.1288,4.0973
1783943698973,2026-07-13T11:54:58.973369+00:00,24.1111,3.4908
1783943699973,2026-07-13T11:54:59.973476+00:00,24.8057,4.1021
1783943700973,2026-07-13T11:55:00.973561+00:00,24.7054,4.1122
1783943701973,2026-07-13T11:55:01.973677+00:00,25.1143,4.1173
1783943702973,2026-07-13T11:55:02.973772+00:00,25.3348,4.1268
1783943703973,2026-07-13T11:55:03.973848+00:00,22.6744,4.0679
1783943704974,2026-07-13T11:55:04.974117+00:00,25.2333,4.1205
1783943705974,2026-07-13T11:55:05.974272+00:00,25.5194,4.1285
1783943706974,2026-07-13T11:55:06.974372+00:00,24.2287,4.0945
1783943707974,2026-07-13T11:55:07.974465+00:00,24.3714,4.0971
1783943708974,2026-07-13T11:55:08.974566+00:00,26.1056,4.1255
1783943709974,2026-07-13T11:55:09.974743+00:00,25.5775,4.123
1783943710974,2026-07-13T11:55:10.974824+00:00,22.9666,4.0704
1783943711974,2026-07-13T11:55:11.974916+00:00,25.0399,4.112
1783943712974,2026-07-13T11:55:12.974995+00:00,26.426,4.1317
1783943713975,2026-07-13T11:55:13.975154+00:00,23.0231,4.076
1783943714975,2026-07-13T11:55:14.975248+00:00,25.556,4.1281
1783943715975,2026-07-13T11:55:15.975329+00:00,24.077,4.0953
1783943716975,2026-07-13T11:55:16.975419+00:00,24.8939,4.1141
1783943717975,2026-07-13T11:55:17.975626+00:00,25.1663,4.1182
1783943718975,2026-07-13T11:55:18.975724+00:00,26.2698,4.1375
1783943719975,2026-07-13T11:55:19.975841+00:00,25.2747,4.1312
1783943720975,2026-07-13T11:55:20.975951+00:00,26.7282,4.1546
1783943721976,2026-07-13T11:55:21.976048+00:00,25.6751,4.7258
1783943722976,2026-07-13T11:55:22.976148+00:00,24.1212,3.4929
1783943723977,2026-07-13T11:55:23.977818+00:00,25.8579,4.1329
1783943724977,2026-07-13T11:55:24.977916+00:00,24.9901,4.6306
1783943725978,2026-07-13T11:55:25.978918+00:00,24.9891,3.663
1783943726979,2026-07-13T11:55:26.979023+00:00,25.8135,4.658
1783943727979,2026-07-13T11:55:27.979134+00:00,24.5327,4.1046
1783943728979,2026-07-13T11:55:28.979290+00:00,26.5012,4.1424
1783943729979,2026-07-13T11:55:29.979396+00:00,27.2766,4.1599
1783943730979,2026-07-13T11:55:30.979474+00:00,24.9906,4.7138
1783943731979,2026-07-13T11:55:31.979597+00:00,25.0915,4.1128
1783943732979,2026-07-13T11:55:32.979797+00:00,27.5212,4.1664
1783943733979,2026-07-13T11:55:33.979926+00:00,25.8338,4.1329
1783943734980,2026-07-13T11:55:34.980038+00:00,25.677,4.7327
1783943735980,2026-07-13T11:55:35.980212+00:00,26.7509,4.1451
1783943736980,2026-07-13T11:55:36.980377+00:00,27.3929,4.166
1783943737980,2026-07-13T11:55:37.980481+00:00,24.9894,4.1151
1783943738980,2026-07-13T11:55:38.980715+00:00,24.9897,4.1218
1783943739980,2026-07-13T11:55:39.980860+00:00,25.3868,4.721
1783943740981,2026-07-13T11:55:40.981012+00:00,28.0269,4.1828
1783943741981,2026-07-13T11:55:41.981257+00:00,25.7208,4.1288
1783943742981,2026-07-13T11:55:42.981351+00:00,25.769,4.7286
1783943743981,2026-07-13T11:55:43.981461+00:00,26.0482,4.1412
1783943744981,2026-07-13T11:55:44.981634+00:00,26.1254,4.1327
1783943745981,2026-07-13T11:55:45.981736+00:00,26.1827,4.1327
1783943746981,2026-07-13T11:55:46.981809+00:00,25.3565,4.7216
1783943747981,2026-07-13T11:55:47.981951+00:00,23.5915,3.4861
1783943748982,2026-07-13T11:55:48.982044+00:00,23.0315,4.0756
1783943749982,2026-07-13T11:55:49.982153+00:00,26.8589,4.1475
1783943750983,2026-07-13T11:55:50.983014+00:00,26.1153,4.1454
1783943751983,2026-07-13T11:55:51.983126+00:00,25.9346,4.7341
1783943752983,2026-07-13T11:55:52.983211+00:00,26.7968,4.147
1783943753983,2026-07-13T11:55:53.983307+00:00,26.4074,4.1467
1783943754983,2026-07-13T11:55:54.983577+00:00,25.1044,4.7079
