timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1784031031726,2026-07-14T12:10:31.726313+00:00,1.02,6.6,56.0
1784031032726,2026-07-14T12:10:32.726459+00:00,1.88,38.2,56.0
1784031033726,2026-07-14T12:10:33.726987+00:00,2.29,49.7,60.0
1784031034727,2026-07-14T12:10:34.727110+00:00,2.24,48.1,60.0
1784031035728,2026-07-14T12:10:35.728675+00:00,2.25,48.7,60.0
1784031036728,2026-07-14T12:10:36.728766+00:00,2.28,50.0,60.0
1784031037728,2026-07-14T12:10:37.728858+00:00,2.26,48.5,62.0
1784031038728,2026-07-14T12:10:38.728994+00:00,2.24,50.1,62.0
1784031039729,2026-07-14T12:10:39.729090+00:00,2.26,49.5,61.0
1784031040729,2026-07-14T12:10:40.729181+00:00,2.23,48.0,60.0
1784031041729,2026-07-14T12:10:41.729311+00:00,2.35,50.8,62.0
1784031042729,2026-07-14T12:10:42.729385+00:00,2.2,49.7,62.0
1784031043729,2026-07-14T12:10:43.729516+00:00,2.31,47.2,61.0
1784031044729,2026-07-14T12:10:44.729626+00:00,2.3,48.7,61.0
1784031045729,2026-07-14T12:10:45.729735+00:00,2.28,51.2,62.0
1784031046729,2026-07-14T12:10:46.729827+00:00,2.26,49.6,62.0
1784031047729,2026-07-14T12:10:47.729925+00:00,2.26,47.8,61.0
1784031048730,2026-07-14T12:10:48.730028+00:00,2.27,48.7,61.0
1784031049730,2026-07-14T12:10:49.730119+00:00,2.29,49.6,61.0
1784031050732,2026-07-14T12:10:50.732290+00:00,2.24,49.0,61.0
1784031051732,2026-07-14T12:10:51.732394+00:00,2.23,50.6,62.0
1784031052735,2026-07-14T12:10:52.735303+00:00,2.35,48.1,61.0
1784031053735,2026-07-14T12:10:53.735395+00:00,2.34,49.0,61.0
1784031054735,2026-07-14T12:10:54.735490+00:00,2.19,46.9,61.0
1784031055735,2026-07-14T12:10:55.735563+00:00,2.26,49.6,61.0
1784031056735,2026-07-14T12:10:56.735668+00:00,2.28,47.5,62.0
1784031057735,2026-07-14T12:10:57.735751+00:00,2.3,48.8,62.0
1784031058735,2026-07-14T12:10:58.735854+00:00,2.35,45.9,60.0
1784031059735,2026-07-14T12:10:59.735936+00:00,2.23,47.9,60.0
1784031060736,2026-07-14T12:11:00.736100+00:00,2.36,47.3,61.0
1784031061736,2026-07-14T12:11:01.736165+00:00,2.45,43.0,62.0
1784031062736,2026-07-14T12:11:02.736309+00:00,2.28,50.4,62.0
1784031063736,2026-07-14T12:11:03.736462+00:00,2.38,50.9,62.0
1784031064736,2026-07-14T12:11:04.736635+00:00,2.24,47.7,62.0
1784031065736,2026-07-14T12:11:05.736790+00:00,0.89,1.3,59.0
1784031066737,2026-07-14T12:11:06.737011+00:00,0.89,1.3,59.0
1784031067737,2026-07-14T12:11:07.737113+00:00,1.66,22.8,62.0
1784031068737,2026-07-14T12:11:08.737665+00:00,2.9,54.0,65.0
1784031069737,2026-07-14T12:11:09.737754+00:00,2.5,50.6,65.0
1784031070738,2026-07-14T12:11:10.738010+00:00,2.31,51.2,65.0
1784031071738,2026-07-14T12:11:11.738122+00:00,2.24,47.7,62.0
1784031072738,2026-07-14T12:11:12.738244+00:00,2.31,48.8,62.0
1784031073738,2026-07-14T12:11:13.738409+00:00,2.26,48.5,61.0
1784031074738,2026-07-14T12:11:14.738492+00:00,2.3,49.4,61.0
1784031075738,2026-07-14T12:11:15.738621+00:00,2.31,49.5,61.0
1784031076738,2026-07-14T12:11:16.738728+00:00,2.36,48.9,61.0
1784031077738,2026-07-14T12:11:17.738860+00:00,2.35,50.1,63.0
1784031078738,2026-07-14T12:11:18.738962+00:00,2.36,47.4,63.0
1784031079739,2026-07-14T12:11:19.739319+00:00,2.31,50.5,63.0
1784031080739,2026-07-14T12:11:20.739421+00:00,2.33,48.3,63.0
1784031081739,2026-07-14T12:11:21.739545+00:00,2.31,48.2,60.0
1784031082739,2026-07-14T12:11:22.739609+00:00,2.26,48.1,62.0
1784031083742,2026-07-14T12:11:23.742281+00:00,2.35,49.9,61.0
1784031084742,2026-07-14T12:11:24.742408+00:00,2.36,51.2,61.0
1784031085742,2026-07-14T12:11:25.742794+00:00,2.29,48.7,62.0
1784031086742,2026-07-14T12:11:26.742959+00:00,2.38,48.3,62.0
1784031087743,2026-07-14T12:11:27.743064+00:00,2.36,48.3,62.0
1784031088743,2026-07-14T12:11:28.743188+00:00,2.33,49.9,62.0
1784031089743,2026-07-14T12:11:29.743271+00:00,2.47,47.4,62.0
1784031090743,2026-07-14T12:11:30.743409+00:00,2.34,50.0,62.0
1784031091745,2026-07-14T12:11:31.745290+00:00,2.32,46.7,63.0
1784031092745,2026-07-14T12:11:32.745431+00:00,2.3,50.5,61.0
1784031093745,2026-07-14T12:11:33.745536+00:00,2.33,52.1,63.0
1784031094745,2026-07-14T12:11:34.745676+00:00,2.35,47.9,63.0
1784031095747,2026-07-14T12:11:35.747303+00:00,2.33,49.9,63.0
1784031096747,2026-07-14T12:11:36.747378+00:00,2.44,49.9,63.0
1784031097747,2026-07-14T12:11:37.747587+00:00,2.48,49.4,63.0
1784031098747,2026-07-14T12:11:38.747720+00:00,2.47,47.2,63.0
1784031099747,2026-07-14T12:11:39.747729+00:00,2.43,50.6,63.0
1784031100747,2026-07-14T12:11:40.747845+00:00,2.26,48.1,63.0
1784031101747,2026-07-14T12:11:41.747953+00:00,2.39,49.1,61.0
1784031102748,2026-07-14T12:11:42.748159+00:00,2.22,45.7,62.0
1784031103748,2026-07-14T12:11:43.748274+00:00,2.29,46.5,62.0
1784031104748,2026-07-14T12:11:44.748425+00:00,2.24,50.1,61.0
1784031105748,2026-07-14T12:11:45.748501+00:00,2.39,46.5,61.0
1784031106748,2026-07-14T12:11:46.748670+00:00,2.24,48.3,63.0
1784031107748,2026-07-14T12:11:47.748804+00:00,2.3,48.6,63.0
1784031108748,2026-07-14T12:11:48.748878+00:00,2.28,50.6,65.0
1784031109748,2026-07-14T12:11:49.748971+00:00,2.41,46.4,62.0
1784031110749,2026-07-14T12:11:50.749076+00:00,2.34,51.1,62.0
1784031111749,2026-07-14T12:11:51.749198+00:00,2.4,47.7,63.0
1784031112750,2026-07-14T12:11:52.750278+00:00,2.36,49.7,64.0
1784031113750,2026-07-14T12:11:53.750422+00:00,2.27,48.6,64.0
1784031114750,2026-07-14T12:11:54.750641+00:00,2.3,49.4,62.0
1784031115750,2026-07-14T12:11:55.750785+00:00,2.36,49.7,62.0
1784031116750,2026-07-14T12:11:56.750913+00:00,2.29,49.1,63.0
1784031117753,2026-07-14T12:11:57.753316+00:00,2.31,49.2,64.0
1784031118753,2026-07-14T12:11:58.753392+00:00,2.39,49.4,64.0
1784031119753,2026-07-14T12:11:59.753496+00:00,2.29,49.2,62.0
1784031120753,2026-07-14T12:12:00.753582+00:00,2.26,49.7,62.0
1784031121753,2026-07-14T12:12:01.753707+00:00,2.38,49.7,62.0
1784031122753,2026-07-14T12:12:02.753858+00:00,2.26,47.7,63.0
1784031123754,2026-07-14T12:12:03.754006+00:00,2.34,49.5,63.0
1784031124754,2026-07-14T12:12:04.754154+00:00,2.3,49.2,62.0
1784031125754,2026-07-14T12:12:05.754310+00:00,2.35,51.7,62.0
1784031126754,2026-07-14T12:12:06.754409+00:00,2.24,48.3,65.0
1784031127756,2026-07-14T12:12:07.756291+00:00,2.31,48.8,65.0
1784031128756,2026-07-14T12:12:08.756405+00:00,2.25,49.1,65.0
1784031129756,2026-07-14T12:12:09.756521+00:00,2.38,49.2,65.0
1784031130756,2026-07-14T12:12:10.756626+00:00,2.37,50.5,63.0
1784031131756,2026-07-14T12:12:11.756671+00:00,2.34,49.2,63.0
1784031132756,2026-07-14T12:12:12.756792+00:00,2.34,48.4,63.0
1784031133756,2026-07-14T12:12:13.756914+00:00,2.43,48.5,62.0
1784031134757,2026-07-14T12:12:14.757004+00:00,2.27,48.7,63.0
1784031135757,2026-07-14T12:12:15.757126+00:00,2.22,49.9,63.0
1784031136757,2026-07-14T12:12:16.757448+00:00,2.31,48.6,62.0
1784031137757,2026-07-14T12:12:17.757605+00:00,2.3,49.1,62.0
1784031138757,2026-07-14T12:12:18.757706+00:00,2.33,49.7,63.0
1784031139757,2026-07-14T12:12:19.757836+00:00,2.32,51.3,63.0
1784031140757,2026-07-14T12:12:20.757945+00:00,2.22,47.9,65.0
1784031141759,2026-07-14T12:12:21.759287+00:00,2.23,47.7,63.0
1784031142759,2026-07-14T12:12:22.759358+00:00,2.35,50.0,63.0
1784031143759,2026-07-14T12:12:23.759499+00:00,2.28,50.5,63.0
1784031144759,2026-07-14T12:12:24.759648+00:00,2.23,48.3,63.0
1784031145762,2026-07-14T12:12:25.762305+00:00,2.36,47.9,63.0
1784031146765,2026-07-14T12:12:26.765322+00:00,2.24,51.3,63.0
1784031147765,2026-07-14T12:12:27.765472+00:00,1.03,6.8,63.0
1784031148765,2026-07-14T12:12:28.765571+00:00,0.9,1.3,59.0
1784031149765,2026-07-14T12:12:29.765669+00:00,1.43,12.7,66.0
1784031150765,2026-07-14T12:12:30.765824+00:00,2.91,55.0,66.0
1784031151765,2026-07-14T12:12:31.765934+00:00,2.56,49.4,63.0
1784031152767,2026-07-14T12:12:32.767291+00:00,2.32,49.9,63.0
1784031153767,2026-07-14T12:12:33.767396+00:00,2.35,49.6,65.0
1784031154767,2026-07-14T12:12:34.767669+00:00,2.31,49.0,65.0
1784031155769,2026-07-14T12:12:35.769294+00:00,2.3,49.0,65.0
1784031156772,2026-07-14T12:12:36.772293+00:00,2.37,48.2,65.0
1784031157772,2026-07-14T12:12:37.772383+00:00,2.39,47.7,65.0
1784031158772,2026-07-14T12:12:38.772482+00:00,2.28,48.3,62.0
1784031159772,2026-07-14T12:12:39.772594+00:00,2.51,47.4,62.0
1784031160775,2026-07-14T12:12:40.775305+00:00,2.33,50.4,64.0
1784031161775,2026-07-14T12:12:41.775385+00:00,2.53,47.2,65.0
1784031162775,2026-07-14T12:12:42.775486+00:00,2.46,50.8,65.0
1784031163775,2026-07-14T12:12:43.775585+00:00,2.34,47.4,65.0
1784031164777,2026-07-14T12:12:44.777297+00:00,2.44,44.7,65.0
1784031165777,2026-07-14T12:12:45.777398+00:00,2.31,48.5,63.0
1784031166778,2026-07-14T12:12:46.778286+00:00,2.32,50.3,63.0
1784031167780,2026-07-14T12:12:47.780287+00:00,2.33,50.5,63.0
1784031168780,2026-07-14T12:12:48.780493+00:00,2.63,48.0,63.0
1784031169780,2026-07-14T12:12:49.780589+00:00,2.35,49.4,63.0
1784031170780,2026-07-14T12:12:50.780688+00:00,2.26,49.0,63.0
1784031171780,2026-07-14T12:12:51.780778+00:00,2.33,48.1,64.0
1784031172780,2026-07-14T12:12:52.780902+00:00,2.38,51.2,64.0
1784031173781,2026-07-14T12:12:53.781030+00:00,2.34,50.0,63.0
1784031174781,2026-07-14T12:12:54.781164+00:00,2.44,47.9,63.0
1784031175781,2026-07-14T12:12:55.781219+00:00,2.32,48.6,63.0
1784031176782,2026-07-14T12:12:56.782285+00:00,2.28,49.2,63.0
1784031177784,2026-07-14T12:12:57.784328+00:00,2.4,49.2,63.0
1784031178784,2026-07-14T12:12:58.784422+00:00,2.41,46.7,63.0
1784031179784,2026-07-14T12:12:59.784516+00:00,2.52,51.3,63.0
1784031180786,2026-07-14T12:13:00.786281+00:00,2.41,48.6,66.0
1784031181786,2026-07-14T12:13:01.786393+00:00,2.43,49.2,66.0
1784031182786,2026-07-14T12:13:02.786470+00:00,2.42,49.6,66.0
1784031183786,2026-07-14T12:13:03.786697+00:00,2.24,47.2,63.0
1784031184787,2026-07-14T12:13:04.787296+00:00,2.35,49.4,63.0
1784031185787,2026-07-14T12:13:05.787386+00:00,2.37,50.9,63.0
1784031186790,2026-07-14T12:13:06.790284+00:00,2.37,48.7,63.0
1784031187790,2026-07-14T12:13:07.790773+00:00,2.42,49.7,65.0
1784031188793,2026-07-14T12:13:08.793284+00:00,2.41,48.1,65.0
1784031189796,2026-07-14T12:13:09.796284+00:00,2.39,50.3,63.0
1784031190796,2026-07-14T12:13:10.796388+00:00,2.33,48.8,63.0
1784031191798,2026-07-14T12:13:11.798503+00:00,2.37,51.1,66.0
1784031192798,2026-07-14T12:13:12.798761+00:00,2.41,49.6,66.0
1784031193798,2026-07-14T12:13:13.798836+00:00,2.34,49.9,66.0
1784031194798,2026-07-14T12:13:14.798994+00:00,2.49,48.6,66.0
1784031195799,2026-07-14T12:13:15.799096+00:00,2.38,50.1,66.0
1784031196799,2026-07-14T12:13:16.799197+00:00,2.32,46.8,64.0
1784031197799,2026-07-14T12:13:17.799350+00:00,2.45,47.5,64.0
1784031198799,2026-07-14T12:13:18.799438+00:00,2.42,49.4,65.0
1784031199799,2026-07-14T12:13:19.799545+00:00,2.38,49.0,65.0
1784031200799,2026-07-14T12:13:20.799719+00:00,2.28,50.1,63.0
1784031201799,2026-07-14T12:13:21.799824+00:00,2.36,46.8,63.0
1784031202799,2026-07-14T12:13:22.799910+00:00,2.36,49.2,66.0
1784031203800,2026-07-14T12:13:23.800076+00:00,2.34,43.1,63.0
1784031204800,2026-07-14T12:13:24.800392+00:00,2.32,34.1,63.0
1784031205800,2026-07-14T12:13:25.800494+00:00,1.83,30.8,64.0
1784031206800,2026-07-14T12:13:26.800646+00:00,1.83,33.8,64.0
1784031207800,2026-07-14T12:13:27.800874+00:00,2.25,44.6,64.0
1784031208800,2026-07-14T12:13:28.800997+00:00,2.31,44.0,63.0
1784031209802,2026-07-14T12:13:29.802290+00:00,2.3,50.1,65.0
1784031210802,2026-07-14T12:13:30.802388+00:00,2.28,49.6,65.0
1784031211802,2026-07-14T12:13:31.802484+00:00,2.32,50.0,65.0
