timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1780232894780,2026-05-31T13:08:14.780118+00:00,0.001,0.0018
1780232895780,2026-05-31T13:08:15.780190+00:00,0.0,0.0
1780232896780,2026-05-31T13:08:16.780345+00:00,0.0,0.0
1780232897780,2026-05-31T13:08:17.780556+00:00,0.019,7.2058
1780232898780,2026-05-31T13:08:18.780656+00:00,0.0226,9.6078
1780232899780,2026-05-31T13:08:19.780950+00:00,0.0286,12.0095
1780232900782,2026-05-31T13:08:20.782818+00:00,0.022,9.608
1780232901783,2026-05-31T13:08:21.783078+00:00,0.0282,12.0095
1780232902783,2026-05-31T13:08:22.783371+00:00,0.024,9.6078
1780232903783,2026-05-31T13:08:23.783461+00:00,0.0255,9.608
1780232904783,2026-05-31T13:08:24.783585+00:00,0.0267,12.0095
1780232905783,2026-05-31T13:08:25.783721+00:00,0.0255,9.6079
1780232906784,2026-05-31T13:08:26.784016+00:00,0.0269,12.0095
1780232907784,2026-05-31T13:08:27.784198+00:00,0.0258,9.6079
1780232908785,2026-05-31T13:08:28.785811+00:00,0.0236,9.6078
1780232909786,2026-05-31T13:08:29.786102+00:00,0.0274,12.0095
1780232910786,2026-05-31T13:08:30.786515+00:00,0.0245,9.608
1780232911786,2026-05-31T13:08:31.786747+00:00,0.0271,12.0095
1780232912787,2026-05-31T13:08:32.787011+00:00,0.0254,9.6078
1780232913789,2026-05-31T13:08:33.789808+00:00,0.0238,9.9257
1780232914789,2026-05-31T13:08:34.789980+00:00,0.0277,11.6918
1780232915791,2026-05-31T13:08:35.791855+00:00,0.0255,9.608
1780232916792,2026-05-31T13:08:36.792188+00:00,0.0275,12.0095
1780232917792,2026-05-31T13:08:37.792284+00:00,0.023,9.6078
1780232918792,2026-05-31T13:08:38.792406+00:00,0.025,9.608
1780232919793,2026-05-31T13:08:39.793826+00:00,0.0241,9.6077
1780232920793,2026-05-31T13:08:40.793947+00:00,0.0273,12.0095
1780232921794,2026-05-31T13:08:41.794046+00:00,0.0256,9.6079
1780232922794,2026-05-31T13:08:42.794321+00:00,0.0263,12.0094
1780232923794,2026-05-31T13:08:43.794589+00:00,0.0248,9.608
1780232924794,2026-05-31T13:08:44.794669+00:00,0.0263,12.0096
1780232925794,2026-05-31T13:08:45.794835+00:00,0.0229,9.6078
1780232926797,2026-05-31T13:08:46.797816+00:00,0.0246,9.608
1780232927798,2026-05-31T13:08:47.798103+00:00,0.0268,12.0095
1780232928798,2026-05-31T13:08:48.798206+00:00,0.0266,12.0097
1780232929798,2026-05-31T13:08:49.798377+00:00,0.0244,9.6078
1780232930798,2026-05-31T13:08:50.798646+00:00,0.0244,9.6078
1780232931798,2026-05-31T13:08:51.798724+00:00,0.0246,10.5177
1780232932798,2026-05-31T13:08:52.798878+00:00,0.0277,11.0998
1780232933798,2026-05-31T13:08:53.798968+00:00,0.0233,9.6078
1780232934799,2026-05-31T13:08:54.799080+00:00,0.0255,9.6079
1780232935799,2026-05-31T13:08:55.799381+00:00,0.0267,12.0095
1780232936801,2026-05-31T13:08:56.801808+00:00,0.0249,9.608
1780232937802,2026-05-31T13:08:57.802083+00:00,0.0266,12.0095
1780232938802,2026-05-31T13:08:58.802366+00:00,0.0242,9.608
1780232939802,2026-05-31T13:08:59.802415+00:00,0.0243,11.6293
1780232940802,2026-05-31T13:09:00.802539+00:00,0.0242,9.9881
1780232941802,2026-05-31T13:09:01.802857+00:00,0.0253,9.6078
1780232942802,2026-05-31T13:09:02.802947+00:00,0.0245,9.608
1780232943803,2026-05-31T13:09:03.803076+00:00,0.025,12.0095
1780232944803,2026-05-31T13:09:04.803196+00:00,0.0233,9.6078
1780232945803,2026-05-31T13:09:05.803450+00:00,0.0288,12.0097
1780232946804,2026-05-31T13:09:06.804836+00:00,0.024,9.608
1780232947805,2026-05-31T13:09:07.805021+00:00,0.0272,12.0095
1780232948806,2026-05-31T13:09:08.806819+00:00,0.0252,9.608
1780232949806,2026-05-31T13:09:09.806929+00:00,0.0277,12.0095
1780232950807,2026-05-31T13:09:10.807051+00:00,0.0245,9.608
1780232951807,2026-05-31T13:09:11.807155+00:00,0.0253,11.4127
1780232952807,2026-05-31T13:09:12.807270+00:00,0.0262,10.2046
1780232953807,2026-05-31T13:09:13.807358+00:00,0.026,9.6079
1780232954807,2026-05-31T13:09:14.807638+00:00,0.0278,12.0095
1780232955807,2026-05-31T13:09:15.807825+00:00,0.0232,9.6078
1780232956808,2026-05-31T13:09:16.808808+00:00,0.0245,9.608
1780232957808,2026-05-31T13:09:17.808901+00:00,0.0228,9.6222
1780232958809,2026-05-31T13:09:18.809185+00:00,0.0279,11.9951
1780232959809,2026-05-31T13:09:19.809272+00:00,0.0248,9.608
1780232960809,2026-05-31T13:09:20.809393+00:00,0.0262,12.0095
1780232961809,2026-05-31T13:09:21.809671+00:00,0.0224,9.6078
1780232962809,2026-05-31T13:09:22.809782+00:00,0.0253,11.2829
1780232963809,2026-05-31T13:09:23.809901+00:00,0.0258,10.3348
1780232964809,2026-05-31T13:09:24.809988+00:00,0.0252,9.608
1780232965810,2026-05-31T13:09:25.810277+00:00,0.0268,12.0094
1780232966810,2026-05-31T13:09:26.810382+00:00,0.0254,10.8498
1780232967810,2026-05-31T13:09:27.810519+00:00,0.029,10.7677
1780232968810,2026-05-31T13:09:28.810628+00:00,0.0248,11.2827
1780232969810,2026-05-31T13:09:29.810770+00:00,0.027,10.3348
1780232970813,2026-05-31T13:09:30.813810+00:00,0.0237,9.6078
1780232971814,2026-05-31T13:09:31.814082+00:00,0.0273,12.0095
1780232972814,2026-05-31T13:09:32.814188+00:00,0.0254,9.608
1780232973814,2026-05-31T13:09:33.814306+00:00,0.0277,12.0095
1780232974814,2026-05-31T13:09:34.814482+00:00,0.0243,9.6078
1780232975815,2026-05-31T13:09:35.815817+00:00,0.0251,9.6079
1780232976815,2026-05-31T13:09:36.815989+00:00,0.0179,7.2058
1780232977816,2026-05-31T13:09:37.816103+00:00,0.0,0.0
1780232978816,2026-05-31T13:09:38.816248+00:00,0.0,0.0
1780232979816,2026-05-31T13:09:39.816367+00:00,0.0175,7.2057
1780232980816,2026-05-31T13:09:40.816472+00:00,0.0245,9.6078
1780232981816,2026-05-31T13:09:41.816553+00:00,0.0255,9.608
1780232982816,2026-05-31T13:09:42.816841+00:00,0.027,12.0095
1780232983816,2026-05-31T13:09:43.816947+00:00,0.0247,9.608
1780232984817,2026-05-31T13:09:44.817045+00:00,0.0281,12.0095
1780232985817,2026-05-31T13:09:45.817313+00:00,0.0239,9.6078
1780232986817,2026-05-31T13:09:46.817428+00:00,0.0276,11.9977
1780232987819,2026-05-31T13:09:47.819814+00:00,0.0263,9.6201
1780232988820,2026-05-31T13:09:48.820157+00:00,0.0261,12.0095
1780232989820,2026-05-31T13:09:49.820316+00:00,0.0252,9.608
1780232990820,2026-05-31T13:09:50.820396+00:00,0.0271,12.0095
1780232991820,2026-05-31T13:09:51.820507+00:00,0.0242,9.6077
1780232992820,2026-05-31T13:09:52.820747+00:00,0.0255,11.68
1780232993820,2026-05-31T13:09:53.820933+00:00,0.0267,9.9375
1780232994821,2026-05-31T13:09:54.821016+00:00,0.0257,9.608
1780232995821,2026-05-31T13:09:55.821099+00:00,0.025,11.2726
1780232996821,2026-05-31T13:09:56.821229+00:00,0.0267,10.3447
1780232997823,2026-05-31T13:09:57.823813+00:00,0.0251,9.6079
1780232998823,2026-05-31T13:09:58.823990+00:00,0.026,12.0095
1780232999824,2026-05-31T13:09:59.824120+00:00,0.025,9.608
1780233000824,2026-05-31T13:10:00.824228+00:00,0.0248,12.0095
1780233001824,2026-05-31T13:10:01.824461+00:00,0.0254,9.6077
1780233002826,2026-05-31T13:10:02.826847+00:00,0.0249,9.6079
1780233003827,2026-05-31T13:10:03.827028+00:00,0.0267,12.0095
1780233004827,2026-05-31T13:10:04.827175+00:00,0.0242,9.6079
1780233005827,2026-05-31T13:10:05.827279+00:00,0.0273,12.01
1780233006827,2026-05-31T13:10:06.827458+00:00,0.024,9.6077
1780233007827,2026-05-31T13:10:07.827543+00:00,0.0255,9.6079
1780233008827,2026-05-31T13:10:08.827682+00:00,0.0271,12.0095
1780233009827,2026-05-31T13:10:09.827985+00:00,0.023,9.6078
1780233010828,2026-05-31T13:10:10.828074+00:00,0.0247,9.608
1780233011828,2026-05-31T13:10:11.828345+00:00,0.028,12.0095
1780233012828,2026-05-31T13:10:12.828434+00:00,0.0251,9.608
1780233013828,2026-05-31T13:10:13.828604+00:00,0.0274,12.0095
1780233014828,2026-05-31T13:10:14.828731+00:00,0.0239,9.608
1780233015829,2026-05-31T13:10:15.829020+00:00,0.0058,2.4019
