timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1780235408930,2026-05-31T13:50:08.930577+00:00,0.001,0.0018
1780235409930,2026-05-31T13:50:09.930661+00:00,0.0297,12.0097
1780235410930,2026-05-31T13:50:10.930846+00:00,0.0449,19.2149
1780235411930,2026-05-31T13:50:11.930929+00:00,0.0407,16.8132
1780235412931,2026-05-31T13:50:12.931044+00:00,0.0373,16.2452
1780235413931,2026-05-31T13:50:13.931123+00:00,0.0409,16.5677
1780235414931,2026-05-31T13:50:14.931245+00:00,0.0421,17.6266
1780235415931,2026-05-31T13:50:15.931359+00:00,0.0386,14.4114
1780235416932,2026-05-31T13:50:16.932252+00:00,0.0402,16.8132
1780235417932,2026-05-31T13:50:17.932344+00:00,0.0402,16.8132
1780235418932,2026-05-31T13:50:18.932640+00:00,0.0462,19.2151
1780235419932,2026-05-31T13:50:19.932755+00:00,0.0406,16.8132
1780235420932,2026-05-31T13:50:20.932836+00:00,0.04,16.8132
1780235421932,2026-05-31T13:50:21.932932+00:00,0.0408,16.8132
1780235422933,2026-05-31T13:50:22.933038+00:00,0.0406,16.8132
1780235423933,2026-05-31T13:50:23.933141+00:00,0.0385,17.3475
1780235424934,2026-05-31T13:50:24.934814+00:00,0.0413,16.2789
1780235425934,2026-05-31T13:50:25.934908+00:00,0.0399,16.8132
1780235426935,2026-05-31T13:50:26.935269+00:00,0.0396,16.8132
1780235427935,2026-05-31T13:50:27.935835+00:00,0.0409,16.8132
1780235428936,2026-05-31T13:50:28.936896+00:00,0.0401,16.8132
1780235429939,2026-05-31T13:50:29.939818+00:00,0.0402,16.8132
1780235430942,2026-05-31T13:50:30.942806+00:00,0.0391,16.8132
1780235431944,2026-05-31T13:50:31.944860+00:00,0.0403,16.8132
1780235432944,2026-05-31T13:50:32.944959+00:00,0.0411,16.8133
1780235433945,2026-05-31T13:50:33.945044+00:00,0.04,16.8132
1780235434945,2026-05-31T13:50:34.945154+00:00,0.0401,16.8132
1780235435945,2026-05-31T13:50:35.945257+00:00,0.0397,16.8132
1780235436945,2026-05-31T13:50:36.945342+00:00,0.0409,16.8132
1780235437945,2026-05-31T13:50:37.945812+00:00,0.0395,16.8132
1780235438947,2026-05-31T13:50:38.947835+00:00,0.0393,16.8132
1780235439948,2026-05-31T13:50:39.948023+00:00,0.0394,16.8132
1780235440949,2026-05-31T13:50:40.949060+00:00,0.0389,16.8132
1780235441949,2026-05-31T13:50:41.949162+00:00,0.0398,16.8133
1780235442949,2026-05-31T13:50:42.949346+00:00,0.0116,4.8039
1780235443949,2026-05-31T13:50:43.949500+00:00,0.0,0.0
1780235444949,2026-05-31T13:50:44.949587+00:00,0.0072,2.4019
1780235445949,2026-05-31T13:50:45.949667+00:00,0.0349,16.3031
1780235446949,2026-05-31T13:50:46.949779+00:00,0.0402,17.3234
1780235447949,2026-05-31T13:50:47.949876+00:00,0.0419,16.8133
1780235448949,2026-05-31T13:50:48.949977+00:00,0.0386,16.8132
1780235449952,2026-05-31T13:50:49.952816+00:00,0.0397,16.8132
1780235450952,2026-05-31T13:50:50.952943+00:00,0.0398,16.8132
1780235451953,2026-05-31T13:50:51.953040+00:00,0.039,16.8132
1780235452953,2026-05-31T13:50:52.953135+00:00,0.0403,16.8132
1780235453953,2026-05-31T13:50:53.953227+00:00,0.0396,16.8132
1780235454953,2026-05-31T13:50:54.953305+00:00,0.0406,18.8491
1780235455953,2026-05-31T13:50:55.953459+00:00,0.0439,17.1791
1780235456953,2026-05-31T13:50:56.953749+00:00,0.0395,16.8132
1780235457953,2026-05-31T13:50:57.953819+00:00,0.0393,16.8132
