timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1789647584930,2026-09-17T12:19:44.930058+00:00,0.0007,0.0014
1789647585930,2026-09-17T12:19:45.930183+00:00,0.0155,7.207
1789647586930,2026-09-17T12:19:46.930433+00:00,0.0186,7.2074
1789647587930,2026-09-17T12:19:47.930690+00:00,0.0162,6.3188
1789647588930,2026-09-17T12:19:48.930977+00:00,0.0185,5.6994
1789647589931,2026-09-17T12:19:49.931115+00:00,0.0187,7.208
1789647590931,2026-09-17T12:19:50.931203+00:00,0.0246,9.6094
1789647591931,2026-09-17T12:19:51.931476+00:00,0.0224,9.6086
1789647592932,2026-09-17T12:19:52.932677+00:00,0.0244,9.6095
1789647593932,2026-09-17T12:19:53.932758+00:00,0.0231,9.6094
1789647594932,2026-09-17T12:19:54.932848+00:00,0.0271,12.0098
1789647595933,2026-09-17T12:19:55.933116+00:00,0.0242,9.6081
1789647596933,2026-09-17T12:19:56.933429+00:00,0.0241,9.608
1789647597933,2026-09-17T12:19:57.933518+00:00,0.0224,9.608
1789647598933,2026-09-17T12:19:58.933633+00:00,0.023,9.608
1789647599933,2026-09-17T12:19:59.933724+00:00,0.0248,9.6082
1789647600933,2026-09-17T12:20:00.933814+00:00,0.0229,9.608
1789647601935,2026-09-17T12:20:01.935647+00:00,0.0218,10.0701
1789647602935,2026-09-17T12:20:02.935725+00:00,0.0235,11.5477
1789647603935,2026-09-17T12:20:03.935813+00:00,0.0238,9.608
1789647604936,2026-09-17T12:20:04.936037+00:00,0.0232,9.608
1789647605936,2026-09-17T12:20:05.936328+00:00,0.0234,9.608
1789647606936,2026-09-17T12:20:06.936461+00:00,0.0228,9.608
1789647607936,2026-09-17T12:20:07.936551+00:00,0.0236,9.6082
1789647608938,2026-09-17T12:20:08.938660+00:00,0.022,9.608
1789647609938,2026-09-17T12:20:09.938747+00:00,0.0236,9.608
1789647610938,2026-09-17T12:20:10.938831+00:00,0.0229,10.8354
1789647611939,2026-09-17T12:20:11.939073+00:00,0.0272,10.7825
1789647612939,2026-09-17T12:20:12.939353+00:00,0.0237,9.608
1789647613939,2026-09-17T12:20:13.939645+00:00,0.0235,9.608
1789647614939,2026-09-17T12:20:14.939742+00:00,0.0248,9.6082
1789647615939,2026-09-17T12:20:15.939855+00:00,0.0231,9.608
1789647616939,2026-09-17T12:20:16.939944+00:00,0.022,9.608
1789647617940,2026-09-17T12:20:17.940084+00:00,0.0237,12.0098
1789647618940,2026-09-17T12:20:18.940394+00:00,0.0229,9.608
1789647619940,2026-09-17T12:20:19.940516+00:00,0.0232,9.608
1789647620940,2026-09-17T12:20:20.940773+00:00,0.0224,9.608
1789647621941,2026-09-17T12:20:21.941046+00:00,0.0221,9.608
1789647622941,2026-09-17T12:20:22.941137+00:00,0.0237,9.6082
1789647623943,2026-09-17T12:20:23.943652+00:00,0.022,9.6081
1789647624945,2026-09-17T12:20:24.945666+00:00,0.0221,9.608
1789647625945,2026-09-17T12:20:25.945768+00:00,0.0225,9.608
1789647626945,2026-09-17T12:20:26.945853+00:00,0.0237,9.608
1789647627945,2026-09-17T12:20:27.945937+00:00,0.0255,12.0098
1789647628946,2026-09-17T12:20:28.946188+00:00,0.0219,9.608
1789647629946,2026-09-17T12:20:29.946451+00:00,0.0223,9.608
1789647630946,2026-09-17T12:20:30.946732+00:00,0.0233,9.608
1789647631946,2026-09-17T12:20:31.946870+00:00,0.024,9.608
1789647632946,2026-09-17T12:20:32.946970+00:00,0.0232,9.6082
1789647633947,2026-09-17T12:20:33.947081+00:00,0.023,9.608
1789647634948,2026-09-17T12:20:34.948993+00:00,0.0221,9.608
1789647635950,2026-09-17T12:20:35.950645+00:00,0.0221,9.608
1789647636950,2026-09-17T12:20:36.950903+00:00,0.0273,12.0098
1789647637951,2026-09-17T12:20:37.951076+00:00,0.0234,9.608
1789647638951,2026-09-17T12:20:38.951358+00:00,0.0233,9.608
1789647639951,2026-09-17T12:20:39.951693+00:00,0.0221,9.608
1789647640954,2026-09-17T12:20:40.954663+00:00,0.0246,9.6082
1789647641955,2026-09-17T12:20:41.955666+00:00,0.0227,9.608
1789647642955,2026-09-17T12:20:42.955774+00:00,0.0227,9.608
1789647643955,2026-09-17T12:20:43.955850+00:00,0.0261,12.0098
1789647644955,2026-09-17T12:20:44.955963+00:00,0.0242,9.608
1789647645956,2026-09-17T12:20:45.956229+00:00,0.0222,9.608
1789647646956,2026-09-17T12:20:46.956520+00:00,0.0224,9.6081
1789647647956,2026-09-17T12:20:47.956788+00:00,0.0227,9.608
1789647648956,2026-09-17T12:20:48.956926+00:00,0.0234,9.608
1789647649957,2026-09-17T12:20:49.957189+00:00,0.0233,9.608
1789647650957,2026-09-17T12:20:50.957306+00:00,0.0222,9.608
1789647651959,2026-09-17T12:20:51.959655+00:00,0.0231,9.6082
1789647652960,2026-09-17T12:20:52.960650+00:00,0.0236,9.608
1789647653962,2026-09-17T12:20:53.962669+00:00,0.023,9.608
1789647654962,2026-09-17T12:20:54.962753+00:00,0.023,9.608
1789647655963,2026-09-17T12:20:55.963035+00:00,0.021,9.608
1789647656963,2026-09-17T12:20:56.963111+00:00,0.0229,9.608
1789647657963,2026-09-17T12:20:57.963251+00:00,0.0261,12.0098
1789647658963,2026-09-17T12:20:58.963550+00:00,0.0254,9.608
1789647659963,2026-09-17T12:20:59.963837+00:00,0.0223,9.608
1789647660963,2026-09-17T12:21:00.963959+00:00,0.0224,9.608
1789647661964,2026-09-17T12:21:01.964056+00:00,0.0219,9.608
1789647662964,2026-09-17T12:21:02.964321+00:00,0.0217,9.608
1789647663964,2026-09-17T12:21:03.964601+00:00,0.0222,9.608
1789647664964,2026-09-17T12:21:04.964876+00:00,0.0232,9.608
1789647665964,2026-09-17T12:21:05.964969+00:00,0.0244,9.6081
1789647666965,2026-09-17T12:21:06.965654+00:00,0.0231,9.6082
1789647667967,2026-09-17T12:21:07.967657+00:00,0.0233,9.608
1789647668969,2026-09-17T12:21:08.969659+00:00,0.0233,9.608
1789647669969,2026-09-17T12:21:09.969781+00:00,0.0262,12.0099
1789647670970,2026-09-17T12:21:10.970034+00:00,0.0229,9.608
1789647671970,2026-09-17T12:21:11.970301+00:00,0.0224,9.608
1789647672972,2026-09-17T12:21:12.972663+00:00,0.0247,9.6082
1789647673973,2026-09-17T12:21:13.973652+00:00,0.0222,9.608
1789647674973,2026-09-17T12:21:14.973780+00:00,0.0224,9.608
1789647675973,2026-09-17T12:21:15.973866+00:00,0.0218,9.608
1789647676973,2026-09-17T12:21:16.973938+00:00,0.0239,11.6295
1789647677974,2026-09-17T12:21:17.974036+00:00,0.0255,9.9884
1789647678974,2026-09-17T12:21:18.974133+00:00,0.0225,9.608
1789647679974,2026-09-17T12:21:19.974384+00:00,0.0217,9.608
1789647680974,2026-09-17T12:21:20.974719+00:00,0.023,9.6081
1789647681974,2026-09-17T12:21:21.974830+00:00,0.0228,9.608
1789647682974,2026-09-17T12:21:22.974976+00:00,0.024,9.609
1789647683975,2026-09-17T12:21:23.975134+00:00,0.0223,9.6088
1789647684975,2026-09-17T12:21:24.975390+00:00,0.0237,9.6089
1789647685975,2026-09-17T12:21:25.975517+00:00,0.0242,9.6082
1789647686975,2026-09-17T12:21:26.975632+00:00,0.0222,9.608
1789647687976,2026-09-17T12:21:27.976131+00:00,0.0226,10.5033
1789647688976,2026-09-17T12:21:28.976420+00:00,0.0237,11.1146
1789647689976,2026-09-17T12:21:29.976698+00:00,0.0225,9.608
1789647690976,2026-09-17T12:21:30.976782+00:00,0.0218,9.608
1789647691977,2026-09-17T12:21:31.977025+00:00,0.0231,9.608
1789647692977,2026-09-17T12:21:32.977127+00:00,0.024,9.6083
