timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1788974201404,2026-09-09T17:16:41.404377+00:00,0.0008,0.0011
1788974202404,2026-09-09T17:16:42.404670+00:00,0.0293,12.0102
1788974203406,2026-09-09T17:16:43.406678+00:00,0.0394,16.8138
1788974204408,2026-09-09T17:16:44.408654+00:00,0.033,14.4118
1788974205408,2026-09-09T17:16:45.408734+00:00,0.0411,17.3047
1788974206408,2026-09-09T17:16:46.408988+00:00,0.0436,18.7245
1788974207409,2026-09-09T17:16:47.409651+00:00,0.0351,14.4119
1788974208412,2026-09-09T17:16:48.412655+00:00,0.0397,16.9293
1788974209413,2026-09-09T17:16:49.413657+00:00,0.0392,16.6981
1788974210413,2026-09-09T17:16:50.413764+00:00,0.0395,18.3154
1788974211413,2026-09-09T17:16:51.413856+00:00,0.0398,15.3123
1788974212416,2026-09-09T17:16:52.416680+00:00,0.0403,16.8139
1788974213416,2026-09-09T17:16:53.416813+00:00,0.0393,16.8136
1788974214416,2026-09-09T17:16:54.416892+00:00,0.0379,16.8137
1788974215417,2026-09-09T17:16:55.417000+00:00,0.0428,16.8139
1788974216417,2026-09-09T17:16:56.417109+00:00,0.0382,16.8136
1788974217417,2026-09-09T17:16:57.417245+00:00,0.0389,16.8137
1788974218418,2026-09-09T17:16:58.418674+00:00,0.0409,16.8138
1788974219418,2026-09-09T17:16:59.418774+00:00,0.0396,16.8137
1788974220421,2026-09-09T17:17:00.421687+00:00,0.0394,16.8137
1788974221423,2026-09-09T17:17:01.423698+00:00,0.0394,16.8137
1788974222423,2026-09-09T17:17:02.423789+00:00,0.0404,16.8137
1788974223423,2026-09-09T17:17:03.423904+00:00,0.0397,16.8137
1788974224424,2026-09-09T17:17:04.424013+00:00,0.0394,16.8137
1788974225426,2026-09-09T17:17:05.426664+00:00,0.04,16.8137
1788974226429,2026-09-09T17:17:06.429672+00:00,0.0388,16.8137
1788974227431,2026-09-09T17:17:07.431653+00:00,0.0393,16.8137
1788974228431,2026-09-09T17:17:08.431747+00:00,0.0394,16.8137
1788974229431,2026-09-09T17:17:09.431829+00:00,0.041,19.2155
1788974230431,2026-09-09T17:17:10.431910+00:00,0.0387,16.3756
1788974231432,2026-09-09T17:17:11.432036+00:00,0.0387,14.85
1788974232432,2026-09-09T17:17:12.432117+00:00,0.0403,17.4635
1788974233432,2026-09-09T17:17:13.432226+00:00,0.0395,17.5934
1788974234432,2026-09-09T17:17:14.432361+00:00,0.0451,17.7862
1788974235432,2026-09-09T17:17:15.432479+00:00,0.0402,16.8137
1788974236432,2026-09-09T17:17:16.432597+00:00,0.0391,16.8137
1788974237432,2026-09-09T17:17:17.432697+00:00,0.0397,16.8137
1788974238433,2026-09-09T17:17:18.433401+00:00,0.0404,16.8137
1788974239434,2026-09-09T17:17:19.434677+00:00,0.04,16.8137
1788974240434,2026-09-09T17:17:20.434764+00:00,0.0391,16.8137
1788974241434,2026-09-09T17:17:21.434892+00:00,0.0379,16.8136
1788974242435,2026-09-09T17:17:22.435030+00:00,0.0412,16.8138
1788974243435,2026-09-09T17:17:23.435121+00:00,0.0386,16.8137
1788974244435,2026-09-09T17:17:24.435221+00:00,0.0389,16.8137
1788974245436,2026-09-09T17:17:25.436653+00:00,0.0401,16.8138
1788974246436,2026-09-09T17:17:26.436736+00:00,0.0398,17.7667
1788974247436,2026-09-09T17:17:27.436820+00:00,0.0386,18.2625
1788974248436,2026-09-09T17:17:28.436902+00:00,0.0435,16.8138
1788974249437,2026-09-09T17:17:29.437020+00:00,0.0405,16.8137
