timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1788964437913,2026-09-09T14:33:57.913450+00:00,1.34,9.0,63.0
1788964438913,2026-09-09T14:33:58.913528+00:00,4.5,36.9,63.0
1788964439913,2026-09-09T14:33:59.913627+00:00,4.86,37.8,78.0
1788964440913,2026-09-09T14:34:00.913743+00:00,5.16,40.7,78.0
1788964441913,2026-09-09T14:34:01.913849+00:00,5.28,44.7,79.0
1788964442913,2026-09-09T14:34:02.913974+00:00,4.64,36.0,71.0
1788964443914,2026-09-09T14:34:03.914108+00:00,5.35,43.1,71.0
1788964444915,2026-09-09T14:34:04.915652+00:00,4.76,41.1,83.0
1788964445915,2026-09-09T14:34:05.915941+00:00,5.04,42.3,83.0
1788964446917,2026-09-09T14:34:06.917659+00:00,5.15,42.0,84.0
1788964447917,2026-09-09T14:34:07.917919+00:00,4.8,39.2,68.0
1788964448918,2026-09-09T14:34:08.918210+00:00,5.44,42.4,70.0
1788964449919,2026-09-09T14:34:09.919109+00:00,5.18,41.3,70.0
1788964450919,2026-09-09T14:34:10.919234+00:00,4.7,37.8,69.0
1788964451919,2026-09-09T14:34:11.919318+00:00,5.07,48.9,69.0
1788964452920,2026-09-09T14:34:12.920684+00:00,4.83,37.2,77.0
1788964453920,2026-09-09T14:34:13.920812+00:00,5.12,46.1,76.0
1788964454920,2026-09-09T14:34:14.920916+00:00,4.98,39.9,83.0
1788964455921,2026-09-09T14:34:15.921209+00:00,5.02,38.5,83.0
1788964456921,2026-09-09T14:34:16.921318+00:00,5.36,42.3,69.0
1788964457921,2026-09-09T14:34:17.921418+00:00,4.82,43.1,82.0
1788964458921,2026-09-09T14:34:18.921684+00:00,5.27,41.2,82.0
1788964459921,2026-09-09T14:34:19.921797+00:00,4.94,44.2,87.0
1788964460921,2026-09-09T14:34:20.921933+00:00,4.72,40.2,87.0
1788964461922,2026-09-09T14:34:21.922192+00:00,5.54,43.1,77.0
1788964462922,2026-09-09T14:34:22.922288+00:00,4.95,38.6,85.0
1788964463922,2026-09-09T14:34:23.922573+00:00,4.87,41.6,85.0
1788964464924,2026-09-09T14:34:24.924673+00:00,5.09,44.7,83.0
1788964465924,2026-09-09T14:34:25.924974+00:00,4.91,40.2,68.0
1788964466925,2026-09-09T14:34:26.925042+00:00,5.38,43.9,68.0
1788964467925,2026-09-09T14:34:27.925140+00:00,4.76,37.0,77.0
1788964468925,2026-09-09T14:34:28.925428+00:00,5.33,41.4,77.0
1788964469925,2026-09-09T14:34:29.925509+00:00,5.06,44.9,87.0
1788964470925,2026-09-09T14:34:30.925675+00:00,5.05,39.9,87.0
1788964471925,2026-09-09T14:34:31.925751+00:00,5.48,43.2,78.0
1788964472926,2026-09-09T14:34:32.926664+00:00,4.76,37.8,70.0
1788964473926,2026-09-09T14:34:33.926764+00:00,5.16,47.7,70.0
1788964474926,2026-09-09T14:34:34.926904+00:00,4.69,38.7,68.0
1788964475927,2026-09-09T14:34:35.927165+00:00,5.45,42.6,73.0
1788964476929,2026-09-09T14:34:36.929665+00:00,4.92,38.9,82.0
1788964477929,2026-09-09T14:34:37.929817+00:00,5.19,41.2,69.0
1788964478932,2026-09-09T14:34:38.932658+00:00,5.33,43.4,85.0
1788964479932,2026-09-09T14:34:39.932937+00:00,4.92,41.0,69.0
1788964480933,2026-09-09T14:34:40.933652+00:00,5.1,42.5,88.0
1788964481933,2026-09-09T14:34:41.933740+00:00,4.82,40.9,88.0
1788964482933,2026-09-09T14:34:42.933833+00:00,5.45,44.9,82.0
1788964483934,2026-09-09T14:34:43.934085+00:00,4.66,37.3,67.0
1788964484934,2026-09-09T14:34:44.934239+00:00,5.44,44.2,67.0
1788964485935,2026-09-09T14:34:45.935656+00:00,4.53,42.4,78.0
1788964486935,2026-09-09T14:34:46.935779+00:00,5.33,43.0,70.0
1788964487935,2026-09-09T14:34:47.935863+00:00,5.3,41.3,70.0
1788964488936,2026-09-09T14:34:48.936001+00:00,4.71,38.3,69.0
1788964489937,2026-09-09T14:34:49.937656+00:00,5.15,46.9,88.0
1788964490937,2026-09-09T14:34:50.937954+00:00,4.78,37.0,88.0
1788964491938,2026-09-09T14:34:51.938022+00:00,5.54,44.7,73.0
1788964492938,2026-09-09T14:34:52.938118+00:00,4.94,39.9,73.0
1788964493938,2026-09-09T14:34:53.938409+00:00,5.1,40.6,68.0
1788964494938,2026-09-09T14:34:54.938514+00:00,5.55,45.5,68.0
1788964495939,2026-09-09T14:34:55.939683+00:00,4.98,38.1,78.0
1788964496939,2026-09-09T14:34:56.939792+00:00,5.17,41.2,68.0
1788964497939,2026-09-09T14:34:57.939911+00:00,5.4,45.2,68.0
1788964498941,2026-09-09T14:34:58.941650+00:00,4.66,36.8,73.0
1788964499941,2026-09-09T14:34:59.941900+00:00,5.44,42.8,71.0
1788964500942,2026-09-09T14:35:00.942017+00:00,5.4,44.6,71.0
1788964501942,2026-09-09T14:35:01.942143+00:00,4.96,39.1,82.0
1788964502942,2026-09-09T14:35:02.942268+00:00,5.34,41.5,82.0
1788964503942,2026-09-09T14:35:03.942536+00:00,5.46,42.5,73.0
1788964504942,2026-09-09T14:35:04.942633+00:00,4.86,40.1,73.0
1788964505942,2026-09-09T14:35:05.942780+00:00,5.24,41.2,69.0
1788964506942,2026-09-09T14:35:06.942898+00:00,5.08,43.6,84.0
1788964507943,2026-09-09T14:35:07.943165+00:00,5.02,38.1,84.0
1788964508944,2026-09-09T14:35:08.944093+00:00,5.26,45.1,85.0
1788964509944,2026-09-09T14:35:09.944236+00:00,4.65,40.1,85.0
