timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1788964437913,2026-09-09T14:33:57.913450+00:00,0.0007,0.001
1788964438913,2026-09-09T14:33:58.913528+00:00,0.0203,9.3142
1788964439913,2026-09-09T14:33:59.913627+00:00,0.0266,9.902
1788964440913,2026-09-09T14:34:00.913743+00:00,0.0258,12.01
1788964441913,2026-09-09T14:34:01.913849+00:00,0.0264,11.5432
1788964442913,2026-09-09T14:34:02.913974+00:00,0.0269,10.0753
1788964443914,2026-09-09T14:34:03.914108+00:00,0.0276,12.01
1788964444915,2026-09-09T14:34:04.915652+00:00,0.0242,9.6083
1788964445915,2026-09-09T14:34:05.915941+00:00,0.0275,12.01
1788964446917,2026-09-09T14:34:06.917659+00:00,0.0244,9.6083
1788964447917,2026-09-09T14:34:07.917919+00:00,0.0268,12.0099
1788964448918,2026-09-09T14:34:08.918210+00:00,0.0281,12.0101
1788964449919,2026-09-09T14:34:09.919109+00:00,0.0241,9.9549
1788964450919,2026-09-09T14:34:10.919234+00:00,0.0261,11.6634
1788964451919,2026-09-09T14:34:11.919318+00:00,0.025,10.3881
1788964452920,2026-09-09T14:34:12.920684+00:00,0.0275,11.2304
1788964453920,2026-09-09T14:34:13.920812+00:00,0.0261,12.01
1788964454920,2026-09-09T14:34:14.920916+00:00,0.0241,9.6083
1788964455921,2026-09-09T14:34:15.921209+00:00,0.0261,12.01
1788964456921,2026-09-09T14:34:16.921318+00:00,0.0285,12.0101
1788964457921,2026-09-09T14:34:17.921418+00:00,0.0249,9.6083
1788964458921,2026-09-09T14:34:18.921684+00:00,0.0278,12.01
1788964459921,2026-09-09T14:34:19.921797+00:00,0.0255,9.6083
1788964460921,2026-09-09T14:34:20.921933+00:00,0.0265,12.01
1788964461922,2026-09-09T14:34:21.922192+00:00,0.0295,12.0102
1788964462922,2026-09-09T14:34:22.922288+00:00,0.0247,9.6083
1788964463922,2026-09-09T14:34:23.922573+00:00,0.0272,12.01
1788964464924,2026-09-09T14:34:24.924673+00:00,0.0247,9.6083
1788964465924,2026-09-09T14:34:25.924974+00:00,0.0275,12.01
1788964466925,2026-09-09T14:34:26.925042+00:00,0.0253,11.8825
1788964467925,2026-09-09T14:34:27.925140+00:00,0.0273,9.736
1788964468925,2026-09-09T14:34:28.925428+00:00,0.0269,12.0099
1788964469925,2026-09-09T14:34:29.925509+00:00,0.0249,9.6083
1788964470925,2026-09-09T14:34:30.925675+00:00,0.0273,12.01
1788964471925,2026-09-09T14:34:31.925751+00:00,0.0277,12.0102
1788964472926,2026-09-09T14:34:32.926664+00:00,0.0262,9.6084
1788964473926,2026-09-09T14:34:33.926764+00:00,0.0255,12.01
1788964474926,2026-09-09T14:34:34.926904+00:00,0.0255,9.6081
1788964475927,2026-09-09T14:34:35.927165+00:00,0.0279,12.0102
