timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1780349798948,2026-06-01T21:36:38.948216+00:00,1.04,6.8,56.0
1780349799948,2026-06-01T21:36:39.948322+00:00,1.75,34.3,56.0
1780349800948,2026-06-01T21:36:40.948455+00:00,1.96,43.3,58.0
1780349801948,2026-06-01T21:36:41.948551+00:00,1.93,42.4,58.0
1780349802948,2026-06-01T21:36:42.948640+00:00,2.06,46.6,59.0
1780349803948,2026-06-01T21:36:43.948823+00:00,1.94,44.8,59.0
1780349804948,2026-06-01T21:36:44.948965+00:00,1.93,44.6,57.0
1780349805949,2026-06-01T21:36:45.949061+00:00,1.97,41.9,58.0
1780349806949,2026-06-01T21:36:46.949208+00:00,1.96,44.1,58.0
1780349807949,2026-06-01T21:36:47.949400+00:00,1.94,41.9,56.0
1780349808949,2026-06-01T21:36:48.949525+00:00,1.86,42.2,56.0
1780349809950,2026-06-01T21:36:49.950836+00:00,1.89,42.9,58.0
1780349810950,2026-06-01T21:36:50.950938+00:00,2.01,42.6,58.0
1780349811951,2026-06-01T21:36:51.951110+00:00,1.95,41.4,57.0
1780349812951,2026-06-01T21:36:52.951219+00:00,1.93,44.3,57.0
1780349813951,2026-06-01T21:36:53.951371+00:00,1.96,44.0,58.0
1780349814951,2026-06-01T21:36:54.951494+00:00,1.94,40.7,58.0
1780349815951,2026-06-01T21:36:55.951596+00:00,1.88,41.6,58.0
1780349816951,2026-06-01T21:36:56.951749+00:00,1.93,43.2,58.0
1780349817951,2026-06-01T21:36:57.951937+00:00,1.93,46.9,58.0
1780349818952,2026-06-01T21:36:58.952038+00:00,1.97,42.2,57.0
1780349819952,2026-06-01T21:36:59.952197+00:00,2.0,42.5,59.0
1780349820952,2026-06-01T21:37:00.952325+00:00,2.01,43.3,59.0
1780349821952,2026-06-01T21:37:01.952416+00:00,1.93,41.0,58.0
1780349822952,2026-06-01T21:37:02.952538+00:00,1.94,41.1,58.0
1780349823952,2026-06-01T21:37:03.952644+00:00,2.04,44.3,58.0
1780349824952,2026-06-01T21:37:04.952896+00:00,1.98,46.3,58.0
1780349825953,2026-06-01T21:37:05.953029+00:00,1.98,42.8,56.0
1780349826953,2026-06-01T21:37:06.953162+00:00,1.92,40.9,56.0
1780349827953,2026-06-01T21:37:07.953275+00:00,1.98,45.1,60.0
1780349828953,2026-06-01T21:37:08.953428+00:00,1.93,42.6,60.0
1780349829953,2026-06-01T21:37:09.953540+00:00,1.91,42.8,58.0
