timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1780348377662,2026-06-01T21:12:57.662633+00:00,0.001,0.0018
1780348378662,2026-06-01T21:12:58.662747+00:00,0.0578,6.6112
1780348379664,2026-06-01T21:12:59.664314+00:00,0.0724,8.8042
1780348380664,2026-06-01T21:13:00.664426+00:00,0.0778,8.6254
1780348381664,2026-06-01T21:13:01.664600+00:00,0.0727,8.4143
1780348382666,2026-06-01T21:13:02.666853+00:00,0.0726,8.4143
1780348383666,2026-06-01T21:13:03.666998+00:00,0.0734,9.0149
1780348384667,2026-06-01T21:13:04.667109+00:00,0.0764,8.4146
1780348385667,2026-06-01T21:13:05.667251+00:00,0.0732,8.4143
1780348386667,2026-06-01T21:13:06.667343+00:00,0.0735,8.8042
1780348387667,2026-06-01T21:13:07.667465+00:00,0.0775,8.6253
1780348388667,2026-06-01T21:13:08.667621+00:00,0.073,8.4143
1780348389669,2026-06-01T21:13:09.669865+00:00,0.0734,8.4142
1780348390671,2026-06-01T21:13:10.671840+00:00,0.073,8.4142
1780348391671,2026-06-01T21:13:11.671950+00:00,0.0791,9.0153
1780348392672,2026-06-01T21:13:12.672060+00:00,0.073,8.4143
1780348393672,2026-06-01T21:13:13.672159+00:00,0.0741,9.0149
1780348394672,2026-06-01T21:13:14.672283+00:00,0.0776,8.4147
1780348395672,2026-06-01T21:13:15.672447+00:00,0.0722,8.4143
1780348396672,2026-06-01T21:13:16.672636+00:00,0.0259,3.0051
1780348397672,2026-06-01T21:13:17.672821+00:00,0.0,0.0
1780348398672,2026-06-01T21:13:18.672876+00:00,0.0,0.0
1780348399672,2026-06-01T21:13:19.672963+00:00,0.1303,15.0256
1780348400673,2026-06-01T21:13:20.673043+00:00,0.1358,16.2272
1780348401673,2026-06-01T21:13:21.673194+00:00,0.0821,9.0158
1780348402673,2026-06-01T21:13:22.673272+00:00,0.0723,8.4143
1780348403675,2026-06-01T21:13:23.675825+00:00,0.0729,8.4143
1780348404675,2026-06-01T21:13:24.675917+00:00,0.0781,9.0154
1780348405676,2026-06-01T21:13:25.676035+00:00,0.0728,8.4143
1780348406676,2026-06-01T21:13:26.676833+00:00,0.0725,8.4143
1780348407676,2026-06-01T21:13:27.676987+00:00,0.0726,9.0148
1780348408677,2026-06-01T21:13:28.677171+00:00,0.0769,8.4147
1780348409677,2026-06-01T21:13:29.677327+00:00,0.0727,8.4143
1780348410677,2026-06-01T21:13:30.677855+00:00,0.0735,9.0149
1780348411677,2026-06-01T21:13:31.677961+00:00,0.0782,8.4146
1780348412678,2026-06-01T21:13:32.678081+00:00,0.0728,8.4143
1780348413678,2026-06-01T21:13:33.678177+00:00,0.0733,8.4143
1780348414678,2026-06-01T21:13:34.678329+00:00,0.078,9.0153
1780348415678,2026-06-01T21:13:35.678418+00:00,0.0727,8.4144
1780348416678,2026-06-01T21:13:36.678531+00:00,0.0733,8.4143
1780348417678,2026-06-01T21:13:37.678642+00:00,0.0737,8.8042
1780348418678,2026-06-01T21:13:38.678801+00:00,0.0788,8.6253
1780348419678,2026-06-01T21:13:39.678947+00:00,0.0736,8.4143
1780348420679,2026-06-01T21:13:40.679477+00:00,0.0727,8.4143
1780348421679,2026-06-01T21:13:41.679624+00:00,0.0786,9.0149
1780348422679,2026-06-01T21:13:42.679739+00:00,0.0732,8.4161
1780348423679,2026-06-01T21:13:43.679909+00:00,0.0724,8.4143
1780348424680,2026-06-01T21:13:44.680010+00:00,0.0726,9.0149
1780348425680,2026-06-01T21:13:45.680115+00:00,0.0779,8.4141
1780348426680,2026-06-01T21:13:46.680237+00:00,0.073,8.4146
1780348427680,2026-06-01T21:13:47.680358+00:00,0.0728,8.4142
1780348428681,2026-06-01T21:13:48.681827+00:00,0.073,8.4143
1780348429681,2026-06-01T21:13:49.681914+00:00,0.0773,9.0152
1780348430682,2026-06-01T21:13:50.682059+00:00,0.0722,8.4144
1780348431682,2026-06-01T21:13:51.682194+00:00,0.0726,8.4143
1780348432682,2026-06-01T21:13:52.682835+00:00,0.0718,8.8187
1780348433682,2026-06-01T21:13:53.682943+00:00,0.0731,8.6118
1780348434683,2026-06-01T21:13:54.683097+00:00,0.0767,8.4146
1780348435683,2026-06-01T21:13:55.683212+00:00,0.0725,8.4156
1780348436683,2026-06-01T21:13:56.683365+00:00,0.073,8.7897
1780348437683,2026-06-01T21:13:57.683488+00:00,0.0784,8.6394
1780348438683,2026-06-01T21:13:58.683634+00:00,0.0733,8.4147
1780348439683,2026-06-01T21:13:59.683727+00:00,0.0727,8.4143
1780348440683,2026-06-01T21:14:00.683855+00:00,0.0777,9.0153
1780348441683,2026-06-01T21:14:01.683967+00:00,0.0718,8.4143
1780348442684,2026-06-01T21:14:02.684105+00:00,0.0724,8.4143
1780348443684,2026-06-01T21:14:03.684837+00:00,0.0736,8.472
1780348444684,2026-06-01T21:14:04.684920+00:00,0.0778,8.9575
1780348445685,2026-06-01T21:14:05.685044+00:00,0.073,8.4143
1780348446685,2026-06-01T21:14:06.685160+00:00,0.0726,8.4143
1780348447685,2026-06-01T21:14:07.685260+00:00,0.0727,8.4143
1780348448685,2026-06-01T21:14:08.685372+00:00,0.0741,9.0149
1780348449685,2026-06-01T21:14:09.685498+00:00,0.0773,8.4148
1780348450685,2026-06-01T21:14:10.685619+00:00,0.0724,8.4143
1780348451686,2026-06-01T21:14:11.686851+00:00,0.0736,8.4143
1780348452686,2026-06-01T21:14:12.686998+00:00,0.0733,9.0149
1780348453687,2026-06-01T21:14:13.687184+00:00,0.0776,8.4163
1780348454687,2026-06-01T21:14:14.687306+00:00,0.0726,8.4144
1780348455687,2026-06-01T21:14:15.687417+00:00,0.0724,8.4142
1780348456687,2026-06-01T21:14:16.687600+00:00,0.0728,9.0149
1780348457687,2026-06-01T21:14:17.687770+00:00,0.0773,8.4148
1780348458687,2026-06-01T21:14:18.687869+00:00,0.0726,8.4158
1780348459689,2026-06-01T21:14:19.689837+00:00,0.0726,8.4143
1780348460689,2026-06-01T21:14:20.689954+00:00,0.078,9.0154
1780348461690,2026-06-01T21:14:21.690047+00:00,0.0728,8.4143
1780348462690,2026-06-01T21:14:22.690152+00:00,0.0719,8.4143
1780348463691,2026-06-01T21:14:23.691628+00:00,0.0739,9.0151
1780348464691,2026-06-01T21:14:24.691809+00:00,0.078,8.4148
1780348465691,2026-06-01T21:14:25.691968+00:00,0.0729,8.4142
1780348466692,2026-06-01T21:14:26.692085+00:00,0.0729,8.4141
1780348467692,2026-06-01T21:14:27.692214+00:00,0.073,9.0149
1780348468692,2026-06-01T21:14:28.692370+00:00,0.0777,8.4148
1780348469692,2026-06-01T21:14:29.692496+00:00,0.0724,8.4142
1780348470694,2026-06-01T21:14:30.694832+00:00,0.0726,8.4143
1780348471694,2026-06-01T21:14:31.694952+00:00,0.0773,9.0153
1780348472695,2026-06-01T21:14:32.695125+00:00,0.0729,8.4143
1780348473695,2026-06-01T21:14:33.695238+00:00,0.0743,8.4146
1780348474695,2026-06-01T21:14:34.695358+00:00,0.0778,9.0153
1780348475695,2026-06-01T21:14:35.695522+00:00,0.0726,8.4143
1780348476695,2026-06-01T21:14:36.695677+00:00,0.0725,8.4143
1780348477696,2026-06-01T21:14:37.696832+00:00,0.072,8.6454
1780348478696,2026-06-01T21:14:38.696950+00:00,0.0415,4.5771
1780348479697,2026-06-01T21:14:39.697111+00:00,0.0,0.0
1780348480697,2026-06-01T21:14:40.697273+00:00,0.0,0.0
1780348481697,2026-06-01T21:14:41.697351+00:00,0.11,12.6214
1780348482697,2026-06-01T21:14:42.697415+00:00,0.1369,15.6266
1780348483697,2026-06-01T21:14:43.697525+00:00,0.0823,9.6164
1780348484697,2026-06-01T21:14:44.697669+00:00,0.0733,9.0148
1780348485697,2026-06-01T21:14:45.697773+00:00,0.077,8.4148
1780348486697,2026-06-01T21:14:46.697867+00:00,0.0722,8.4143
1780348487697,2026-06-01T21:14:47.697979+00:00,0.0725,8.4143
1780348488698,2026-06-01T21:14:48.698060+00:00,0.0777,9.0154
1780348489698,2026-06-01T21:14:49.698207+00:00,0.0738,8.4143
1780348490698,2026-06-01T21:14:50.698299+00:00,0.0735,8.4155
1780348491698,2026-06-01T21:14:51.698399+00:00,0.0732,9.0148
1780348492698,2026-06-01T21:14:52.698572+00:00,0.076,8.4147
1780348493698,2026-06-01T21:14:53.698691+00:00,0.0726,8.4143
1780348494698,2026-06-01T21:14:54.698831+00:00,0.0727,8.8476
1780348495698,2026-06-01T21:14:55.698928+00:00,0.0775,8.582
1780348496699,2026-06-01T21:14:56.699079+00:00,0.0728,8.4143
1780348497699,2026-06-01T21:14:57.699183+00:00,0.0727,8.4143
