timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770712379508,2026-02-10T08:32:59.508295+00:00,0.69,1.0,52.0
1770712380508,2026-02-10T08:33:00.508578+00:00,1.45,29.5,52.0
1770712381508,2026-02-10T08:33:01.508710+00:00,1.57,36.5,55.0
1770712382508,2026-02-10T08:33:02.508896+00:00,1.5,36.1,53.0
1770712383509,2026-02-10T08:33:03.509012+00:00,1.56,35.9,53.0
1770712384509,2026-02-10T08:33:04.509302+00:00,1.11,11.0,53.0
1770712385509,2026-02-10T08:33:05.509627+00:00,1.06,5.5,53.0
1770712386509,2026-02-10T08:33:06.509919+00:00,1.05,5.8,51.0
1770712387510,2026-02-10T08:33:07.510208+00:00,1.04,5.5,51.0
1770712388510,2026-02-10T08:33:08.510482+00:00,1.06,8.8,53.0
1770712389510,2026-02-10T08:33:09.510655+00:00,1.07,9.8,53.0
1770712390510,2026-02-10T08:33:10.510937+00:00,1.42,13.1,52.0
1770712391511,2026-02-10T08:33:11.511221+00:00,1.07,5.5,52.0
1770712392511,2026-02-10T08:33:12.511506+00:00,1.06,5.3,52.0
1770712393511,2026-02-10T08:33:13.511798+00:00,1.05,5.8,52.0
1770712394512,2026-02-10T08:33:14.512085+00:00,1.03,6.0,52.0
1770712395512,2026-02-10T08:33:15.512210+00:00,1.05,6.0,51.0
1770712396512,2026-02-10T08:33:16.512519+00:00,1.06,5.5,52.0
1770712397512,2026-02-10T08:33:17.512811+00:00,1.04,5.8,52.0
1770712398513,2026-02-10T08:33:18.513127+00:00,1.08,6.8,52.0
1770712399513,2026-02-10T08:33:19.513415+00:00,1.07,5.3,52.0
1770712400513,2026-02-10T08:33:20.513719+00:00,1.07,5.8,52.0
1770712401514,2026-02-10T08:33:21.514004+00:00,1.08,5.8,52.0
1770712402514,2026-02-10T08:33:22.514293+00:00,1.06,5.5,52.0
1770712403514,2026-02-10T08:33:23.514619+00:00,1.04,5.8,52.0
