timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772148315857,2026-02-26T23:25:15.857710+00:00,0.0013,0.0025
1772148316857,2026-02-26T23:25:16.857810+00:00,27.0552,2.9691
1772148317857,2026-02-26T23:25:17.857903+00:00,39.7058,3.8421
1772148318859,2026-02-26T23:25:18.859149+00:00,41.5187,3.2762
1772148319859,2026-02-26T23:25:19.859250+00:00,41.6454,3.8818
1772148320859,2026-02-26T23:25:20.859356+00:00,39.8611,3.8357
1772148321859,2026-02-26T23:25:21.859443+00:00,39.6487,3.8281
1772148322859,2026-02-26T23:25:22.859522+00:00,40.5753,3.8463
1772148323859,2026-02-26T23:25:23.859621+00:00,39.9959,3.8343
1772148324859,2026-02-26T23:25:24.859786+00:00,40.8227,3.8653
1772148325862,2026-02-26T23:25:25.862145+00:00,40.6403,3.2605
1772148326862,2026-02-26T23:25:26.862241+00:00,41.6453,3.8732
1772148327862,2026-02-26T23:25:27.862382+00:00,38.1958,3.7966
1772148328862,2026-02-26T23:25:28.862485+00:00,38.6846,3.8056
1772148329862,2026-02-26T23:25:29.862636+00:00,42.3725,3.8912
1772148330862,2026-02-26T23:25:30.862783+00:00,41.1822,3.8634
1772148331862,2026-02-26T23:25:31.862964+00:00,39.4651,3.8206
1772148332865,2026-02-26T23:25:32.865135+00:00,41.6462,3.2703
1772148333867,2026-02-26T23:25:33.867135+00:00,41.6456,3.8635
1772148334867,2026-02-26T23:25:34.867247+00:00,41.647,3.8643
1772148335867,2026-02-26T23:25:35.867327+00:00,39.4061,3.8235
1772148336867,2026-02-26T23:25:36.867414+00:00,40.2544,3.8446
1772148337867,2026-02-26T23:25:37.867514+00:00,39.8718,3.8401
1772148338867,2026-02-26T23:25:38.867661+00:00,39.9693,3.8385
1772148339867,2026-02-26T23:25:39.867791+00:00,40.6729,3.8575
1772148340867,2026-02-26T23:25:40.867991+00:00,41.647,3.8707
1772148341868,2026-02-26T23:25:41.868081+00:00,41.372,3.8592
1772148342868,2026-02-26T23:25:42.868161+00:00,41.6454,3.2618
1772148343868,2026-02-26T23:25:43.868254+00:00,39.9009,3.8348
1772148344868,2026-02-26T23:25:44.868395+00:00,39.8804,3.848
1772148345868,2026-02-26T23:25:45.868510+00:00,37.7448,3.7842
1772148346868,2026-02-26T23:25:46.868627+00:00,40.84,3.8456
1772148347869,2026-02-26T23:25:47.869162+00:00,41.5329,3.2765
1772148348869,2026-02-26T23:25:48.869298+00:00,41.6456,3.8678
1772148349869,2026-02-26T23:25:49.869453+00:00,35.1968,3.741
1772148350870,2026-02-26T23:25:50.870135+00:00,39.7664,3.229
1772148351870,2026-02-26T23:25:51.870343+00:00,41.6473,3.8634
1772148352870,2026-02-26T23:25:52.870435+00:00,41.6456,3.8769
1772148353870,2026-02-26T23:25:53.870518+00:00,41.646,3.8607
1772148354871,2026-02-26T23:25:54.871317+00:00,41.5266,3.8591
1772148355870,2026-02-26T23:25:55.870990+00:00,39.8673,3.824
1772148356871,2026-02-26T23:25:56.871103+00:00,39.5472,3.8305
1772148357871,2026-02-26T23:25:57.871187+00:00,40.0321,3.8292
1772148358871,2026-02-26T23:25:58.871291+00:00,38.9273,3.8215
1772148359871,2026-02-26T23:25:59.871423+00:00,41.0237,3.2464
1772148360871,2026-02-26T23:26:00.871533+00:00,40.1603,3.85
1772148361871,2026-02-26T23:26:01.871624+00:00,38.5874,3.8064
1772148362871,2026-02-26T23:26:02.871771+00:00,42.2562,3.8785
1772148363871,2026-02-26T23:26:03.871898+00:00,37.8719,3.797
1772148364871,2026-02-26T23:26:04.871991+00:00,40.8769,3.2652
1772148365872,2026-02-26T23:26:05.872107+00:00,39.5555,3.832
1772148366872,2026-02-26T23:26:06.872247+00:00,36.5418,3.7682
1772148367872,2026-02-26T23:26:07.872337+00:00,40.5441,3.2432
