timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772208096031,2026-02-27T16:01:36.031650+00:00,1.1,7.3,63.0
1772208097031,2026-02-27T16:01:37.031769+00:00,2.26,32.6,63.0
1772208098032,2026-02-27T16:01:38.032032+00:00,2.36,48.1,65.0
1772208099032,2026-02-27T16:01:39.032160+00:00,2.72,42.5,65.0
1772208100032,2026-02-27T16:01:40.032262+00:00,2.4,50.3,66.0
1772208101032,2026-02-27T16:01:41.032353+00:00,2.55,49.4,66.0
1772208102032,2026-02-27T16:01:42.032432+00:00,2.54,49.6,65.0
1772208103032,2026-02-27T16:01:43.032493+00:00,2.41,49.5,65.0
1772208104035,2026-02-27T16:01:44.035136+00:00,2.61,48.1,66.0
1772208105035,2026-02-27T16:01:45.035388+00:00,2.79,47.7,66.0
1772208106035,2026-02-27T16:01:46.035511+00:00,2.35,49.6,67.0
1772208107035,2026-02-27T16:01:47.035663+00:00,2.47,49.0,68.0
1772208108035,2026-02-27T16:01:48.035808+00:00,2.56,50.4,68.0
1772208109036,2026-02-27T16:01:49.036108+00:00,2.43,49.2,66.0
1772208110036,2026-02-27T16:01:50.036149+00:00,2.51,45.9,66.0
1772208111037,2026-02-27T16:01:51.037109+00:00,2.63,49.2,68.0
1772208112037,2026-02-27T16:01:52.037245+00:00,2.42,47.0,66.0
1772208113037,2026-02-27T16:01:53.037349+00:00,2.48,48.7,66.0
1772208114037,2026-02-27T16:01:54.037473+00:00,2.64,46.3,66.0
1772208115037,2026-02-27T16:01:55.037592+00:00,2.61,49.7,67.0
1772208116037,2026-02-27T16:01:56.037741+00:00,2.55,47.6,67.0
1772208117039,2026-02-27T16:01:57.039151+00:00,2.54,46.3,68.0
1772208118039,2026-02-27T16:01:58.039283+00:00,2.44,48.7,68.0
1772208119039,2026-02-27T16:01:59.039432+00:00,2.39,47.8,66.0
1772208120039,2026-02-27T16:02:00.039641+00:00,2.68,44.8,68.0
1772208121042,2026-02-27T16:02:01.042140+00:00,2.64,46.6,67.0
1772208122042,2026-02-27T16:02:02.042387+00:00,2.55,49.6,67.0
1772208123042,2026-02-27T16:02:03.042516+00:00,2.52,48.9,66.0
1772208124042,2026-02-27T16:02:04.042608+00:00,2.61,46.7,73.0
1772208125042,2026-02-27T16:02:05.042696+00:00,2.65,48.1,73.0
1772208126042,2026-02-27T16:02:06.042775+00:00,2.78,45.1,68.0
1772208127042,2026-02-27T16:02:07.042949+00:00,2.45,48.7,67.0
1772208128045,2026-02-27T16:02:08.045143+00:00,2.54,49.2,70.0
1772208129045,2026-02-27T16:02:09.045245+00:00,2.5,49.4,70.0
1772208130045,2026-02-27T16:02:10.045821+00:00,2.63,44.2,68.0
1772208131045,2026-02-27T16:02:11.045930+00:00,2.52,48.1,68.0
1772208132046,2026-02-27T16:02:12.046109+00:00,2.55,50.5,70.0
1772208133046,2026-02-27T16:02:13.046208+00:00,2.52,47.7,70.0
1772208134046,2026-02-27T16:02:14.046697+00:00,2.45,50.1,68.0
1772208135046,2026-02-27T16:02:15.046800+00:00,2.69,44.0,68.0
1772208136049,2026-02-27T16:02:16.049133+00:00,2.51,49.2,68.0
1772208137049,2026-02-27T16:02:17.049400+00:00,2.52,49.7,68.0
1772208138049,2026-02-27T16:02:18.049529+00:00,2.53,49.0,68.0
1772208139049,2026-02-27T16:02:19.049670+00:00,2.4,46.1,68.0
1772208140049,2026-02-27T16:02:20.049775+00:00,2.55,49.5,67.0
1772208141049,2026-02-27T16:02:21.049897+00:00,2.48,46.8,68.0
1772208142049,2026-02-27T16:02:22.049999+00:00,2.46,49.1,68.0
1772208143050,2026-02-27T16:02:23.050133+00:00,2.49,47.2,66.0
1772208144050,2026-02-27T16:02:24.050290+00:00,2.51,46.7,66.0
1772208145051,2026-02-27T16:02:25.051135+00:00,2.43,48.5,68.0
1772208146051,2026-02-27T16:02:26.051231+00:00,2.46,47.0,68.0
1772208147051,2026-02-27T16:02:27.051430+00:00,2.61,43.2,66.0
1772208148051,2026-02-27T16:02:28.051566+00:00,2.5,47.6,66.0
1772208149051,2026-02-27T16:02:29.051650+00:00,2.58,49.1,70.0
1772208150054,2026-02-27T16:02:30.054138+00:00,2.4,47.5,68.0
1772208151055,2026-02-27T16:02:31.055145+00:00,2.76,47.9,69.0
1772208152055,2026-02-27T16:02:32.055320+00:00,2.28,46.4,66.0
1772208153055,2026-02-27T16:02:33.055566+00:00,2.5,48.6,66.0
1772208154057,2026-02-27T16:02:34.057511+00:00,2.39,45.0,68.0
1772208155057,2026-02-27T16:02:35.057584+00:00,2.37,47.7,68.0
1772208156057,2026-02-27T16:02:36.057705+00:00,2.54,45.1,66.0
1772208157058,2026-02-27T16:02:37.058141+00:00,1.7,21.1,65.0
