timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772210845495,2026-02-27T16:47:25.495043+00:00,0.001,0.0019
1772210846495,2026-02-27T16:47:26.495204+00:00,0.0299,12.0097
1772210847495,2026-02-27T16:47:27.495493+00:00,0.0452,19.2151
1772210848495,2026-02-27T16:47:28.495611+00:00,0.0403,16.8132
1772210849497,2026-02-27T16:47:29.497144+00:00,0.0386,16.8132
1772210850498,2026-02-27T16:47:30.498137+00:00,0.0397,16.8132
1772210851498,2026-02-27T16:47:31.498239+00:00,0.0462,19.2151
1772210852499,2026-02-27T16:47:32.499150+00:00,0.0399,16.8132
1772210853499,2026-02-27T16:47:33.499236+00:00,0.0427,18.8058
1772210854499,2026-02-27T16:47:34.499360+00:00,0.0438,17.2225
1772210855499,2026-02-27T16:47:35.499452+00:00,0.0384,16.8132
1772210856499,2026-02-27T16:47:36.499535+00:00,0.0411,18.5315
1772210857499,2026-02-27T16:47:37.499804+00:00,0.0448,17.4968
1772210858499,2026-02-27T16:47:38.499916+00:00,0.0396,16.8132
1772210859500,2026-02-27T16:47:39.500063+00:00,0.0435,19.2149
1772210860500,2026-02-27T16:47:40.500142+00:00,0.0412,16.8133
1772210861500,2026-02-27T16:47:41.500446+00:00,0.0405,17.2467
1772210862500,2026-02-27T16:47:42.500545+00:00,0.0449,18.782
1772210863500,2026-02-27T16:47:43.500947+00:00,0.0403,16.8132
1772210864501,2026-02-27T16:47:44.501105+00:00,0.0424,19.2149
1772210865504,2026-02-27T16:47:45.504128+00:00,0.0413,16.8133
1772210866504,2026-02-27T16:47:46.504215+00:00,0.0388,16.8132
1772210867504,2026-02-27T16:47:47.504357+00:00,0.0419,19.2149
1772210868504,2026-02-27T16:47:48.504455+00:00,0.0419,17.0878
1772210869504,2026-02-27T16:47:49.504731+00:00,0.0442,18.9407
1772210870504,2026-02-27T16:47:50.504820+00:00,0.0384,16.8132
1772210871504,2026-02-27T16:47:51.504890+00:00,0.0402,18.0839
1772210872504,2026-02-27T16:47:52.504991+00:00,0.0438,17.9444
1772210873505,2026-02-27T16:47:53.505108+00:00,0.0448,19.2151
1772210874506,2026-02-27T16:47:54.506129+00:00,0.0396,16.8132
1772210875506,2026-02-27T16:47:55.506235+00:00,0.0388,16.8132
1772210876506,2026-02-27T16:47:56.506320+00:00,0.0383,16.8132
1772210877506,2026-02-27T16:47:57.506421+00:00,0.0445,19.2151
1772210878509,2026-02-27T16:47:58.509161+00:00,0.0387,16.8132
1772210879509,2026-02-27T16:47:59.509292+00:00,0.0378,16.8132
1772210880509,2026-02-27T16:48:00.509372+00:00,0.0396,16.8132
1772210881509,2026-02-27T16:48:01.509502+00:00,0.0439,19.2151
1772210882510,2026-02-27T16:48:02.510328+00:00,0.039,17.3042
1772210883510,2026-02-27T16:48:03.510462+00:00,0.0453,18.7241
1772210884510,2026-02-27T16:48:04.510557+00:00,0.039,16.8132
1772210885510,2026-02-27T16:48:05.510650+00:00,0.0391,16.8132
1772210886510,2026-02-27T16:48:06.510768+00:00,0.0404,18.4015
1772210887510,2026-02-27T16:48:07.510897+00:00,0.044,17.6267
1772210888510,2026-02-27T16:48:08.510992+00:00,0.0385,16.8132
1772210889511,2026-02-27T16:48:09.511088+00:00,0.0445,19.2151
1772210890511,2026-02-27T16:48:10.511157+00:00,0.0391,18.0694
1772210891511,2026-02-27T16:48:11.511238+00:00,0.0452,17.9588
1772210892511,2026-02-27T16:48:12.511344+00:00,0.0412,18.2427
1772210893511,2026-02-27T16:48:13.511479+00:00,0.0433,17.7856
1772210894511,2026-02-27T16:48:14.511553+00:00,0.0407,17.3475
1772210895513,2026-02-27T16:48:15.513149+00:00,0.0441,18.6808
1772210896513,2026-02-27T16:48:16.513284+00:00,0.0432,19.2149
1772210897513,2026-02-27T16:48:17.513648+00:00,0.0411,16.8133
1772210898513,2026-02-27T16:48:18.513780+00:00,0.0445,19.2151
1772210899516,2026-02-27T16:48:19.516151+00:00,0.0399,16.8132
1772210900516,2026-02-27T16:48:20.516262+00:00,0.0392,16.8132
1772210901516,2026-02-27T16:48:21.516382+00:00,0.0451,19.2151
1772210902519,2026-02-27T16:48:22.519128+00:00,0.0385,16.8132
1772210903519,2026-02-27T16:48:23.519224+00:00,0.0385,16.8132
1772210904520,2026-02-27T16:48:24.520138+00:00,0.0456,19.2151
1772210905520,2026-02-27T16:48:25.520249+00:00,0.0391,16.8132
1772210906520,2026-02-27T16:48:26.520535+00:00,0.0164,7.2056
