timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772138458199,2026-02-26T20:40:58.199225+00:00,1.07,6.8,63.0
1772138459199,2026-02-26T20:40:59.199339+00:00,3.26,29.1,63.0
1772138460202,2026-02-26T20:41:00.202126+00:00,3.71,37.4,68.0
1772138461202,2026-02-26T20:41:01.202407+00:00,3.5,32.0,68.0
1772138462202,2026-02-26T20:41:02.202544+00:00,4.1,35.6,71.0
1772138463202,2026-02-26T20:41:03.202638+00:00,3.44,27.6,65.0
1772138464202,2026-02-26T20:41:04.202769+00:00,3.96,42.2,65.0
1772138465203,2026-02-26T20:41:05.203075+00:00,3.36,28.7,65.0
1772138466203,2026-02-26T20:41:06.203318+00:00,3.45,38.8,65.0
1772138467203,2026-02-26T20:41:07.203500+00:00,3.95,31.8,66.0
1772138468203,2026-02-26T20:41:08.203611+00:00,4.1,37.4,66.0
1772138469203,2026-02-26T20:41:09.203901+00:00,3.33,29.5,65.0
1772138470203,2026-02-26T20:41:10.203984+00:00,3.64,40.2,82.0
1772138471204,2026-02-26T20:41:11.204173+00:00,3.68,31.9,82.0
1772138472206,2026-02-26T20:41:12.206184+00:00,3.42,34.8,67.0
1772138473206,2026-02-26T20:41:13.206470+00:00,3.96,35.8,67.0
1772138474209,2026-02-26T20:41:14.209140+00:00,3.78,34.2,83.0
1772138475209,2026-02-26T20:41:15.209287+00:00,3.58,31.3,67.0
1772138476209,2026-02-26T20:41:16.209576+00:00,3.27,33.0,65.0
1772138477209,2026-02-26T20:41:17.209739+00:00,4.21,36.8,65.0
1772138478209,2026-02-26T20:41:18.209900+00:00,3.31,29.2,65.0
1772138479211,2026-02-26T20:41:19.211145+00:00,3.79,35.9,65.0
1772138480211,2026-02-26T20:41:20.211455+00:00,3.56,32.2,67.0
1772138481211,2026-02-26T20:41:21.211754+00:00,3.53,34.1,67.0
1772138482211,2026-02-26T20:41:22.211923+00:00,3.98,31.7,66.0
1772138483212,2026-02-26T20:41:23.212206+00:00,4.25,36.8,70.0
1772138484212,2026-02-26T20:41:24.212489+00:00,3.29,29.7,65.0
1772138485212,2026-02-26T20:41:25.212633+00:00,4.1,36.9,65.0
1772138486212,2026-02-26T20:41:26.212802+00:00,3.32,30.2,67.0
1772138487214,2026-02-26T20:41:27.214134+00:00,3.72,35.2,67.0
1772138488214,2026-02-26T20:41:28.214254+00:00,3.77,35.1,67.0
1772138489214,2026-02-26T20:41:29.214430+00:00,3.36,32.3,65.0
1772138490214,2026-02-26T20:41:30.214732+00:00,4.01,36.0,67.0
1772138491214,2026-02-26T20:41:31.214792+00:00,3.34,31.1,67.0
1772138492214,2026-02-26T20:41:32.214931+00:00,4.08,35.0,66.0
1772138493215,2026-02-26T20:41:33.215213+00:00,3.25,33.2,66.0
1772138494215,2026-02-26T20:41:34.215348+00:00,4.19,33.8,66.0
1772138495215,2026-02-26T20:41:35.215459+00:00,3.36,33.6,66.0
1772138496215,2026-02-26T20:41:36.215591+00:00,3.86,39.2,71.0
1772138497215,2026-02-26T20:41:37.215883+00:00,3.32,30.6,65.0
1772138498215,2026-02-26T20:41:38.215960+00:00,3.84,38.2,65.0
1772138499216,2026-02-26T20:41:39.216041+00:00,3.54,27.8,66.0
1772138500216,2026-02-26T20:41:40.216343+00:00,4.18,36.3,67.0
1772138501216,2026-02-26T20:41:41.216438+00:00,3.76,31.6,67.0
1772138502216,2026-02-26T20:41:42.216565+00:00,4.07,32.1,67.0
1772138503219,2026-02-26T20:41:43.219153+00:00,4.04,34.1,84.0
1772138504219,2026-02-26T20:41:44.219436+00:00,3.39,33.2,67.0
1772138505219,2026-02-26T20:41:45.219614+00:00,3.2,33.2,67.0
1772138506219,2026-02-26T20:41:46.219730+00:00,4.07,37.9,68.0
1772138507220,2026-02-26T20:41:47.220011+00:00,3.42,32.7,65.0
1772138508220,2026-02-26T20:41:48.220118+00:00,4.03,33.0,65.0
1772138509220,2026-02-26T20:41:49.220236+00:00,3.5,31.5,67.0
1772138510221,2026-02-26T20:41:50.221151+00:00,3.97,34.3,67.0
1772138511221,2026-02-26T20:41:51.221437+00:00,3.56,29.4,65.0
1772138512221,2026-02-26T20:41:52.221502+00:00,4.07,36.6,65.0
1772138513221,2026-02-26T20:41:53.221613+00:00,3.28,34.4,67.0
1772138514221,2026-02-26T20:41:54.221895+00:00,4.07,35.8,71.0
1772138515222,2026-02-26T20:41:55.222182+00:00,3.55,29.5,71.0
1772138516222,2026-02-26T20:41:56.222323+00:00,4.03,35.4,71.0
1772138517222,2026-02-26T20:41:57.222604+00:00,3.57,30.2,65.0
1772138518222,2026-02-26T20:41:58.222684+00:00,3.81,40.4,65.0
1772138519222,2026-02-26T20:41:59.222802+00:00,2.21,17.5,63.0
