timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772209878349,2026-02-27T16:31:18.349221+00:00,0.001,0.0019
1772209879349,2026-02-27T16:31:19.349334+00:00,0.0559,6.6074
1772209880349,2026-02-27T16:31:20.349471+00:00,0.0699,8.4094
1772209881349,2026-02-27T16:31:21.349884+00:00,0.0699,8.8137
1772209882350,2026-02-27T16:31:22.350008+00:00,0.0749,8.6057
1772209883350,2026-02-27T16:31:23.350180+00:00,0.0706,8.4094
1772209884350,2026-02-27T16:31:24.350261+00:00,0.0714,9.01
1772209885350,2026-02-27T16:31:25.350524+00:00,0.0712,8.4094
1772209886350,2026-02-27T16:31:26.350637+00:00,0.0748,8.4095
1772209887350,2026-02-27T16:31:27.350784+00:00,0.0703,8.4094
1772209888353,2026-02-27T16:31:28.353166+00:00,0.0706,8.4093
1772209889353,2026-02-27T16:31:29.353433+00:00,0.0718,9.01
1772209890353,2026-02-27T16:31:30.353555+00:00,0.0748,8.4094
1772209891353,2026-02-27T16:31:31.353673+00:00,0.071,8.4094
1772209892353,2026-02-27T16:31:32.353824+00:00,0.0714,9.01
1772209893354,2026-02-27T16:31:33.354133+00:00,0.0758,8.4095
1772209894354,2026-02-27T16:31:34.354232+00:00,0.0707,8.4094
1772209895356,2026-02-27T16:31:35.356159+00:00,0.0702,8.4094
1772209896356,2026-02-27T16:31:36.356311+00:00,0.0715,9.01
1772209897356,2026-02-27T16:31:37.356428+00:00,0.0746,8.4095
1772209898358,2026-02-27T16:31:38.358157+00:00,0.0704,8.4094
1772209899358,2026-02-27T16:31:39.358264+00:00,0.0716,9.01
1772209900358,2026-02-27T16:31:40.358388+00:00,0.0745,8.4095
1772209901358,2026-02-27T16:31:41.358510+00:00,0.0704,8.4094
1772209902358,2026-02-27T16:31:42.358660+00:00,0.0713,9.01
1772209903358,2026-02-27T16:31:43.358754+00:00,0.0709,8.4093
1772209904358,2026-02-27T16:31:44.358923+00:00,0.0712,8.4096
1772209905359,2026-02-27T16:31:45.359126+00:00,0.0743,8.4095
1772209906359,2026-02-27T16:31:46.359230+00:00,0.0717,9.0099
1772209907359,2026-02-27T16:31:47.359354+00:00,0.0751,8.4095
1772209908359,2026-02-27T16:31:48.359466+00:00,0.0705,8.4094
1772209909359,2026-02-27T16:31:49.359610+00:00,0.0716,9.01
1772209910359,2026-02-27T16:31:50.359793+00:00,0.0751,8.4094
1772209911359,2026-02-27T16:31:51.359900+00:00,0.0707,8.4094
1772209912360,2026-02-27T16:31:52.360080+00:00,0.0712,8.4094
1772209913360,2026-02-27T16:31:53.360187+00:00,0.0712,9.01
1772209914360,2026-02-27T16:31:54.360298+00:00,0.0746,8.4095
1772209915360,2026-02-27T16:31:55.360408+00:00,0.0705,8.4094
1772209916363,2026-02-27T16:31:56.363148+00:00,0.0696,8.4094
1772209917363,2026-02-27T16:31:57.363263+00:00,0.0708,9.01
1772209918363,2026-02-27T16:31:58.363384+00:00,0.0746,8.4095
1772209919365,2026-02-27T16:31:59.365156+00:00,0.0706,8.4094
1772209920365,2026-02-27T16:32:00.365330+00:00,0.0709,9.01
1772209921365,2026-02-27T16:32:01.365478+00:00,0.0753,8.4095
1772209922365,2026-02-27T16:32:02.365584+00:00,0.0697,8.4094
1772209923366,2026-02-27T16:32:03.366649+00:00,0.0708,9.0099
1772209924366,2026-02-27T16:32:04.366910+00:00,0.074,8.4094
1772209925367,2026-02-27T16:32:05.367023+00:00,0.0695,8.4095
1772209926370,2026-02-27T16:32:06.370167+00:00,0.0707,8.4094
1772209927370,2026-02-27T16:32:07.370428+00:00,0.0719,9.01
1772209928370,2026-02-27T16:32:08.370537+00:00,0.0758,8.4095
1772209929370,2026-02-27T16:32:09.370673+00:00,0.0697,8.4094
1772209930372,2026-02-27T16:32:10.372140+00:00,0.0699,9.0098
1772209931372,2026-02-27T16:32:11.372422+00:00,0.0758,8.4095
1772209932372,2026-02-27T16:32:12.372524+00:00,0.0707,8.4094
1772209933372,2026-02-27T16:32:13.372691+00:00,0.0706,8.4094
1772209934372,2026-02-27T16:32:14.372811+00:00,0.0714,8.4094
1772209935373,2026-02-27T16:32:15.373126+00:00,0.0745,9.0099
1772209936373,2026-02-27T16:32:16.373241+00:00,0.0706,8.4095
1772209937373,2026-02-27T16:32:17.373357+00:00,0.0707,8.4094
1772209938373,2026-02-27T16:32:18.373502+00:00,0.0706,9.0098
1772209939373,2026-02-27T16:32:19.373780+00:00,0.0148,1.2015
