timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1779107307058,2026-05-18T12:28:27.058212+00:00,1.09,5.6,62.0
1779107308058,2026-05-18T12:28:28.058264+00:00,9.38,78.4,62.0
1779107309058,2026-05-18T12:28:29.058358+00:00,11.25,100.0,94.0
1779107310058,2026-05-18T12:28:30.058447+00:00,11.14,99.8,94.0
1779107311058,2026-05-18T12:28:31.058540+00:00,11.18,100.0,94.0
1779107312058,2026-05-18T12:28:32.058630+00:00,10.95,99.8,94.0
1779107313058,2026-05-18T12:28:33.058774+00:00,10.05,90.7,71.0
1779107314058,2026-05-18T12:28:34.058888+00:00,1.15,3.0,71.0
1779107315058,2026-05-18T12:28:35.058974+00:00,8.96,73.4,94.0
1779107316059,2026-05-18T12:28:36.059062+00:00,11.33,99.0,94.0
1779107317059,2026-05-18T12:28:37.059157+00:00,11.12,99.5,96.0
1779107318059,2026-05-18T12:28:38.059242+00:00,11.07,100.0,96.0
1779107319059,2026-05-18T12:28:39.059334+00:00,10.98,99.8,96.0
1779107320059,2026-05-18T12:28:40.059429+00:00,11.02,100.0,93.0
1779107321059,2026-05-18T12:28:41.059517+00:00,11.03,99.8,93.0
1779107322059,2026-05-18T12:28:42.059616+00:00,10.97,99.7,93.0
1779107323059,2026-05-18T12:28:43.059709+00:00,11.0,99.8,94.0
1779107324059,2026-05-18T12:28:44.059797+00:00,10.94,100.0,94.0
1779107325059,2026-05-18T12:28:45.059864+00:00,10.99,100.0,94.0
1779107326059,2026-05-18T12:28:46.059949+00:00,10.95,99.8,96.0
1779107327060,2026-05-18T12:28:47.060044+00:00,10.95,99.7,96.0
1779107328060,2026-05-18T12:28:48.060099+00:00,11.04,99.7,96.0
1779107329060,2026-05-18T12:28:49.060163+00:00,11.03,100.0,93.0
1779107330060,2026-05-18T12:28:50.060252+00:00,11.01,100.0,93.0
1779107331060,2026-05-18T12:28:51.060356+00:00,11.01,100.0,93.0
1779107332060,2026-05-18T12:28:52.060402+00:00,10.94,99.5,93.0
1779107333060,2026-05-18T12:28:53.060512+00:00,10.93,99.5,93.0
1779107334060,2026-05-18T12:28:54.060612+00:00,10.99,100.0,93.0
1779107335060,2026-05-18T12:28:55.060717+00:00,10.9,99.8,92.0
1779107336060,2026-05-18T12:28:56.060771+00:00,10.99,99.8,92.0
1779107337060,2026-05-18T12:28:57.060870+00:00,10.98,99.5,96.0
1779107338060,2026-05-18T12:28:58.060967+00:00,10.81,99.5,96.0
1779107339061,2026-05-18T12:28:59.061052+00:00,10.86,99.5,91.0
1779107340061,2026-05-18T12:29:00.061147+00:00,10.88,99.8,91.0
1779107341061,2026-05-18T12:29:01.061231+00:00,10.97,100.0,93.0
1779107342061,2026-05-18T12:29:02.061328+00:00,10.9,100.0,96.0
1779107343061,2026-05-18T12:29:03.061380+00:00,10.86,99.2,96.0
1779107344061,2026-05-18T12:29:04.061475+00:00,10.83,99.5,94.0
1779107345061,2026-05-18T12:29:05.061569+00:00,11.02,100.0,94.0
1779107346061,2026-05-18T12:29:06.061622+00:00,10.98,100.0,94.0
1779107347061,2026-05-18T12:29:07.061696+00:00,10.88,99.5,94.0
1779107348061,2026-05-18T12:29:08.061776+00:00,10.87,99.5,96.0
1779107349061,2026-05-18T12:29:09.061857+00:00,10.87,99.5,96.0
1779107350061,2026-05-18T12:29:10.061940+00:00,10.86,99.7,93.0
1779107351061,2026-05-18T12:29:11.061988+00:00,10.99,100.0,93.0
1779107352062,2026-05-18T12:29:12.062091+00:00,10.99,100.0,93.0
1779107353062,2026-05-18T12:29:13.062183+00:00,10.91,99.7,96.0
1779107354062,2026-05-18T12:29:14.062274+00:00,10.89,99.5,96.0
1779107355062,2026-05-18T12:29:15.062366+00:00,10.91,99.5,96.0
1779107356062,2026-05-18T12:29:16.062459+00:00,10.94,100.0,96.0
1779107357062,2026-05-18T12:29:17.062552+00:00,10.36,99.8,92.0
1779107358062,2026-05-18T12:29:18.062645+00:00,10.16,100.0,92.0
1779107359062,2026-05-18T12:29:19.062747+00:00,10.04,99.8,92.0
1779107360062,2026-05-18T12:29:20.062832+00:00,10.18,99.8,94.0
1779107361062,2026-05-18T12:29:21.062925+00:00,10.21,99.5,94.0
1779107362063,2026-05-18T12:29:22.063016+00:00,10.19,99.8,89.0
1779107363063,2026-05-18T12:29:23.063104+00:00,10.24,99.5,89.0
1779107364063,2026-05-18T12:29:24.063193+00:00,10.26,99.5,93.0
1779107365063,2026-05-18T12:29:25.063300+00:00,10.3,99.7,92.0
1779107366063,2026-05-18T12:29:26.063384+00:00,10.21,99.5,92.0
1779107367063,2026-05-18T12:29:27.063471+00:00,10.25,99.5,94.0
1779107368063,2026-05-18T12:29:28.063559+00:00,10.25,100.0,88.0
1779107369063,2026-05-18T12:29:29.063629+00:00,10.3,99.5,88.0
1779107370063,2026-05-18T12:29:30.063712+00:00,10.28,100.0,92.0
1779107371063,2026-05-18T12:29:31.063771+00:00,10.3,99.5,92.0
1779107372063,2026-05-18T12:29:32.063860+00:00,10.25,99.5,93.0
1779107373063,2026-05-18T12:29:33.063951+00:00,10.35,100.0,93.0
1779107374064,2026-05-18T12:29:34.064032+00:00,10.25,100.0,88.0
1779107375064,2026-05-18T12:29:35.064100+00:00,10.32,99.8,93.0
1779107376064,2026-05-18T12:29:36.064191+00:00,10.29,100.0,93.0
