timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1779117282705,2026-05-18T15:14:42.705664+00:00,1.03,7.1,55.0
1779117283705,2026-05-18T15:14:43.705920+00:00,1.78,25.5,55.0
1779117284706,2026-05-18T15:14:44.706082+00:00,2.26,27.7,57.0
1779117285707,2026-05-18T15:14:45.707876+00:00,2.22,28.0,57.0
1779117286707,2026-05-18T15:14:46.707976+00:00,2.51,24.9,60.0
1779117287708,2026-05-18T15:14:47.708073+00:00,2.17,29.0,60.0
1779117288708,2026-05-18T15:14:48.708268+00:00,2.35,30.5,60.0
1779117289708,2026-05-18T15:14:49.708386+00:00,2.06,28.1,60.0
1779117290708,2026-05-18T15:14:50.708543+00:00,2.26,30.9,58.0
1779117291708,2026-05-18T15:14:51.708681+00:00,2.48,27.3,58.0
1779117292711,2026-05-18T15:14:52.711799+00:00,2.21,28.2,60.0
1779117293711,2026-05-18T15:14:53.711937+00:00,2.39,29.0,57.0
1779117294712,2026-05-18T15:14:54.712006+00:00,2.3,31.5,57.0
1779117295712,2026-05-18T15:14:55.712231+00:00,2.09,29.1,58.0
1779117296712,2026-05-18T15:14:56.712426+00:00,2.44,29.9,60.0
1779117297712,2026-05-18T15:14:57.712512+00:00,2.32,26.9,60.0
1779117298712,2026-05-18T15:14:58.712659+00:00,2.38,28.9,58.0
1779117299712,2026-05-18T15:14:59.712933+00:00,2.28,30.5,58.0
1779117300713,2026-05-18T15:15:00.713008+00:00,2.33,28.4,60.0
1779117301713,2026-05-18T15:15:01.713157+00:00,1.99,31.5,58.0
1779117302713,2026-05-18T15:15:02.713440+00:00,2.52,30.8,59.0
1779117303713,2026-05-18T15:15:03.713541+00:00,2.22,27.4,59.0
1779117304713,2026-05-18T15:15:04.713694+00:00,2.32,28.1,58.0
1779117305713,2026-05-18T15:15:05.713847+00:00,2.52,31.3,58.0
1779117306714,2026-05-18T15:15:06.714815+00:00,2.08,26.9,60.0
1779117307715,2026-05-18T15:15:07.715100+00:00,2.29,29.7,60.0
1779117308715,2026-05-18T15:15:08.715218+00:00,2.54,29.4,61.0
1779117309715,2026-05-18T15:15:09.715408+00:00,1.31,10.4,57.0
1779117310715,2026-05-18T15:15:10.715597+00:00,1.06,2.5,57.0
1779117311715,2026-05-18T15:15:11.715756+00:00,1.6,12.9,61.0
1779117312715,2026-05-18T15:15:12.715803+00:00,2.89,36.3,61.0
1779117313715,2026-05-18T15:15:13.715852+00:00,2.46,30.9,61.0
1779117314715,2026-05-18T15:15:14.715956+00:00,2.3,27.8,61.0
1779117315716,2026-05-18T15:15:15.716056+00:00,2.26,28.7,61.0
1779117316716,2026-05-18T15:15:16.716161+00:00,2.33,28.6,61.0
1779117317716,2026-05-18T15:15:17.716282+00:00,2.59,29.6,59.0
1779117318718,2026-05-18T15:15:18.718825+00:00,2.32,29.3,60.0
1779117319718,2026-05-18T15:15:19.718939+00:00,2.26,31.4,60.0
1779117320719,2026-05-18T15:15:20.719095+00:00,2.19,30.4,60.0
1779117321719,2026-05-18T15:15:21.719185+00:00,2.03,35.4,66.0
1779117322719,2026-05-18T15:15:22.719301+00:00,2.56,25.6,66.0
1779117323719,2026-05-18T15:15:23.719703+00:00,2.21,34.1,60.0
1779117324719,2026-05-18T15:15:24.719868+00:00,2.42,25.6,59.0
1779117325719,2026-05-18T15:15:25.719987+00:00,2.48,28.2,59.0
1779117326720,2026-05-18T15:15:26.720177+00:00,2.18,30.0,59.0
1779117327720,2026-05-18T15:15:27.720413+00:00,2.56,27.1,59.0
1779117328720,2026-05-18T15:15:28.720984+00:00,2.03,32.4,58.0
1779117329721,2026-05-18T15:15:29.721064+00:00,2.36,31.5,58.0
1779117330721,2026-05-18T15:15:30.721156+00:00,2.28,27.8,60.0
1779117331721,2026-05-18T15:15:31.721283+00:00,2.37,31.9,58.0
1779117332721,2026-05-18T15:15:32.721349+00:00,2.49,29.7,58.0
1779117333721,2026-05-18T15:15:33.721451+00:00,2.32,29.5,59.0
1779117334721,2026-05-18T15:15:34.721709+00:00,2.32,32.7,59.0
1779117335721,2026-05-18T15:15:35.721887+00:00,2.14,28.6,58.0
1779117336722,2026-05-18T15:15:36.722056+00:00,2.27,34.3,58.0
1779117337722,2026-05-18T15:15:37.722152+00:00,2.36,26.5,58.0
1779117338722,2026-05-18T15:15:38.722423+00:00,2.44,29.9,59.0
1779117339723,2026-05-18T15:15:39.723831+00:00,2.3,29.8,59.0
1779117340723,2026-05-18T15:15:40.723944+00:00,2.34,29.5,60.0
1779117341724,2026-05-18T15:15:41.724055+00:00,2.61,26.7,60.0
1779117342724,2026-05-18T15:15:42.724154+00:00,2.25,29.3,60.0
1779117343724,2026-05-18T15:15:43.724528+00:00,2.44,29.7,60.0
1779117344724,2026-05-18T15:15:44.724620+00:00,2.14,32.1,58.0
1779117345724,2026-05-18T15:15:45.724870+00:00,2.55,28.3,58.0
1779117346724,2026-05-18T15:15:46.724940+00:00,2.32,29.5,65.0
1779117347725,2026-05-18T15:15:47.725116+00:00,2.37,28.9,58.0
1779117348725,2026-05-18T15:15:48.725251+00:00,2.2,30.5,58.0
1779117349725,2026-05-18T15:15:49.725371+00:00,2.44,30.4,60.0
1779117350725,2026-05-18T15:15:50.725544+00:00,2.06,32.6,59.0
1779117351725,2026-05-18T15:15:51.725669+00:00,2.26,33.1,60.0
1779117352725,2026-05-18T15:15:52.725973+00:00,1.94,33.5,60.0
1779117353727,2026-05-18T15:15:53.727945+00:00,2.37,29.3,68.0
1779117354728,2026-05-18T15:15:54.728042+00:00,2.38,27.1,59.0
1779117355728,2026-05-18T15:15:55.728111+00:00,2.5,31.8,59.0
1779117356728,2026-05-18T15:15:56.728280+00:00,2.24,26.7,59.0
1779117357729,2026-05-18T15:15:57.729803+00:00,2.25,32.8,59.0
1779117358729,2026-05-18T15:15:58.729954+00:00,2.28,28.6,60.0
1779117359730,2026-05-18T15:15:59.730042+00:00,2.27,33.3,60.0
1779117360730,2026-05-18T15:16:00.730143+00:00,2.27,28.7,60.0
1779117361730,2026-05-18T15:16:01.730228+00:00,2.28,32.0,60.0
1779117362730,2026-05-18T15:16:02.730507+00:00,2.34,30.2,60.0
1779117363730,2026-05-18T15:16:03.730638+00:00,2.43,32.1,60.0
1779117364730,2026-05-18T15:16:04.730835+00:00,2.17,30.5,61.0
1779117365730,2026-05-18T15:16:05.730911+00:00,2.52,28.1,61.0
1779117366731,2026-05-18T15:16:06.731005+00:00,2.29,30.8,61.0
1779117367731,2026-05-18T15:16:07.731300+00:00,2.3,31.3,58.0
1779117368731,2026-05-18T15:16:08.731374+00:00,2.11,32.0,58.0
1779117369731,2026-05-18T15:16:09.731497+00:00,2.34,31.3,61.0
1779117370731,2026-05-18T15:16:10.731645+00:00,2.37,28.6,61.0
1779117371731,2026-05-18T15:16:11.731837+00:00,2.27,33.8,58.0
1779117372731,2026-05-18T15:16:12.731932+00:00,2.2,29.1,58.0
1779117373732,2026-05-18T15:16:13.732201+00:00,2.42,29.3,60.0
1779117374732,2026-05-18T15:16:14.732510+00:00,2.59,27.6,58.0
1779117375732,2026-05-18T15:16:15.732587+00:00,2.24,29.7,58.0
1779117376732,2026-05-18T15:16:16.732859+00:00,2.16,36.4,61.0
1779117377732,2026-05-18T15:16:17.732953+00:00,2.42,26.1,61.0
1779117378733,2026-05-18T15:16:18.733070+00:00,2.26,30.5,61.0
1779117379733,2026-05-18T15:16:19.733174+00:00,2.36,33.0,61.0
1779117380733,2026-05-18T15:16:20.733320+00:00,2.17,29.7,61.0
1779117381733,2026-05-18T15:16:21.733616+00:00,2.34,31.1,60.0
1779117382733,2026-05-18T15:16:22.733816+00:00,2.08,32.7,60.0
1779117383733,2026-05-18T15:16:23.733888+00:00,2.51,30.4,69.0
1779117384734,2026-05-18T15:16:24.734007+00:00,2.26,28.3,60.0
1779117385734,2026-05-18T15:16:25.734115+00:00,2.43,30.2,61.0
1779117386734,2026-05-18T15:16:26.734355+00:00,2.52,27.6,70.0
1779117387734,2026-05-18T15:16:27.734536+00:00,2.18,29.6,70.0
1779117388734,2026-05-18T15:16:28.734828+00:00,2.47,29.4,61.0
1779117389734,2026-05-18T15:16:29.734946+00:00,2.28,28.1,61.0
1779117390735,2026-05-18T15:16:30.735085+00:00,2.55,26.8,60.0
1779117391735,2026-05-18T15:16:31.735256+00:00,1.62,12.2,60.0
1779117392735,2026-05-18T15:16:32.735422+00:00,1.06,2.8,58.0
1779117393735,2026-05-18T15:16:33.735593+00:00,1.04,2.5,58.0
1779117394735,2026-05-18T15:16:34.735707+00:00,3.15,34.8,62.0
1779117395735,2026-05-18T15:16:35.735887+00:00,2.38,30.7,62.0
1779117396736,2026-05-18T15:16:36.736052+00:00,1.74,19.9,59.0
1779117397736,2026-05-18T15:16:37.736145+00:00,1.81,19.6,59.0
1779117398736,2026-05-18T15:16:38.736402+00:00,2.18,29.0,63.0
1779117399736,2026-05-18T15:16:39.736516+00:00,2.15,29.0,59.0
1779117400736,2026-05-18T15:16:40.736594+00:00,2.25,29.4,59.0
1779117401736,2026-05-18T15:16:41.736889+00:00,2.58,26.1,59.0
1779117402736,2026-05-18T15:16:42.736967+00:00,2.28,28.7,60.0
1779117403737,2026-05-18T15:16:43.737092+00:00,1.63,19.4,58.0
