timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1779116623018,2026-05-18T15:03:43.018443+00:00,0.0014,0.0027
1779116624018,2026-05-18T15:03:44.018721+00:00,0.0117,4.8043
1779116625019,2026-05-18T15:03:45.019038+00:00,0.0126,4.8045
1779116626021,2026-05-18T15:03:46.021827+00:00,0.0145,4.805
1779116627021,2026-05-18T15:03:47.021924+00:00,0.0167,7.2063
1779116628022,2026-05-18T15:03:48.022219+00:00,0.013,4.8045
1779116629022,2026-05-18T15:03:49.022324+00:00,0.0163,7.1586
1779116630022,2026-05-18T15:03:50.022432+00:00,0.0134,4.8527
1779116631022,2026-05-18T15:03:51.022615+00:00,0.0117,4.8045
1779116632022,2026-05-18T15:03:52.022733+00:00,0.0141,4.805
1779116633022,2026-05-18T15:03:53.022905+00:00,0.0174,7.2063
1779116634023,2026-05-18T15:03:54.023111+00:00,0.0127,4.8045
1779116635023,2026-05-18T15:03:55.023219+00:00,0.0131,4.805
1779116636023,2026-05-18T15:03:56.023503+00:00,0.0165,7.2063
1779116637023,2026-05-18T15:03:57.023668+00:00,0.0124,4.8045
1779116638023,2026-05-18T15:03:58.023834+00:00,0.0118,4.8045
1779116639023,2026-05-18T15:03:59.023960+00:00,0.0161,6.2489
1779116640024,2026-05-18T15:04:00.024149+00:00,0.0143,5.7623
1779116641024,2026-05-18T15:04:01.024309+00:00,0.0126,4.8045
1779116642024,2026-05-18T15:04:02.024442+00:00,0.0142,4.805
1779116643024,2026-05-18T15:04:03.024726+00:00,0.0168,7.2063
1779116644024,2026-05-18T15:04:04.024933+00:00,0.0126,4.8045
1779116645025,2026-05-18T15:04:05.025031+00:00,0.0122,4.8045
1779116646025,2026-05-18T15:04:06.025203+00:00,0.0189,7.2067
1779116647025,2026-05-18T15:04:07.025487+00:00,0.013,4.8045
1779116648025,2026-05-18T15:04:08.025600+00:00,0.0122,4.8045
1779116649025,2026-05-18T15:04:09.025804+00:00,0.0119,4.8045
1779116650028,2026-05-18T15:04:10.028823+00:00,0.0142,4.8049
1779116651028,2026-05-18T15:04:11.028938+00:00,0.0165,7.2063
1779116652029,2026-05-18T15:04:12.029058+00:00,0.0085,2.4028
1779116653029,2026-05-18T15:04:13.029222+00:00,0.0002,0.0001
1779116654029,2026-05-18T15:04:14.029312+00:00,0.0056,2.4022
1779116655029,2026-05-18T15:04:15.029418+00:00,0.013,4.8045
1779116656029,2026-05-18T15:04:16.029567+00:00,0.013,4.8045
1779116657029,2026-05-18T15:04:17.029859+00:00,0.0124,4.8046
1779116658029,2026-05-18T15:04:18.029960+00:00,0.0145,4.805
1779116659030,2026-05-18T15:04:19.030062+00:00,0.0172,7.2063
1779116660030,2026-05-18T15:04:20.030340+00:00,0.0128,4.8045
1779116661030,2026-05-18T15:04:21.030624+00:00,0.0129,4.8046
1779116662030,2026-05-18T15:04:22.030750+00:00,0.0178,7.2067
1779116663030,2026-05-18T15:04:23.030897+00:00,0.0122,4.8045
1779116664031,2026-05-18T15:04:24.031206+00:00,0.0129,4.8047
1779116665031,2026-05-18T15:04:25.031431+00:00,0.0151,4.805
1779116666031,2026-05-18T15:04:26.031598+00:00,0.017,7.2063
1779116667031,2026-05-18T15:04:27.031860+00:00,0.0131,4.8045
1779116668032,2026-05-18T15:04:28.032141+00:00,0.0128,4.8045
1779116669032,2026-05-18T15:04:29.032237+00:00,0.0187,7.2067
1779116670032,2026-05-18T15:04:30.032348+00:00,0.0122,4.8045
1779116671032,2026-05-18T15:04:31.032647+00:00,0.0126,4.8045
1779116672032,2026-05-18T15:04:32.032751+00:00,0.0153,6.6099
1779116673032,2026-05-18T15:04:33.032894+00:00,0.0154,5.4014
1779116674033,2026-05-18T15:04:34.033212+00:00,0.0125,4.8045
1779116675033,2026-05-18T15:04:35.033325+00:00,0.0161,6.9275
1779116676033,2026-05-18T15:04:36.033494+00:00,0.0154,5.0837
1779116677033,2026-05-18T15:04:37.033665+00:00,0.0128,4.8045
1779116678033,2026-05-18T15:04:38.033808+00:00,0.0145,4.805
1779116679033,2026-05-18T15:04:39.033988+00:00,0.0161,7.2063
1779116680034,2026-05-18T15:04:40.034133+00:00,0.0127,4.8045
1779116681035,2026-05-18T15:04:41.035825+00:00,0.0145,4.805
1779116682036,2026-05-18T15:04:42.036119+00:00,0.0167,7.2063
1779116683036,2026-05-18T15:04:43.036290+00:00,0.0125,4.8045
1779116684036,2026-05-18T15:04:44.036464+00:00,0.012,4.8045
1779116685036,2026-05-18T15:04:45.036559+00:00,0.014,4.805
1779116686036,2026-05-18T15:04:46.036869+00:00,0.0168,7.2063
1779116687036,2026-05-18T15:04:47.036967+00:00,0.0126,4.8045
1779116688037,2026-05-18T15:04:48.037070+00:00,0.0136,4.8045
1779116689037,2026-05-18T15:04:49.037189+00:00,0.0164,7.2067
1779116690037,2026-05-18T15:04:50.037302+00:00,0.0117,4.8045
1779116691037,2026-05-18T15:04:51.037486+00:00,0.0121,4.8044
1779116692037,2026-05-18T15:04:52.037656+00:00,0.0188,7.2068
1779116693037,2026-05-18T15:04:53.037945+00:00,0.0119,4.8045
1779116694038,2026-05-18T15:04:54.038211+00:00,0.0127,4.8045
1779116695038,2026-05-18T15:04:55.038366+00:00,0.0142,4.805
1779116696038,2026-05-18T15:04:56.038536+00:00,0.0164,7.2063
1779116697038,2026-05-18T15:04:57.038841+00:00,0.0131,4.8045
1779116698039,2026-05-18T15:04:58.039021+00:00,0.0121,4.8045
1779116699039,2026-05-18T15:04:59.039111+00:00,0.0145,4.805
1779116700039,2026-05-18T15:05:00.039214+00:00,0.0169,7.2063
1779116701039,2026-05-18T15:05:01.039487+00:00,0.0134,4.8045
1779116702039,2026-05-18T15:05:02.039663+00:00,0.0126,4.8045
1779116703039,2026-05-18T15:05:03.039741+00:00,0.0178,7.2067
1779116704039,2026-05-18T15:05:04.039918+00:00,0.0124,4.8045
1779116705040,2026-05-18T15:05:05.040090+00:00,0.013,4.8045
1779116706041,2026-05-18T15:05:06.041411+00:00,0.0146,5.7291
1779116707041,2026-05-18T15:05:07.041584+00:00,0.0159,6.2821
1779116708041,2026-05-18T15:05:08.041742+00:00,0.0131,4.8045
1779116709042,2026-05-18T15:05:09.042018+00:00,0.0135,4.8045
1779116710042,2026-05-18T15:05:10.042099+00:00,0.0146,5.2627
1779116711042,2026-05-18T15:05:11.042220+00:00,0.0174,6.7485
1779116712042,2026-05-18T15:05:12.042371+00:00,0.0132,4.8045
1779116713044,2026-05-18T15:05:13.044837+00:00,0.0144,4.805
1779116714045,2026-05-18T15:05:14.045022+00:00,0.0164,7.2067
1779116715045,2026-05-18T15:05:15.045187+00:00,0.0125,4.8045
1779116716045,2026-05-18T15:05:16.045458+00:00,0.0127,4.8045
1779116717046,2026-05-18T15:05:17.046812+00:00,0.0139,4.805
1779116718046,2026-05-18T15:05:18.046996+00:00,0.0163,7.2063
1779116719047,2026-05-18T15:05:19.047084+00:00,0.0128,4.8046
1779116720047,2026-05-18T15:05:20.047361+00:00,0.0124,4.8051
1779116721047,2026-05-18T15:05:21.047481+00:00,0.0126,4.8046
1779116722047,2026-05-18T15:05:22.047624+00:00,0.0196,7.2067
1779116723047,2026-05-18T15:05:23.047787+00:00,0.0135,4.8045
1779116724048,2026-05-18T15:05:24.048048+00:00,0.0125,4.8045
1779116725048,2026-05-18T15:05:25.048134+00:00,0.0143,4.805
1779116726048,2026-05-18T15:05:26.048236+00:00,0.0166,7.2063
1779116727048,2026-05-18T15:05:27.048543+00:00,0.0126,4.8045
1779116728048,2026-05-18T15:05:28.048861+00:00,0.0123,4.8045
1779116729048,2026-05-18T15:05:29.048999+00:00,0.0117,4.8045
1779116730049,2026-05-18T15:05:30.049271+00:00,0.0185,7.2068
1779116731049,2026-05-18T15:05:31.049551+00:00,0.0138,4.8045
1779116732049,2026-05-18T15:05:32.049704+00:00,0.0129,4.8045
1779116733049,2026-05-18T15:05:33.049873+00:00,0.0129,4.8045
1779116734049,2026-05-18T15:05:34.049970+00:00,0.0137,4.805
1779116735050,2026-05-18T15:05:35.050083+00:00,0.0002,0.0001
1779116736050,2026-05-18T15:05:36.050182+00:00,0.0001,0.0001
1779116737050,2026-05-18T15:05:37.050803+00:00,0.0149,5.7056
1779116738050,2026-05-18T15:05:38.050925+00:00,0.0172,6.3052
1779116739051,2026-05-18T15:05:39.051041+00:00,0.0131,4.8046
1779116740051,2026-05-18T15:05:40.051323+00:00,0.0124,4.8045
1779116741051,2026-05-18T15:05:41.051615+00:00,0.0129,4.8046
1779116742051,2026-05-18T15:05:42.051718+00:00,0.0156,6.1045
1779116743051,2026-05-18T15:05:43.051886+00:00,0.0166,5.9068
1779116744052,2026-05-18T15:05:44.052174+00:00,0.002,0.0008
