timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c,cpu_energy_j_cumulative
1785017125763,2026-07-25T22:05:25.763876+00:00,1.08,6.3,63.0,1.081
1785017126763,2026-07-25T22:05:26.763952+00:00,9.3,78.4,63.0,10.383
1785017127764,2026-07-25T22:05:27.764031+00:00,11.21,99.7,96.0,21.592
1785017128764,2026-07-25T22:05:28.764124+00:00,11.06,99.7,96.0,32.652
1785017129764,2026-07-25T22:05:29.764208+00:00,11.0,99.8,95.0,43.65
1785017130764,2026-07-25T22:05:30.764296+00:00,10.83,99.5,95.0,54.483
1785017131764,2026-07-25T22:05:31.764382+00:00,11.09,99.5,94.0,65.569
1785017132764,2026-07-25T22:05:32.764466+00:00,10.95,99.3,94.0,76.518
1785017133764,2026-07-25T22:05:33.764553+00:00,10.99,99.7,93.0,87.506
1785017134764,2026-07-25T22:05:34.764637+00:00,10.97,99.5,93.0,98.481
1785017135764,2026-07-25T22:05:35.764726+00:00,10.9,99.3,95.0,109.378
1785017136764,2026-07-25T22:05:36.764806+00:00,10.93,99.7,95.0,120.307
1785017137764,2026-07-25T22:05:37.764891+00:00,10.89,98.8,94.0,131.193
1785017138764,2026-07-25T22:05:38.764979+00:00,11.14,99.5,98.0,142.339
1785017139765,2026-07-25T22:05:39.765067+00:00,10.8,98.8,98.0,153.141
1785017140765,2026-07-25T22:05:40.765151+00:00,10.93,100.0,93.0,164.074
1785017141765,2026-07-25T22:05:41.765237+00:00,10.88,99.3,93.0,174.955
1785017142765,2026-07-25T22:05:42.765320+00:00,10.85,99.8,95.0,185.808
1785017143765,2026-07-25T22:05:43.765404+00:00,10.98,100.0,95.0,196.788
1785017144765,2026-07-25T22:05:44.765488+00:00,10.81,99.0,95.0,207.597
1785017145765,2026-07-25T22:05:45.765568+00:00,10.83,99.8,92.0,218.432
1785017146765,2026-07-25T22:05:46.765634+00:00,10.81,99.2,92.0,229.243
1785017147765,2026-07-25T22:05:47.765717+00:00,10.71,99.5,95.0,239.953
1785017148765,2026-07-25T22:05:48.765796+00:00,10.81,99.8,95.0,250.762
1785017149765,2026-07-25T22:05:49.765846+00:00,10.73,100.0,97.0,261.49
1785017150765,2026-07-25T22:05:50.765937+00:00,10.77,99.3,93.0,272.265
