timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1789656913199,2026-09-17T14:55:13.199643+00:00,1.43,9.8,53.0
1789656914199,2026-09-17T14:55:14.199732+00:00,9.03,79.9,53.0
1789656915199,2026-09-17T14:55:15.199817+00:00,11.06,98.8,84.0
1789656916199,2026-09-17T14:55:16.199906+00:00,11.04,98.2,84.0
1789656917199,2026-09-17T14:55:17.199991+00:00,11.08,98.8,82.0
1789656918200,2026-09-17T14:55:18.200081+00:00,11.05,98.2,82.0
1789656919200,2026-09-17T14:55:19.200170+00:00,11.09,98.5,88.0
1789656920200,2026-09-17T14:55:20.200257+00:00,11.07,98.5,88.0
1789656921200,2026-09-17T14:55:21.200337+00:00,11.06,98.5,75.0
1789656922200,2026-09-17T14:55:22.200422+00:00,11.29,99.0,75.0
1789656923200,2026-09-17T14:55:23.200504+00:00,11.01,98.7,83.0
1789656924200,2026-09-17T14:55:24.200594+00:00,11.2,98.5,88.0
1789656925200,2026-09-17T14:55:25.200675+00:00,11.27,98.7,88.0
1789656926200,2026-09-17T14:55:26.200755+00:00,10.78,99.2,88.0
1789656927200,2026-09-17T14:55:27.200845+00:00,10.56,96.0,88.0
1789656928200,2026-09-17T14:55:28.200957+00:00,10.88,97.5,88.0
1789656929201,2026-09-17T14:55:29.201060+00:00,11.43,99.3,88.0
1789656930201,2026-09-17T14:55:30.201146+00:00,10.95,98.0,84.0
1789656931201,2026-09-17T14:55:31.201239+00:00,11.27,98.7,84.0
1789656932201,2026-09-17T14:55:32.201332+00:00,11.15,98.2,88.0
1789656933201,2026-09-17T14:55:33.201421+00:00,10.53,95.5,88.0
1789656934201,2026-09-17T14:55:34.201508+00:00,11.34,98.3,90.0
1789656935201,2026-09-17T14:55:35.201590+00:00,11.6,99.2,90.0
1789656936201,2026-09-17T14:55:36.201657+00:00,11.56,99.5,91.0
1789656937201,2026-09-17T14:55:37.201736+00:00,11.57,99.0,85.0
1789656938201,2026-09-17T14:55:38.201779+00:00,11.28,98.7,85.0
1789656939201,2026-09-17T14:55:39.201868+00:00,11.22,98.2,91.0
1789656940201,2026-09-17T14:55:40.201957+00:00,11.15,98.2,91.0
1789656941202,2026-09-17T14:55:41.202036+00:00,11.17,98.3,83.0
1789656942202,2026-09-17T14:55:42.202134+00:00,10.95,97.7,83.0
1789656943202,2026-09-17T14:55:43.202221+00:00,10.85,96.5,88.0
1789656944202,2026-09-17T14:55:44.202308+00:00,11.51,99.5,88.0
1789656945202,2026-09-17T14:55:45.202394+00:00,11.36,98.5,88.0
1789656946202,2026-09-17T14:55:46.202482+00:00,11.43,99.2,89.0
1789656947202,2026-09-17T14:55:47.202568+00:00,11.48,99.8,89.0
1789656948202,2026-09-17T14:55:48.202655+00:00,11.65,99.5,87.0
1789656949202,2026-09-17T14:55:49.202741+00:00,11.67,100.0,88.0
1789656950202,2026-09-17T14:55:50.202820+00:00,11.65,99.8,89.0
1789656951202,2026-09-17T14:55:51.202905+00:00,11.68,99.7,89.0
