timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770902801714,2026-02-12T13:26:41.714788+00:00,0.68,0.8,49.0
1770902802715,2026-02-12T13:26:42.715067+00:00,1.56,12.4,49.0
1770902803715,2026-02-12T13:26:43.715133+00:00,1.89,19.7,53.0
1770902804717,2026-02-12T13:26:44.717153+00:00,2.05,18.8,60.0
1770902805717,2026-02-12T13:26:45.717344+00:00,2.07,15.8,53.0
1770902806717,2026-02-12T13:26:46.717435+00:00,1.79,18.9,53.0
1770902807719,2026-02-12T13:26:47.719152+00:00,1.95,17.1,58.0
1770902808721,2026-02-12T13:26:48.721109+00:00,1.79,17.4,60.0
1770902809721,2026-02-12T13:26:49.721199+00:00,1.98,17.1,52.0
1770902810721,2026-02-12T13:26:50.721354+00:00,1.63,21.9,51.0
1770902811721,2026-02-12T13:26:51.721483+00:00,1.78,20.5,51.0
1770902812721,2026-02-12T13:26:52.721571+00:00,1.92,19.0,61.0
1770902813721,2026-02-12T13:26:53.721783+00:00,1.87,15.5,53.0
1770902814721,2026-02-12T13:26:54.721926+00:00,1.83,21.1,53.0
1770902815722,2026-02-12T13:26:55.722086+00:00,1.79,21.3,53.0
1770902816722,2026-02-12T13:26:56.722236+00:00,2.04,21.7,52.0
1770902817722,2026-02-12T13:26:57.722345+00:00,1.83,16.3,52.0
1770902818722,2026-02-12T13:26:58.722490+00:00,1.86,18.4,53.0
1770902819722,2026-02-12T13:26:59.722632+00:00,2.08,17.2,53.0
1770902820722,2026-02-12T13:27:00.722807+00:00,1.74,18.0,53.0
1770902821722,2026-02-12T13:27:01.722889+00:00,1.91,15.6,53.0
1770902822722,2026-02-12T13:27:02.722985+00:00,1.79,18.6,53.0
1770902823723,2026-02-12T13:27:03.723153+00:00,2.09,18.6,53.0
1770902824723,2026-02-12T13:27:04.723456+00:00,1.75,17.9,53.0
1770902825723,2026-02-12T13:27:05.723600+00:00,1.83,15.5,53.0
1770902826723,2026-02-12T13:27:06.723689+00:00,1.79,15.4,55.0
1770902827723,2026-02-12T13:27:07.723858+00:00,1.87,22.9,55.0
1770902828724,2026-02-12T13:27:08.724017+00:00,1.75,18.4,55.0
1770902829724,2026-02-12T13:27:09.724162+00:00,1.95,15.6,55.0
1770902830724,2026-02-12T13:27:10.724264+00:00,1.83,18.1,53.0
