timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770903602157,2026-02-12T13:40:02.157631+00:00,0.68,1.0,53.0
1770903603157,2026-02-12T13:40:03.157750+00:00,1.37,9.5,53.0
1770903604158,2026-02-12T13:40:04.158034+00:00,1.61,18.8,54.0
1770903605158,2026-02-12T13:40:05.158200+00:00,1.77,15.4,54.0
1770903606158,2026-02-12T13:40:06.158283+00:00,1.59,13.6,54.0
1770903607158,2026-02-12T13:40:07.158578+00:00,1.73,16.2,53.0
1770903608158,2026-02-12T13:40:08.158716+00:00,1.89,15.5,53.0
1770903609158,2026-02-12T13:40:09.158812+00:00,1.67,17.7,59.0
1770903610158,2026-02-12T13:40:10.158935+00:00,1.54,14.4,59.0
1770903611159,2026-02-12T13:40:11.159072+00:00,1.85,15.1,55.0
1770903612159,2026-02-12T13:40:12.159301+00:00,1.54,21.1,55.0
1770903613159,2026-02-12T13:40:13.159430+00:00,1.78,15.4,55.0
1770903614159,2026-02-12T13:40:14.159554+00:00,1.46,16.2,55.0
1770903615159,2026-02-12T13:40:15.159695+00:00,1.66,17.0,55.0
1770903616159,2026-02-12T13:40:16.159859+00:00,1.72,18.1,55.0
1770903617159,2026-02-12T13:40:17.159948+00:00,1.68,15.4,58.0
1770903618160,2026-02-12T13:40:18.160058+00:00,1.47,19.2,58.0
1770903619160,2026-02-12T13:40:19.160174+00:00,1.75,16.2,54.0
1770903620160,2026-02-12T13:40:20.160263+00:00,1.79,17.6,54.0
1770903621160,2026-02-12T13:40:21.160777+00:00,1.73,16.8,64.0
1770903622160,2026-02-12T13:40:22.160871+00:00,1.53,14.0,56.0
1770903623161,2026-02-12T13:40:23.161183+00:00,1.69,16.8,54.0
1770903624161,2026-02-12T13:40:24.161274+00:00,1.7,18.3,54.0
1770903625161,2026-02-12T13:40:25.161390+00:00,1.86,15.5,58.0
1770903626161,2026-02-12T13:40:26.161533+00:00,1.48,14.2,58.0
1770903627161,2026-02-12T13:40:27.161631+00:00,1.84,14.8,55.0
1770903628161,2026-02-12T13:40:28.161842+00:00,1.81,14.5,55.0
1770903629162,2026-02-12T13:40:29.162008+00:00,1.81,15.2,55.0
1770903630162,2026-02-12T13:40:30.162155+00:00,1.84,17.7,56.0
1770903631162,2026-02-12T13:40:31.162250+00:00,1.55,14.9,56.0
1770903632162,2026-02-12T13:40:32.162392+00:00,1.78,15.5,55.0
1770903633162,2026-02-12T13:40:33.162683+00:00,1.79,18.9,55.0
1770903634162,2026-02-12T13:40:34.162920+00:00,1.83,14.9,55.0
1770903635163,2026-02-12T13:40:35.163114+00:00,1.77,17.2,56.0
1770903636163,2026-02-12T13:40:36.163234+00:00,1.54,14.2,56.0
1770903637163,2026-02-12T13:40:37.163335+00:00,1.7,16.5,55.0
1770903638163,2026-02-12T13:40:38.163623+00:00,1.83,14.9,55.0
1770903639163,2026-02-12T13:40:39.163728+00:00,1.83,15.7,55.0
1770903640163,2026-02-12T13:40:40.163864+00:00,1.88,17.1,58.0
1770903641163,2026-02-12T13:40:41.163993+00:00,1.67,12.2,58.0
