timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770648097703,2026-02-09T14:41:37.703355+00:00,0.67,0.5,63.0
1770648098703,2026-02-09T14:41:38.703433+00:00,9.5,81.2,63.0
1770648099703,2026-02-09T14:41:39.703523+00:00,10.86,100.0,96.0
1770648100703,2026-02-09T14:41:40.703597+00:00,10.77,99.7,96.0
1770648101703,2026-02-09T14:41:41.703697+00:00,10.66,99.8,94.0
1770648102703,2026-02-09T14:41:42.703788+00:00,10.6,99.7,94.0
1770648103703,2026-02-09T14:41:43.703879+00:00,10.53,99.7,94.0
1770648104703,2026-02-09T14:41:44.703966+00:00,10.47,100.0,94.0
1770648105704,2026-02-09T14:41:45.704058+00:00,10.42,100.0,94.0
1770648106704,2026-02-09T14:41:46.704151+00:00,10.45,100.0,94.0
1770648107704,2026-02-09T14:41:47.704242+00:00,10.48,99.8,94.0
1770648108704,2026-02-09T14:41:48.704334+00:00,10.42,100.0,93.0
1770648109704,2026-02-09T14:41:49.704434+00:00,10.38,99.7,96.0
1770648110704,2026-02-09T14:41:50.704522+00:00,10.34,99.7,96.0
1770648111704,2026-02-09T14:41:51.704594+00:00,10.32,99.5,94.0
1770648112705,2026-02-09T14:41:52.705590+00:00,10.44,100.0,96.0
1770648113705,2026-02-09T14:41:53.705678+00:00,10.45,100.0,94.0
1770648114705,2026-02-09T14:41:54.705777+00:00,10.52,100.0,96.0
1770648115705,2026-02-09T14:41:55.705875+00:00,10.39,99.7,96.0
1770648116705,2026-02-09T14:41:56.705973+00:00,10.37,100.0,94.0
1770648117706,2026-02-09T14:41:57.706071+00:00,10.34,99.8,96.0
1770648118706,2026-02-09T14:41:58.706164+00:00,10.31,99.7,96.0
1770648119706,2026-02-09T14:41:59.706258+00:00,10.35,99.7,93.0
1770648120706,2026-02-09T14:42:00.706347+00:00,10.18,99.7,95.0
1770648121706,2026-02-09T14:42:01.706448+00:00,10.27,100.0,96.0
1770648122706,2026-02-09T14:42:02.706538+00:00,10.26,100.0,96.0
1770648123706,2026-02-09T14:42:03.706594+00:00,10.21,99.3,94.0
1770648124706,2026-02-09T14:42:04.706693+00:00,10.22,99.8,94.0
1770648125706,2026-02-09T14:42:05.706787+00:00,10.21,100.0,94.0
1770648126706,2026-02-09T14:42:06.706863+00:00,10.18,99.5,94.0
1770648127706,2026-02-09T14:42:07.706953+00:00,10.18,99.5,96.0
1770648128707,2026-02-09T14:42:08.707062+00:00,10.04,100.0,96.0
1770648129707,2026-02-09T14:42:09.707176+00:00,10.07,100.0,92.0
1770648130707,2026-02-09T14:42:10.707269+00:00,10.13,99.7,92.0
1770648131707,2026-02-09T14:42:11.707369+00:00,10.18,100.0,96.0
1770648132707,2026-02-09T14:42:12.707465+00:00,10.16,100.0,96.0
1770648133707,2026-02-09T14:42:13.707563+00:00,10.14,99.7,95.0
1770648134707,2026-02-09T14:42:14.707629+00:00,10.04,99.8,92.0
1770648135707,2026-02-09T14:42:15.707701+00:00,10.1,99.7,92.0
1770648136707,2026-02-09T14:42:16.707795+00:00,10.16,100.0,95.0
