timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1769552743579,2026-01-27T22:25:43.579578+00:00,0.67,0.8,46.0
1769552744579,2026-01-27T22:25:44.579672+00:00,1.08,6.6,46.0
1769552745579,2026-01-27T22:25:45.579870+00:00,1.41,9.7,46.0
1769552746580,2026-01-27T22:25:46.580096+00:00,1.53,12.9,46.0
1769552747580,2026-01-27T22:25:47.580239+00:00,1.22,9.2,48.0
1769552748580,2026-01-27T22:25:48.580460+00:00,1.36,12.4,47.0
1769552749580,2026-01-27T22:25:49.580631+00:00,1.47,12.2,47.0
1769552750580,2026-01-27T22:25:50.580805+00:00,1.34,14.4,48.0
1769552751580,2026-01-27T22:25:51.580971+00:00,1.2,8.4,48.0
1769552752581,2026-01-27T22:25:52.581173+00:00,1.49,11.6,48.0
1769552753581,2026-01-27T22:25:53.581331+00:00,1.46,12.6,48.0
1769552754581,2026-01-27T22:25:54.581480+00:00,1.5,12.6,48.0
1769552755581,2026-01-27T22:25:55.581643+00:00,1.4,12.3,48.0
1769552756581,2026-01-27T22:25:56.581794+00:00,1.43,11.9,47.0
1769552757581,2026-01-27T22:25:57.581960+00:00,1.41,11.9,47.0
1769552758582,2026-01-27T22:25:58.582126+00:00,1.45,12.8,48.0
1769552759582,2026-01-27T22:25:59.582225+00:00,1.44,11.6,48.0
1769552760582,2026-01-27T22:26:00.582373+00:00,1.4,13.4,48.0
1769552761582,2026-01-27T22:26:01.582462+00:00,1.48,12.3,47.0
1769552762582,2026-01-27T22:26:02.582617+00:00,1.51,12.4,47.0
1769552763582,2026-01-27T22:26:03.582776+00:00,1.43,12.4,47.0
1769552764582,2026-01-27T22:26:04.582935+00:00,1.49,12.1,47.0
1769552765583,2026-01-27T22:26:05.583225+00:00,1.2,11.8,47.0
1769552766583,2026-01-27T22:26:06.583315+00:00,1.42,13.9,47.0
1769552767585,2026-01-27T22:26:07.585077+00:00,1.56,14.4,54.0
1769552768585,2026-01-27T22:26:08.585232+00:00,1.57,12.1,51.0
1769552769585,2026-01-27T22:26:09.585360+00:00,1.48,11.8,51.0
1769552770585,2026-01-27T22:26:10.585538+00:00,1.47,10.9,50.0
1769552771585,2026-01-27T22:26:11.585685+00:00,1.24,9.5,50.0
1769552772585,2026-01-27T22:26:12.585984+00:00,1.46,10.3,47.0
1769552773586,2026-01-27T22:26:13.586275+00:00,1.54,11.1,47.0
1769552774586,2026-01-27T22:26:14.586560+00:00,1.58,12.1,48.0
1769552775586,2026-01-27T22:26:15.586722+00:00,1.43,11.5,48.0
1769552776586,2026-01-27T22:26:16.586891+00:00,1.42,11.9,50.0
1769552777587,2026-01-27T22:26:17.587088+00:00,1.43,11.6,50.0
1769552778587,2026-01-27T22:26:18.587263+00:00,1.5,11.3,48.0
1769552779587,2026-01-27T22:26:19.587424+00:00,1.47,12.1,48.0
1769552780587,2026-01-27T22:26:20.587601+00:00,1.51,13.0,48.0
1769552781587,2026-01-27T22:26:21.587773+00:00,1.44,12.1,50.0
1769552782587,2026-01-27T22:26:22.587921+00:00,1.44,12.3,50.0
1769552783588,2026-01-27T22:26:23.588114+00:00,1.42,12.3,48.0
1769552784588,2026-01-27T22:26:24.588253+00:00,1.26,9.0,48.0
1769552785588,2026-01-27T22:26:25.588551+00:00,1.39,10.7,47.0
1769552786588,2026-01-27T22:26:26.588661+00:00,1.44,14.6,47.0
1769552787588,2026-01-27T22:26:27.588805+00:00,1.54,11.9,48.0
1769552788588,2026-01-27T22:26:28.588952+00:00,1.5,11.3,48.0
1769552789589,2026-01-27T22:26:29.589115+00:00,1.17,9.3,48.0
1769552790589,2026-01-27T22:26:30.589248+00:00,1.4,13.7,50.0
1769552791589,2026-01-27T22:26:31.589336+00:00,1.47,12.5,50.0
1769552792589,2026-01-27T22:26:32.589460+00:00,1.38,13.0,48.0
1769552793589,2026-01-27T22:26:33.589604+00:00,1.45,11.6,48.0
1769552794589,2026-01-27T22:26:34.589763+00:00,1.45,14.5,48.0
1769552795589,2026-01-27T22:26:35.589901+00:00,1.37,13.4,48.0
1769552796590,2026-01-27T22:26:36.590064+00:00,1.52,12.0,48.0
1769552797590,2026-01-27T22:26:37.590230+00:00,1.48,11.9,50.0
1769552798590,2026-01-27T22:26:38.590397+00:00,1.51,12.3,50.0
1769552799590,2026-01-27T22:26:39.590562+00:00,1.48,12.3,49.0
1769552800590,2026-01-27T22:26:40.590736+00:00,1.45,11.6,49.0
1769552801590,2026-01-27T22:26:41.590895+00:00,1.47,12.8,49.0
1769552802591,2026-01-27T22:26:42.591084+00:00,1.54,12.0,49.0
1769552803591,2026-01-27T22:26:43.591247+00:00,1.48,14.1,49.0
1769552804591,2026-01-27T22:26:44.591424+00:00,1.46,12.5,49.0
