timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1770650149575,2026-02-09T15:15:49.575271+00:00,0.67,0.3,64.0
1770650150575,2026-02-09T15:15:50.575351+00:00,7.88,73.3,64.0
1770650151575,2026-02-09T15:15:51.575442+00:00,9.94,90.9,94.0
1770650152575,2026-02-09T15:15:52.575531+00:00,10.55,91.7,94.0
1770650153577,2026-02-09T15:15:53.577596+00:00,10.81,86.4,93.0
1770650154577,2026-02-09T15:15:54.577676+00:00,10.11,95.2,93.0
1770650155577,2026-02-09T15:15:55.577775+00:00,10.12,92.4,96.0
1770650156577,2026-02-09T15:15:56.577860+00:00,9.47,84.0,94.0
1770650157577,2026-02-09T15:15:57.577971+00:00,10.26,90.9,94.0
1770650158578,2026-02-09T15:15:58.578063+00:00,10.42,85.3,94.0
1770650159578,2026-02-09T15:15:59.578151+00:00,10.32,95.0,94.0
1770650160578,2026-02-09T15:16:00.578235+00:00,10.15,97.7,89.0
1770650161578,2026-02-09T15:16:01.578328+00:00,10.9,83.9,96.0
1770650162578,2026-02-09T15:16:02.578407+00:00,9.92,93.7,96.0
1770650163578,2026-02-09T15:16:03.578504+00:00,10.0,91.7,96.0
1770650164578,2026-02-09T15:16:04.578595+00:00,10.76,89.9,92.0
1770650165578,2026-02-09T15:16:05.578695+00:00,10.11,98.5,96.0
1770650166578,2026-02-09T15:16:06.578791+00:00,9.64,90.6,96.0
1770650167578,2026-02-09T15:16:07.578908+00:00,8.37,76.9,83.0
1770650168579,2026-02-09T15:16:08.579014+00:00,10.35,95.2,94.0
1770650169579,2026-02-09T15:16:09.579102+00:00,10.84,78.7,94.0
1770650170579,2026-02-09T15:16:10.579191+00:00,10.19,95.7,96.0
1770650171579,2026-02-09T15:16:11.579396+00:00,10.98,80.0,96.0
1770650172579,2026-02-09T15:16:12.579484+00:00,10.88,82.0,96.0
1770650173579,2026-02-09T15:16:13.579580+00:00,10.06,96.2,96.0
1770650174579,2026-02-09T15:16:14.579666+00:00,10.43,93.7,94.0
1770650175579,2026-02-09T15:16:15.579750+00:00,10.41,93.2,94.0
1770650176579,2026-02-09T15:16:16.579837+00:00,10.85,88.1,94.0
1770650177579,2026-02-09T15:16:17.579919+00:00,10.65,88.2,94.0
1770650178579,2026-02-09T15:16:18.579997+00:00,9.79,96.5,91.0
1770650179580,2026-02-09T15:16:19.580081+00:00,10.12,87.3,96.0
1770650180580,2026-02-09T15:16:20.580167+00:00,10.44,87.2,96.0
1770650181580,2026-02-09T15:16:21.580253+00:00,9.96,94.0,94.0
1770650182580,2026-02-09T15:16:22.580345+00:00,10.58,90.7,94.0
1770650183580,2026-02-09T15:16:23.580438+00:00,9.98,95.0,94.0
1770650184580,2026-02-09T15:16:24.580532+00:00,8.94,81.1,94.0
1770650185580,2026-02-09T15:16:25.580586+00:00,9.47,90.7,83.0
1770650186580,2026-02-09T15:16:26.580675+00:00,8.81,87.1,83.0
1770650187580,2026-02-09T15:16:27.580766+00:00,9.87,92.7,95.0
1770650188580,2026-02-09T15:16:28.580855+00:00,10.64,92.2,95.0
1770650189580,2026-02-09T15:16:29.580956+00:00,10.69,89.6,94.0
1770650190581,2026-02-09T15:16:30.581039+00:00,9.96,96.7,94.0
1770650191581,2026-02-09T15:16:31.581135+00:00,10.49,91.1,96.0
1770650192581,2026-02-09T15:16:32.581240+00:00,9.49,93.2,96.0
1770650193581,2026-02-09T15:16:33.581360+00:00,9.93,93.2,94.0
1770650194581,2026-02-09T15:16:34.581481+00:00,10.61,80.5,92.0
1770650195581,2026-02-09T15:16:35.581584+00:00,9.76,92.0,92.0
1770650196581,2026-02-09T15:16:36.581672+00:00,9.77,81.8,96.0
1770650197581,2026-02-09T15:16:37.581760+00:00,10.41,85.8,96.0
1770650198581,2026-02-09T15:16:38.581857+00:00,10.41,81.9,96.0
1770650199581,2026-02-09T15:16:39.581951+00:00,10.26,94.7,96.0
1770650200582,2026-02-09T15:16:40.582044+00:00,10.23,92.0,96.0
1770650201582,2026-02-09T15:16:41.582138+00:00,9.8,92.5,96.0
1770650202583,2026-02-09T15:16:42.583605+00:00,9.94,92.0,96.0
1770650203583,2026-02-09T15:16:43.583680+00:00,9.71,93.5,92.0
1770650204583,2026-02-09T15:16:44.583924+00:00,9.57,92.2,77.0
