timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1771612529875,2026-02-20T18:35:29.875725+00:00,1.0,7.1,53.0
1771612530875,2026-02-20T18:35:30.875835+00:00,3.71,37.4,53.0
1771612531877,2026-02-20T18:35:31.877151+00:00,4.28,50.0,57.0
1771612532877,2026-02-20T18:35:32.877229+00:00,4.56,52.3,70.0
1771612533877,2026-02-20T18:35:33.877332+00:00,4.16,53.8,70.0
1771612534877,2026-02-20T18:35:34.877548+00:00,4.29,50.1,59.0
1771612535877,2026-02-20T18:35:35.877837+00:00,4.18,50.9,59.0
1771612536877,2026-02-20T18:35:36.877947+00:00,4.2,51.8,58.0
1771612537878,2026-02-20T18:35:37.878070+00:00,4.14,55.7,58.0
1771612538878,2026-02-20T18:35:38.878358+00:00,4.04,53.5,58.0
1771612539878,2026-02-20T18:35:39.878530+00:00,4.03,54.4,58.0
1771612540878,2026-02-20T18:35:40.878587+00:00,4.14,55.9,58.0
1771612541878,2026-02-20T18:35:41.878798+00:00,4.36,48.9,57.0
1771612542879,2026-02-20T18:35:42.879161+00:00,4.04,54.7,57.0
1771612543879,2026-02-20T18:35:43.879264+00:00,4.26,52.8,58.0
1771612544879,2026-02-20T18:35:44.879363+00:00,4.14,51.8,58.0
1771612545882,2026-02-20T18:35:45.882152+00:00,4.17,54.2,60.0
1771612546882,2026-02-20T18:35:46.882212+00:00,4.43,53.4,60.0
1771612547882,2026-02-20T18:35:47.882358+00:00,4.68,47.4,60.0
1771612548882,2026-02-20T18:35:48.882477+00:00,4.19,51.8,60.0
1771612549882,2026-02-20T18:35:49.882609+00:00,4.29,52.8,61.0
1771612550882,2026-02-20T18:35:50.882669+00:00,4.6,53.9,61.0
1771612551882,2026-02-20T18:35:51.882791+00:00,4.29,50.6,66.0
1771612552882,2026-02-20T18:35:52.882984+00:00,4.46,48.0,60.0
1771612553883,2026-02-20T18:35:53.883255+00:00,4.01,54.7,60.0
1771612554883,2026-02-20T18:35:54.883372+00:00,4.28,48.2,58.0
1771612555883,2026-02-20T18:35:55.883453+00:00,4.6,53.7,58.0
1771612556884,2026-02-20T18:35:56.884891+00:00,4.39,53.4,72.0
1771612557888,2026-02-20T18:35:57.888125+00:00,4.3,50.8,75.0
1771612558888,2026-02-20T18:35:58.888202+00:00,4.27,53.1,75.0
1771612559888,2026-02-20T18:35:59.888504+00:00,4.51,49.7,61.0
1771612560888,2026-02-20T18:36:00.888797+00:00,4.18,50.8,61.0
1771612561888,2026-02-20T18:36:01.888897+00:00,4.71,53.5,73.0
1771612562889,2026-02-20T18:36:02.889010+00:00,3.97,50.9,73.0
1771612563889,2026-02-20T18:36:03.889122+00:00,4.84,51.5,68.0
1771612564889,2026-02-20T18:36:04.889202+00:00,4.23,52.0,68.0
1771612565889,2026-02-20T18:36:05.889281+00:00,4.28,51.4,73.0
1771612566889,2026-02-20T18:36:06.889439+00:00,3.17,29.6,57.0
1771612567889,2026-02-20T18:36:07.889569+00:00,1.04,2.0,57.0
1771612568889,2026-02-20T18:36:08.889675+00:00,1.95,12.4,61.0
1771612569889,2026-02-20T18:36:09.889838+00:00,4.71,59.9,63.0
1771612570890,2026-02-20T18:36:10.890010+00:00,4.72,55.0,63.0
1771612571890,2026-02-20T18:36:11.890143+00:00,4.56,47.1,63.0
1771612572890,2026-02-20T18:36:12.890218+00:00,4.09,50.6,63.0
1771612573893,2026-02-20T18:36:13.893159+00:00,4.44,52.0,63.0
1771612574893,2026-02-20T18:36:14.893308+00:00,4.09,53.4,63.0
1771612575896,2026-02-20T18:36:15.896178+00:00,4.22,52.8,63.0
1771612576896,2026-02-20T18:36:16.896276+00:00,4.08,51.6,63.0
1771612577896,2026-02-20T18:36:17.896393+00:00,4.18,54.0,63.0
1771612578896,2026-02-20T18:36:18.896516+00:00,4.38,54.5,63.0
1771612579896,2026-02-20T18:36:19.896606+00:00,4.63,53.3,72.0
1771612580899,2026-02-20T18:36:20.899133+00:00,4.5,53.5,77.0
1771612581899,2026-02-20T18:36:21.899427+00:00,4.64,46.3,62.0
1771612582901,2026-02-20T18:36:22.901140+00:00,4.34,51.8,64.0
1771612583903,2026-02-20T18:36:23.903137+00:00,4.65,52.8,70.0
1771612584904,2026-02-20T18:36:24.904152+00:00,4.06,52.7,62.0
1771612585906,2026-02-20T18:36:25.906176+00:00,4.28,52.4,62.0
1771612586906,2026-02-20T18:36:26.906269+00:00,4.7,53.3,79.0
1771612587906,2026-02-20T18:36:27.906323+00:00,4.64,50.9,79.0
1771612588906,2026-02-20T18:36:28.906494+00:00,4.29,48.5,62.0
1771612589906,2026-02-20T18:36:29.906765+00:00,4.2,54.5,62.0
1771612590906,2026-02-20T18:36:30.906879+00:00,1.8,16.8,58.0
