timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1771609924731,2026-02-20T17:52:04.731310+00:00,1.02,7.1,58.0
1771609925731,2026-02-20T17:52:05.731409+00:00,1.78,30.6,58.0
1771609926731,2026-02-20T17:52:06.731529+00:00,1.84,42.8,58.0
1771609927731,2026-02-20T17:52:07.731735+00:00,1.94,39.9,58.0
1771609928733,2026-02-20T17:52:08.733157+00:00,1.92,40.6,61.0
1771609929733,2026-02-20T17:52:09.733306+00:00,1.95,42.2,61.0
1771609930733,2026-02-20T17:52:10.733482+00:00,2.02,40.1,60.0
1771609931736,2026-02-20T17:52:11.736161+00:00,1.97,39.2,61.0
1771609932736,2026-02-20T17:52:12.736313+00:00,1.92,41.8,60.0
1771609933736,2026-02-20T17:52:13.736439+00:00,1.97,40.4,58.0
1771609934736,2026-02-20T17:52:14.736555+00:00,1.95,39.7,60.0
1771609935736,2026-02-20T17:52:15.736668+00:00,1.92,44.1,60.0
1771609936736,2026-02-20T17:52:16.736800+00:00,1.95,41.3,60.0
1771609937736,2026-02-20T17:52:17.736909+00:00,1.96,39.6,58.0
1771609938737,2026-02-20T17:52:18.737016+00:00,1.95,42.5,58.0
1771609939737,2026-02-20T17:52:19.737149+00:00,1.98,42.1,61.0
1771609940737,2026-02-20T17:52:20.737310+00:00,2.01,39.1,59.0
1771609941737,2026-02-20T17:52:21.737407+00:00,1.97,41.0,60.0
1771609942737,2026-02-20T17:52:22.737516+00:00,1.96,42.5,60.0
1771609943737,2026-02-20T17:52:23.737678+00:00,1.99,41.1,59.0
1771609944737,2026-02-20T17:52:24.737798+00:00,1.88,42.3,60.0
1771609945737,2026-02-20T17:52:25.737885+00:00,1.97,39.4,60.0
1771609946738,2026-02-20T17:52:26.738027+00:00,1.98,41.9,61.0
1771609947738,2026-02-20T17:52:27.738208+00:00,1.92,42.8,60.0
1771609948738,2026-02-20T17:52:28.738358+00:00,2.0,39.7,60.0
1771609949738,2026-02-20T17:52:29.738464+00:00,2.0,38.3,61.0
1771609950738,2026-02-20T17:52:30.738610+00:00,1.99,40.2,61.0
1771609951738,2026-02-20T17:52:31.738784+00:00,1.94,39.6,58.0
1771609952738,2026-02-20T17:52:32.738894+00:00,1.97,38.6,58.0
1771609953739,2026-02-20T17:52:33.739025+00:00,2.89,48.7,62.0
1771609954739,2026-02-20T17:52:34.739151+00:00,1.95,39.8,60.0
1771609955739,2026-02-20T17:52:35.739321+00:00,1.93,41.0,61.0
1771609956739,2026-02-20T17:52:36.739423+00:00,1.98,39.2,61.0
1771609957739,2026-02-20T17:52:37.739514+00:00,1.99,43.1,61.0
1771609958739,2026-02-20T17:52:38.739701+00:00,1.93,40.7,60.0
1771609959739,2026-02-20T17:52:39.739824+00:00,1.92,40.2,60.0
1771609960739,2026-02-20T17:52:40.739929+00:00,1.99,41.8,61.0
1771609961740,2026-02-20T17:52:41.740133+00:00,1.97,39.1,61.0
1771609962740,2026-02-20T17:52:42.740261+00:00,1.86,42.1,61.0
1771609963740,2026-02-20T17:52:43.740386+00:00,2.0,39.3,61.0
1771609964740,2026-02-20T17:52:44.740534+00:00,2.0,41.0,61.0
1771609965740,2026-02-20T17:52:45.740703+00:00,1.9,40.8,60.0
1771609966740,2026-02-20T17:52:46.740817+00:00,1.97,39.4,60.0
1771609967743,2026-02-20T17:52:47.743151+00:00,1.99,40.0,61.0
1771609968743,2026-02-20T17:52:48.743295+00:00,1.91,42.4,60.0
1771609969743,2026-02-20T17:52:49.743407+00:00,1.94,39.3,60.0
1771609970743,2026-02-20T17:52:50.743520+00:00,1.99,39.3,61.0
1771609971743,2026-02-20T17:52:51.743651+00:00,1.92,43.9,61.0
1771609972743,2026-02-20T17:52:52.743756+00:00,1.99,39.7,60.0
1771609973743,2026-02-20T17:52:53.743881+00:00,1.96,38.0,60.0
1771609974746,2026-02-20T17:52:54.746153+00:00,1.95,40.7,62.0
1771609975746,2026-02-20T17:52:55.746263+00:00,1.98,40.8,61.0
1771609976746,2026-02-20T17:52:56.746374+00:00,1.97,39.7,61.0
1771609977746,2026-02-20T17:52:57.746541+00:00,1.96,38.9,61.0
1771609978748,2026-02-20T17:52:58.748191+00:00,1.92,40.5,63.0
1771609979748,2026-02-20T17:52:59.748293+00:00,2.02,40.9,63.0
1771609980748,2026-02-20T17:53:00.748413+00:00,2.1,40.2,60.0
1771609981748,2026-02-20T17:53:01.748525+00:00,1.98,40.2,61.0
1771609982748,2026-02-20T17:53:02.748633+00:00,2.05,40.6,62.0
1771609983748,2026-02-20T17:53:03.748759+00:00,2.0,39.5,62.0
1771609984748,2026-02-20T17:53:04.748955+00:00,1.95,39.9,61.0
1771609985749,2026-02-20T17:53:05.749135+00:00,1.37,15.9,61.0
