timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1768840502695,2026-01-19T16:35:02.695125+00:00,0.65,0.0,63.0
1768840503695,2026-01-19T16:35:03.695183+00:00,9.28,81.2,63.0
1768840504695,2026-01-19T16:35:04.695279+00:00,10.55,99.5,95.0
1768840505695,2026-01-19T16:35:05.695380+00:00,10.57,100.0,95.0
1768840506695,2026-01-19T16:35:06.695471+00:00,10.49,99.0,95.0
1768840507695,2026-01-19T16:35:07.695566+00:00,10.35,99.5,95.0
1768840508695,2026-01-19T16:35:08.695656+00:00,10.4,99.8,96.0
1768840509695,2026-01-19T16:35:09.695753+00:00,10.22,99.0,94.0
1768840510695,2026-01-19T16:35:10.695852+00:00,10.22,100.0,94.0
1768840511695,2026-01-19T16:35:11.695945+00:00,10.24,99.8,95.0
1768840512696,2026-01-19T16:35:12.696039+00:00,10.09,99.3,95.0
1768840513696,2026-01-19T16:35:13.696120+00:00,10.14,99.8,96.0
1768840514696,2026-01-19T16:35:14.696205+00:00,10.03,98.7,96.0
1768840515696,2026-01-19T16:35:15.696289+00:00,10.06,99.8,95.0
1768840516696,2026-01-19T16:35:16.696378+00:00,10.2,100.0,95.0
1768840517696,2026-01-19T16:35:17.696486+00:00,10.1,99.8,94.0
1768840518696,2026-01-19T16:35:18.696573+00:00,9.93,99.8,95.0
1768840519696,2026-01-19T16:35:19.696664+00:00,9.91,100.0,95.0
1768840520696,2026-01-19T16:35:20.696747+00:00,9.84,99.5,95.0
1768840521696,2026-01-19T16:35:21.696833+00:00,9.92,99.5,95.0
1768840522696,2026-01-19T16:35:22.696921+00:00,9.75,99.5,95.0
1768840523697,2026-01-19T16:35:23.697007+00:00,9.93,99.5,95.0
1768840524697,2026-01-19T16:35:24.697090+00:00,9.86,100.0,95.0
1768840525697,2026-01-19T16:35:25.697174+00:00,9.72,99.3,96.0
1768840526697,2026-01-19T16:35:26.697261+00:00,9.86,100.0,96.0
1768840527697,2026-01-19T16:35:27.697370+00:00,9.74,99.7,94.0
1768840528697,2026-01-19T16:35:28.697452+00:00,9.76,99.5,94.0
1768840529697,2026-01-19T16:35:29.697533+00:00,9.74,100.0,95.0
1768840530697,2026-01-19T16:35:30.697622+00:00,9.75,99.8,94.0
1768840531697,2026-01-19T16:35:31.697752+00:00,9.8,100.0,94.0
1768840532697,2026-01-19T16:35:32.697844+00:00,9.7,99.5,96.0
1768840533697,2026-01-19T16:35:33.697928+00:00,9.77,99.8,94.0
1768840534698,2026-01-19T16:35:34.698010+00:00,9.68,98.7,94.0
1768840535698,2026-01-19T16:35:35.698094+00:00,9.69,99.3,96.0
1768840536698,2026-01-19T16:35:36.698195+00:00,9.78,99.8,96.0
1768840537698,2026-01-19T16:35:37.698283+00:00,9.75,99.3,96.0
1768840538698,2026-01-19T16:35:38.698371+00:00,9.84,99.8,96.0
1768840539698,2026-01-19T16:35:39.698466+00:00,9.75,100.0,94.0
1768840540698,2026-01-19T16:35:40.698553+00:00,9.66,99.5,96.0
1768840541698,2026-01-19T16:35:41.698641+00:00,9.65,99.7,96.0
