timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1768493236346,2026-01-15T16:07:16.346786+00:00,0.0,27.2,95.0
1768493237350,2026-01-15T16:07:17.350482+00:00,0.0,88.3,95.0
1768493238354,2026-01-15T16:07:18.354527+00:00,0.0,91.7,95.0
1768493239358,2026-01-15T16:07:19.358277+00:00,0.0,84.6,96.0
1768493240361,2026-01-15T16:07:20.361952+00:00,0.0,95.0,95.0
1768493241365,2026-01-15T16:07:21.365476+00:00,0.0,90.6,95.0
1768493242368,2026-01-15T16:07:22.368988+00:00,0.0,80.7,96.0
1768493243373,2026-01-15T16:07:23.373975+00:00,0.0,94.7,92.0
1768493244377,2026-01-15T16:07:24.377612+00:00,0.0,80.8,96.0
1768493245381,2026-01-15T16:07:25.381208+00:00,0.0,95.8,96.0
1768493246385,2026-01-15T16:07:26.385061+00:00,0.0,92.0,96.0
1768493247388,2026-01-15T16:07:27.388834+00:00,0.0,90.8,95.0
1768493248392,2026-01-15T16:07:28.392319+00:00,0.0,93.8,95.0
1768493249395,2026-01-15T16:07:29.395825+00:00,0.0,83.1,95.0
1768493250399,2026-01-15T16:07:30.399748+00:00,0.0,92.9,94.0
1768493251403,2026-01-15T16:07:31.403639+00:00,0.0,86.7,93.0
