timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1768823097923,2026-01-19T11:44:57.923519+00:00,5.5,0.0,58.0
1768823098923,2026-01-19T11:44:58.923610+00:00,58.91,28.8,58.0
1768823099923,2026-01-19T11:44:59.923695+00:00,71.17,33.3,69.0
1768823100923,2026-01-19T11:45:00.923735+00:00,74.15,35.1,69.0
1768823101923,2026-01-19T11:45:01.923805+00:00,76.34,37.4,71.0
1768823102923,2026-01-19T11:45:02.923841+00:00,76.96,36.0,71.0
1768823103923,2026-01-19T11:45:03.923937+00:00,76.27,34.7,77.0
1768823104924,2026-01-19T11:45:04.924275+00:00,80.56,35.6,77.0
1768823105924,2026-01-19T11:45:05.924755+00:00,66.34,31.2,73.0
1768823106924,2026-01-19T11:45:06.924928+00:00,71.13,33.0,73.0
1768823107925,2026-01-19T11:45:07.925007+00:00,73.4,36.0,76.0
1768823108925,2026-01-19T11:45:08.925107+00:00,78.8,36.0,85.0
1768823109925,2026-01-19T11:45:09.925281+00:00,78.44,37.0,85.0
1768823110925,2026-01-19T11:45:10.925367+00:00,69.07,33.2,71.0
1768823111925,2026-01-19T11:45:11.925527+00:00,80.02,38.2,71.0
1768823112925,2026-01-19T11:45:12.925751+00:00,88.4,40.0,80.0
1768823113925,2026-01-19T11:45:13.925840+00:00,75.89,33.1,80.0
1768823114925,2026-01-19T11:45:14.925917+00:00,68.64,31.2,80.0
1768823115925,2026-01-19T11:45:15.925994+00:00,72.95,33.6,80.0
1768823116926,2026-01-19T11:45:16.926074+00:00,73.16,35.2,74.0
1768823117926,2026-01-19T11:45:17.926440+00:00,77.45,36.0,75.0
1768823118926,2026-01-19T11:45:18.926517+00:00,85.53,38.7,75.0
1768823119926,2026-01-19T11:45:19.926603+00:00,70.04,35.0,71.0
1768823120926,2026-01-19T11:45:20.926682+00:00,86.41,38.9,71.0
1768823121926,2026-01-19T11:45:21.926908+00:00,78.24,37.2,84.0
1768823122926,2026-01-19T11:45:22.926996+00:00,81.16,38.3,84.0
1768823123927,2026-01-19T11:45:23.927056+00:00,70.55,32.6,71.0
1768823124927,2026-01-19T11:45:24.927207+00:00,31.96,13.4,62.0
